strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,category
AB30,stat,501,0.998198,283.5,222.5,0.3495433990884687,No substantial change
AB30,stat,1501,0.999099,359.5,273.5,0.3944509376467413,No substantial change
AB30,stat,2501,1,316,262,0.2703577466396527,No substantial change
AB30,stat,3501,-0.99969,274.5,178,0.624928908038801,No substantial change
AB30,stat,4501,-0.99938,302,219,0.46361767972390555,No substantial change
AB30,stat,5501,-0.99907,344,244.5,0.49257409974986416,No substantial change
AB30,stat,6501,-0.99876,368.5,284,0.37577368959038776,No substantial change
AB30,stat,7501,-0.99845,386,279.5,0.46575256442489027,No substantial change
AB30,stat,8501,-0.99814,362.5,273,0.4090800439824443,No substantial change
AB30,stat,9501,-0.99783,446,307,0.5388050545501253,No substantial change
AB30,stat,10501,-0.99752,349,242,0.5282199889350577,No substantial change
AB30,stat,11501,-0.99721,405,274.5,0.5611157587667885,No substantial change
AB30,stat,12501,-0.9969,388,272,0.5124500009367883,No substantial change
AB30,stat,13501,-0.99659,384.5,275,0.48355197954980456,No substantial change
AB30,stat,14501,-0.99628,355,249.5,0.508779209054784,No substantial change
AB30,stat,15501,-0.99597,378,242,0.643379186946478,No substantial change
AB30,stat,16501,-0.99566,341,251,0.44208437507340037,No substantial change
AB30,stat,17501,-0.99535,374.5,270,0.4720063114079202,No substantial change
AB30,stat,18501,-0.99504,345.5,211,0.7114427116810734,No substantial change
AB30,stat,19501,-0.99473,367,241.5,0.6037568740074397,No substantial change
AB30,stat,20501,-0.99442,500.5,332,0.5921868274890688,No substantial change
AB30,stat,21501,-0.99411,476,287,0.7299108366322556,No substantial change
AB30,stat,22501,-0.9938,436.5,277.5,0.6534938823919717,No substantial change
AB30,stat,23501,-0.99349,382.5,236.5,0.693619564240619,No substantial change
AB30,stat,24501,-0.99318,358,184,0.9602538212072436,No substantial change
AB30,stat,25501,-0.99287,350.5,193,0.8608135967425428,No substantial change
AB30,stat,26501,-0.99256,395,236.5,0.7400124697250701,No substantial change
AB30,stat,27501,-0.99225,410.5,230.5,0.8326154713484667,No substantial change
AB30,stat,28501,-0.99194,438.5,275.5,0.6705245238735754,No substantial change
AB30,stat,29501,-0.991631,339.5,204.5,0.731310731302983,No substantial change
AB30,stat,30501,-0.991321,390.5,270,0.5323631410911484,No substantial change
AB30,stat,31501,-0.991011,367.5,219,0.7468133801225534,No substantial change
AB30,stat,32501,-0.990701,337,182,0.8888101409831622,No substantial change
AB30,stat,33501,-0.990391,390,219,0.8325432541484373,No substantial change
AB30,stat,34501,-0.990081,352,198,0.8300749985576875,No substantial change
AB30,stat,35501,-0.989771,333,158,1.0755976188941594,Enriched in Meropenem
AB30,stat,36501,-0.989461,384,182.5,1.0732098469537765,Enriched in Meropenem
AB30,stat,37501,-0.989151,406,196,1.0506260730699681,Enriched in Meropenem
AB30,stat,38501,-0.988841,315.5,184.5,0.774019188922153,No substantial change
AB30,stat,39501,-0.988531,333.5,217,0.6199917187401057,No substantial change
AB30,stat,40501,-0.988221,375.5,259.5,0.5330783691563911,No substantial change
AB30,stat,41501,-0.987911,356,191,0.8983046029306491,No substantial change
AB30,stat,42501,-0.987601,386,181,1.0926111501848752,Enriched in Meropenem
AB30,stat,43501,-0.987291,387,233.5,0.7289110164347484,No substantial change
AB30,stat,44501,-0.986981,333.5,249.5,0.41864694584732437,No substantial change
AB30,stat,45501,-0.986671,352.5,247.5,0.510194732319184,No substantial change
AB30,stat,46501,-0.986361,357,245.5,0.5402010497144066,No substantial change
AB30,stat,47501,-0.986051,348,210,0.7286979781826057,No substantial change
AB30,stat,48501,-0.985741,385,254,0.6000299488100979,No substantial change
AB30,stat,49501,-0.985431,355,214,0.7302082279908974,No substantial change
AB30,stat,50501,-0.985121,345,213,0.6957429314396932,No substantial change
AB30,stat,51501,-0.984811,349,226.5,0.6237159861634173,No substantial change
AB30,stat,52501,-0.984501,376,270.5,0.47510406785082215,No substantial change
AB30,stat,53501,-0.984191,324,222.5,0.5421884770308647,No substantial change
AB30,stat,54501,-0.983881,292.5,233.5,0.32501407476110483,No substantial change
AB30,stat,55501,-0.983571,374.5,252.5,0.568682330819594,No substantial change
