strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,t_test_p,t_test_p_adj_BH,mwu_p,category
AB30,stat,501,0.998198,283.5,222.5,0.3495433990884687,0.175606241068392,0.3789511410465479,0.3333333333333333,Not significant
AB30,stat,1501,0.999099,359.5,273.5,0.3944509376467413,0.031174204147219498,0.3319718438197075,0.3333333333333333,Not significant
AB30,stat,2501,1,316,262,0.2703577466396527,0.3125869207032972,0.4839831382259602,0.3333333333333333,Not significant
AB30,stat,3501,-0.99969,274.5,178,0.624928908038801,0.2871472148265834,0.4628099773367097,0.3333333333333333,Not significant
AB30,stat,4501,-0.99938,302,219,0.46361767972390555,0.015337267482716131,0.3319718438197075,0.22067136191984676,Not significant
AB30,stat,5501,-0.99907,344,244.5,0.49257409974986416,0.15891607209821726,0.370126147519414,0.3333333333333333,Not significant
AB30,stat,6501,-0.99876,368.5,284,0.37577368959038776,0.3064286964501366,0.4796179019194265,0.3333333333333333,Not significant
AB30,stat,7501,-0.99845,386,279.5,0.46575256442489027,0.09648835758108813,0.3384883484573453,0.3333333333333333,Not significant
AB30,stat,8501,-0.99814,362.5,273,0.4090800439824443,0.26252221256095887,0.4438780214614061,0.3333333333333333,Not significant
AB30,stat,9501,-0.99783,446,307,0.5388050545501253,0.019691515290855947,0.3319718438197075,0.3333333333333333,Not significant
AB30,stat,10501,-0.99752,349,242,0.5282199889350577,0.029085280103800435,0.3319718438197075,0.3333333333333333,Not significant
AB30,stat,11501,-0.99721,405,274.5,0.5611157587667885,0.06653134278053417,0.3333260269052592,0.3333333333333333,Not significant
AB30,stat,12501,-0.9969,388,272,0.5124500009367883,0.1399170590106356,0.35966407272969747,0.3333333333333333,Not significant
AB30,stat,13501,-0.99659,384.5,275,0.48355197954980456,0.09996523608519887,0.3390539391147853,0.3333333333333333,Not significant
AB30,stat,14501,-0.99628,355,249.5,0.508779209054784,0.07210459294987405,0.3347264257784854,0.3333333333333333,Not significant
AB30,stat,15501,-0.99597,378,242,0.643379186946478,0.04916430907083259,0.3319718438197075,0.3333333333333333,Not significant
AB30,stat,16501,-0.99566,341,251,0.44208437507340037,0.07828472166341112,0.3347264257784854,0.3333333333333333,Not significant
AB30,stat,17501,-0.99535,374.5,270,0.4720063114079202,0.11178051777071284,0.3446186136347723,0.3333333333333333,Not significant
