strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,category
Lac-4,stat,501,-0.999439,397.5,347,0.1960191975934568,No substantial change
Lac-4,stat,1501,-0.99861,442.5,344.5,0.36117347226606833,No substantial change
Lac-4,stat,2501,-0.997782,355,288.5,0.299247705746562,No substantial change
Lac-4,stat,3501,-0.996953,426,342.5,0.31474944237794905,No substantial change
Lac-4,stat,4501,-0.996124,399.5,317.5,0.3314389112684485,No substantial change
Lac-4,stat,5501,-0.995295,351,293.5,0.25811052719450855,No substantial change
Lac-4,stat,6501,-0.994467,373.5,327.5,0.1896133363644244,No substantial change
Lac-4,stat,7501,-0.993638,397,457,-0.20305515791511194,No substantial change
Lac-4,stat,8501,-0.992809,348,432,-0.3119440063147402,No substantial change
Lac-4,stat,9501,-0.99198,302.5,375,-0.3099554532212864,No substantial change
Lac-4,stat,10501,-0.991152,359,332,0.11280060247612646,No substantial change
Lac-4,stat,11501,-0.990323,613.5,514,0.2552949844690269,No substantial change
Lac-4,stat,12501,-0.989494,472,394,0.260591229905465,No substantial change
Lac-4,stat,13501,-0.988666,423,356,0.24878042215355192,No substantial change
Lac-4,stat,14501,-0.987837,393.5,331,0.24953241870026874,No substantial change
Lac-4,stat,15501,-0.987008,407,308.5,0.3997583051168292,No substantial change
Lac-4,stat,16501,-0.986179,375,316.5,0.24468509595490193,No substantial change
Lac-4,stat,17501,-0.985351,490.5,379.5,0.3701532508037725,No substantial change
Lac-4,stat,18501,-0.984522,451.5,355.5,0.34487642786144296,No substantial change
Lac-4,stat,19501,-0.983693,424.5,326.5,0.3786815620066077,No substantial change
Lac-4,stat,20501,-0.982865,502.5,361,0.4771247591791199,No substantial change
Lac-4,stat,21501,-0.982036,595,452,0.39656689578011817,No substantial change
Lac-4,stat,22501,-0.981207,422,463,-0.1337691945530512,No substantial change
Lac-4,stat,23501,-0.980378,503,552,-0.13410986697264188,No substantial change
Lac-4,stat,24501,-0.97955,436,499,-0.1947116805603342,No substantial change
Lac-4,stat,25501,-0.978721,423.5,476.5,-0.17011424457774335,No substantial change
Lac-4,stat,26501,-0.977892,339,366.5,-0.11252792499746801,No substantial change
Lac-4,stat,27501,-0.977063,359.5,394.5,-0.13403352957416076,No substantial change
Lac-4,stat,28501,-0.976235,337,387.5,-0.2014477189797415,No substantial change
Lac-4,stat,29501,-0.975406,355,409.5,-0.20604442724896418,No substantial change
Lac-4,stat,30501,-0.974577,300.5,310,-0.04490322456305212,No substantial change
Lac-4,stat,31501,-0.973749,372.5,374,-0.005797844538112768,No substantial change
Lac-4,stat,32501,-0.97292,366,376.5,-0.040806216387885674,No substantial change
Lac-4,stat,33501,-0.972091,327,322.5,0.01999147518746617,No substantial change
Lac-4,stat,34501,-0.971262,389.5,463,-0.24938886519856718,No substantial change
