strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,t_test_p,t_test_p_adj_BH,mwu_p,category
Lac-4,stat,501,-0.999439,397.5,347,0.1960191975934568,0.15112241778472324,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,1501,-0.99861,442.5,344.5,0.36117347226606833,0.18185281862436342,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,2501,-0.997782,355,288.5,0.299247705746562,0.4782401183625399,0.9756484734232224,0.6666666666666667,Not significant
Lac-4,stat,3501,-0.996953,426,342.5,0.31474944237794905,0.3685517891028201,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,4501,-0.996124,399.5,317.5,0.3314389112684485,0.29012798358114805,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,5501,-0.995295,351,293.5,0.25811052719450855,0.3516441353338836,0.9756484734232224,0.6666666666666667,Not significant
Lac-4,stat,6501,-0.994467,373.5,327.5,0.1896133363644244,0.4804385321089094,0.9756484734232224,0.6666666666666667,Not significant
Lac-4,stat,7501,-0.993638,397,457,-0.20305515791511194,0.3230292883303177,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,8501,-0.992809,348,432,-0.3119440063147402,0.2848075589402582,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,9501,-0.99198,302.5,375,-0.3099554532212864,0.18101125332685408,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,10501,-0.991152,359,332,0.11280060247612646,0.7997803413135873,0.9913046107799296,1,Not significant
Lac-4,stat,11501,-0.990323,613.5,514,0.2552949844690269,0.18820897470628234,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,12501,-0.989494,472,394,0.260591229905465,0.2527614708062725,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,13501,-0.988666,423,356,0.24878042215355192,0.2505600620827735,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,14501,-0.987837,393.5,331,0.24953241870026874,0.08601921449394677,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,15501,-0.987008,407,308.5,0.3997583051168292,0.07713239361849777,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,16501,-0.986179,375,316.5,0.24468509595490193,0.47090132484500014,0.9756484734232224,0.6666666666666667,Not significant
Lac-4,stat,17501,-0.985351,490.5,379.5,0.3701532508037725,0.13693431264646552,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,18501,-0.984522,451.5,355.5,0.34487642786144296,0.18218326141815125,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,19501,-0.983693,424.5,326.5,0.3786815620066077,0.22428169770577913,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,20501,-0.982865,502.5,361,0.4771247591791199,0.052135606127996496,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,21501,-0.982036,595,452,0.39656689578011817,0.05194166586769341,0.9756484734232224,0.3333333333333333,Not significant
