phase,panel,series,ori_ter_ratio
stat,Meropenem-treated: replicate A vs B,drug_A,0.9091655266757867
stat,Meropenem-treated: replicate A vs B,drug_B,0.9628189550425273
stat,Untreated (no drug): replicate A vs B,ND_A,0.9220023282887078
stat,Untreated (no drug): replicate A vs B,ND_B,0.9198986058301647
stat,Meropenem-treated vs untreated (averaged),drug_avg,0.9523132592401138
stat,Meropenem-treated vs untreated (averaged),ND_avg,0.9155914626793681
exp,Meropenem-treated: replicate A vs B,drug_A,0.8913731280320607
exp,Meropenem-treated: replicate A vs B,drug_B,1.0530284602286548
exp,Untreated (no drug): replicate A vs B,ND_A,0.9727615965480042
exp,Untreated (no drug): replicate A vs B,ND_B,0.9753182644842816
exp,Meropenem-treated vs untreated (averaged),drug_avg,0.9533860045146727
exp,Meropenem-treated vs untreated (averaged),ND_avg,0.9671936758893279
