strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,category
VU,stat,501,-0.736085,406,306,0.4079480744925244,No substantial change
VU,stat,1501,-0.735606,394.5,321.5,0.2952065626855113,No substantial change
VU,stat,2501,-0.735128,539.5,334.5,0.6896167488465559,No substantial change
VU,stat,3501,-0.73465,606,414.5,0.5479456919772007,No substantial change
VU,stat,4501,-0.734172,432.5,279,0.6324350106948995,No substantial change
VU,stat,5501,-0.733693,362.5,252.5,0.5216976072631396,No substantial change
VU,stat,6501,-0.733215,353,253.5,0.4776824362678398,No substantial change
VU,stat,7501,-0.732737,452.5,310.5,0.5433245237500863,No substantial change
VU,stat,8501,-0.732258,529.5,330,0.6821646597465206,No substantial change
VU,stat,9501,-0.73178,389,315.5,0.30213015000364296,No substantial change
VU,stat,10501,-0.731302,376.5,275.5,0.45059754610077046,No substantial change
VU,stat,11501,-0.730824,307.5,229.5,0.42209225681279416,No substantial change
VU,stat,12501,-0.730345,315,233,0.4350218737329986,No substantial change
VU,stat,13501,-0.729867,398.5,299,0.4144342397923666,No substantial change
VU,stat,14501,-0.729389,381,251.5,0.599232597687795,No substantial change
VU,stat,15501,-0.72891,368,313.5,0.231240323254974,No substantial change
VU,stat,16501,-0.728432,351.5,285,0.3025627700204313,No substantial change
VU,stat,17501,-0.727954,417.5,296,0.49617902173246486,No substantial change
VU,stat,18501,-0.727476,398,291,0.451749277635365,No substantial change
VU,stat,19501,-0.726997,395.5,296,0.41808051884384206,No substantial change
VU,stat,20501,-0.726519,353,295.5,0.25651005309364794,No substantial change
VU,stat,21501,-0.726041,394,278.5,0.5005183021163445,No substantial change
VU,stat,22501,-0.725562,348,291.5,0.2555914226482318,No substantial change
VU,stat,23501,-0.725084,416,359,0.21259968431804088,No substantial change
VU,stat,24501,-0.724606,387,318,0.283306800860055,No substantial change
VU,stat,25501,-0.724128,374,299,0.32289278568953167,No substantial change
VU,stat,26501,-0.723649,384.5,279,0.4627184761326389,No substantial change
VU,stat,27501,-0.723171,336.5,265.5,0.34189464380616336,No substantial change
VU,stat,28501,-0.722693,330,277.5,0.24997825300834756,No substantial change
VU,stat,29501,-0.722214,426.5,308.5,0.46727525216887217,No substantial change
VU,stat,30501,-0.721736,401,287,0.48255149977923256,No substantial change
VU,stat,31501,-0.721258,371,305.5,0.2802468068020737,No substantial change
VU,stat,32501,-0.720779,408.5,311,0.393421498015081,No substantial change
VU,stat,33501,-0.720301,368.5,277,0.4117786430458814,No substantial change
VU,stat,34501,-0.719823,365,282.5,0.36964559646482953,No substantial change
VU,stat,35501,-0.719345,376,296.5,0.34270055713163367,No substantial change
