strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,t_test_p,t_test_p_adj_BH,mwu_p,category
VU,stat,501,-0.736085,406,306,0.4079480744925244,0.480262951695229,0.9412563256715453,0.3333333333333333,Not significant
VU,stat,1501,-0.735606,394.5,321.5,0.2952065626855113,0.6550623480799376,0.9412563256715453,1,Not significant
VU,stat,2501,-0.735128,539.5,334.5,0.6896167488465559,0.37305266653524016,0.9412563256715453,0.3333333333333333,Not significant
VU,stat,3501,-0.73465,606,414.5,0.5479456919772007,0.4198441652192262,0.9412563256715453,0.3333333333333333,Not significant
VU,stat,4501,-0.734172,432.5,279,0.6324350106948995,0.38329263103303124,0.9412563256715453,0.3333333333333333,Not significant
VU,stat,5501,-0.733693,362.5,252.5,0.5216976072631396,0.5319779515667078,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,6501,-0.733215,353,253.5,0.4776824362678398,0.5021667305553732,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,7501,-0.732737,452.5,310.5,0.5433245237500863,0.32307345237678325,0.9412563256715453,0.3333333333333333,Not significant
VU,stat,8501,-0.732258,529.5,330,0.6821646597465206,0.3936193241329273,0.9412563256715453,0.3333333333333333,Not significant
VU,stat,9501,-0.73178,389,315.5,0.30213015000364296,0.6689635645980634,0.9412563256715453,1,Not significant
VU,stat,10501,-0.731302,376.5,275.5,0.45059754610077046,0.5004061709071572,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,11501,-0.730824,307.5,229.5,0.42209225681279416,0.4584107288490935,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,12501,-0.730345,315,233,0.4350218737329986,0.4827424408442047,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,13501,-0.729867,398.5,299,0.4144342397923666,0.5200831727321553,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,14501,-0.729389,381,251.5,0.599232597687795,0.4472357168556282,0.9412563256715453,0.3333333333333333,Not significant
VU,stat,15501,-0.72891,368,313.5,0.231240323254974,0.6726335706227884,0.9412563256715453,1,Not significant
VU,stat,16501,-0.728432,351.5,285,0.3025627700204313,0.6594559093201522,0.9412563256715453,1,Not significant
VU,stat,17501,-0.727954,417.5,296,0.49617902173246486,0.4553912460134594,0.9412563256715453,0.3333333333333333,Not significant
VU,stat,18501,-0.727476,398,291,0.451749277635365,0.4902812307368245,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,19501,-0.726997,395.5,296,0.41808051884384206,0.4159747057642609,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,20501,-0.726519,353,295.5,0.25651005309364794,0.6739948752312815,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,21501,-0.726041,394,278.5,0.5005183021163445,0.4603473094269306,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,22501,-0.725562,348,291.5,0.2555914226482318,0.6392884419091152,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,23501,-0.725084,416,359,0.21259968431804088,0.6860434462435511,0.9412563256715453,1,Not significant
VU,stat,24501,-0.724606,387,318,0.283306800860055,0.7030072715326711,0.9412563256715453,1,Not significant
VU,stat,25501,-0.724128,374,299,0.32289278568953167,0.6265612303170054,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,26501,-0.723649,384.5,279,0.4627184761326389,0.5228174892799761,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,27501,-0.723171,336.5,265.5,0.34189464380616336,0.5774800728670416,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,28501,-0.722693,330,277.5,0.24997825300834756,0.61269587503999,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,29501,-0.722214,426.5,308.5,0.46727525216887217,0.35827714579344433,0.9412563256715453,0.3333333333333333,Not significant
VU,stat,30501,-0.721736,401,287,0.48255149977923256,0.4794600487365108,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,31501,-0.721258,371,305.5,0.2802468068020737,0.6615243746392063,0.9412563256715453,1,Not significant
VU,stat,32501,-0.720779,408.5,311,0.393421498015081,0.5467910724925917,0.9412563256715453,1,Not significant
VU,stat,33501,-0.720301,368.5,277,0.4117786430458814,0.4857548607490508,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,34501,-0.719823,365,282.5,0.36964559646482953,0.5896295323588658,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,35501,-0.719345,376,296.5,0.34270055713163367,0.5057956681639915,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,36501,-0.718866,428,326.5,0.3905278048547163,0.4989733513225032,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,37501,-0.718388,290,227.5,0.35018635492887573,0.6214634170951265,0.9412563256715453,1,Not significant
VU,stat,38501,-0.71791,402,289.5,0.47363215318969204,0.45853314398475137,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,39501,-0.717431,390,329.5,0.24319565874155896,0.7254883183097184,0.9412563256715453,1,Not significant
VU,stat,40501,-0.716953,415.5,335.5,0.30853571057016105,0.629306632246633,0.9412563256715453,1,Not significant
VU,stat,41501,-0.716475,359,302,0.2494352944979724,0.7322960546918366,0.9412563256715453,1,Not significant
VU,stat,42501,-0.715997,424,362,0.2280745674799937,0.7707975269808619,0.942639234963586,1,Not significant
