phase,panel,series,ori_ter_ratio
stat,Meropenem-treated: replicate A vs B,drug_A,1.0031725897202715
stat,Meropenem-treated: replicate A vs B,drug_B,0.9913043025233534
stat,Untreated (no drug): replicate A vs B,ND_A,0.9198105739816781
stat,Untreated (no drug): replicate A vs B,ND_B,0.9117686116891593
stat,Meropenem-treated vs untreated (averaged),drug_avg,1.0005407828696102
stat,Meropenem-treated vs untreated (averaged),ND_avg,0.9164606866821148
exp,Meropenem-treated: replicate A vs B,drug_A,1.0476408574344802
exp,Meropenem-treated: replicate A vs B,drug_B,1.3035413137563598
exp,Untreated (no drug): replicate A vs B,ND_A,1.0065404752998306
exp,Untreated (no drug): replicate A vs B,ND_B,1.041601343528083
exp,Meropenem-treated vs untreated (averaged),drug_avg,1.1553633728919066
exp,Meropenem-treated vs untreated (averaged),ND_avg,1.0330953247335344
