strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,category
mff,stat,501,1,257,320.5,-0.318555997424863,No substantial change
mff,stat,1501,-0.999479,345.5,419,-0.27826453331109313,No substantial change
mff,stat,2501,-0.998957,284.5,333,-0.2270935247646802,No substantial change
mff,stat,3501,-0.998436,244.5,300,-0.29512803554364725,No substantial change
mff,stat,4501,-0.997914,193.5,271.5,-0.48861863165995134,No substantial change
mff,stat,5501,-0.997393,226,267.5,-0.24321611887332154,No substantial change
mff,stat,6501,-0.996872,207,288,-0.4764380439429871,No substantial change
mff,stat,7501,-0.99635,205,271.5,-0.4053282882989156,No substantial change
mff,stat,8501,-0.995829,248.5,338,-0.4437773947198981,No substantial change
mff,stat,9501,-0.995308,260.5,317.5,-0.28547321938101994,No substantial change
mff,stat,10501,-0.994786,307,391,-0.34892995193717297,No substantial change
mff,stat,11501,-0.994265,319,377,-0.24100809950379493,No substantial change
mff,stat,12501,-0.993743,282,364.5,-0.3702236519281435,No substantial change
mff,stat,13501,-0.993222,350.5,382,-0.1241581940251256,No substantial change
mff,stat,14501,-0.99270099999999994,360.5,448.5,-0.3151087256784388,No substantial change
mff,stat,15501,-0.992179,374.5,465.5,-0.3138154491000426,No substantial change
mff,stat,16501,-0.991658,321,422,-0.39466970158488196,No substantial change
mff,stat,17501,-0.991137,327,422,-0.3679523632091027,No substantial change
mff,stat,18501,-0.990615,249,336.5,-0.4344607625422361,No substantial change
mff,stat,19501,-0.990094,202,290.5,-0.5241828706527342,No substantial change
mff,stat,20501,-0.989572,218.5,296,-0.43796389612835146,No substantial change
mff,stat,21501,-0.989051,235,297.5,-0.3402289116303062,No substantial change
mff,stat,22501,-0.98853,230,353.5,-0.6200763538650236,No substantial change
mff,stat,23501,-0.988008,359,409,-0.1881169991186975,No substantial change
mff,stat,24501,-0.987487,433.5,464.5,-0.09964660316081796,No substantial change
mff,stat,25501,-0.986966,407.5,455.5,-0.16065099468361083,No substantial change
mff,stat,26501,-0.986444,295,389,-0.39905520073698825,No substantial change
mff,stat,27501,-0.985923,287,364.5,-0.3448680776512492,No substantial change
mff,stat,28501,-0.985401,299.5,359,-0.26142784103426575,No substantial change
mff,stat,29501,-0.98488,285.5,400,-0.4865092544118819,No substantial change
mff,stat,30501,-0.984359,316,361.5,-0.19407108877401488,No substantial change
mff,stat,31501,-0.983837,304,346,-0.18670071419313913,No substantial change
mff,stat,32501,-0.983316,224,325,-0.5369409858582128,No substantial change
mff,stat,33501,-0.982795,251,336,-0.4207738688279883,No substantial change
mff,stat,34501,-0.982273,253.5,294.5,-0.21628188682712016,No substantial change
mff,stat,35501,-0.981752,258,333.5,-0.37031569576133083,No substantial change
mff,stat,36501,-0.98123,239,315.5,-0.40062938700180045,No substantial change
mff,stat,37501,-0.980709,259,297,-0.19751083311421186,No substantial change
mff,stat,38501,-0.980188,313.5,362,-0.20752425428116636,No substantial change
mff,stat,39501,-0.979666,248,300,-0.2746223801090057,No substantial change
mff,stat,40501,-0.979145,245.5,300,-0.2892394761811878,No substantial change
mff,stat,41501,-0.978624,277,337.5,-0.28500152588900485,No substantial change
mff,stat,42501,-0.978102,276.5,337.5,-0.28760802170348626,No substantial change
mff,stat,43501,-0.977581,293.5,303.5,-0.04833601314562988,No substantial change
mff,stat,44501,-0.977059,316.5,407,-0.3628232948379057,No substantial change
mff,stat,45501,-0.976538,238,313.5,-0.39750386949409533,No substantial change
mff,stat,46501,-0.976017,260.5,304,-0.22278795116507719,No substantial change
mff,stat,47501,-0.975495,281,367.5,-0.3871741195028006,No substantial change
mff,stat,48501,-0.974974,266.5,328,-0.2995602818589078,No substantial change
mff,stat,49501,-0.974453,293.5,329.5,-0.16691796189799954,No substantial change
mff,stat,50501,-0.973931,288.5,343.5,-0.25173878017261764,No substantial change
mff,stat,51501,-0.97341,219,224.5,-0.035784575139973546,No substantial change
mff,stat,52501,-0.972888,230.5,262.5,-0.1875506721241471,No substantial change
mff,stat,53501,-0.972367,218.5,270,-0.3053261275502326,No substantial change
mff,stat,54501,-0.971846,233,264.5,-0.18293776745974555,No substantial change
mff,stat,55501,-0.971324,202,276,-0.45031297402637427,No substantial change
mff,stat,56501,-0.970803,226.5,247,-0.12499999153844249,No substantial change
mff,stat,57501,-0.970282,347,412.5,-0.24945845655491727,No substantial change
mff,stat,58501,-0.96976,283.5,376,-0.4073839267354084,No substantial change
mff,stat,59501,-0.969239,279,330,-0.2422009024166282,No substantial change
mff,stat,60501,-0.968717,300,327.5,-0.1265324059289318,No substantial change
mff,stat,61501,-0.968196,339.5,348.5,-0.037747081623691385,No substantial change
mff,stat,62501,-0.967675,249.5,296.5,-0.2489922892087431,No substantial change
mff,stat,63501,-0.967153,259.5,286,-0.14028060842050868,No substantial change
mff,stat,64501,-0.966632,262,347.5,-0.4074461660734196,No substantial change
mff,stat,65501,-0.966111,255.5,284,-0.15256763856706076,No substantial change
mff,stat,66501,-0.965589,240,262,-0.1265324059289318,No substantial change
