strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,t_test_p,t_test_p_adj_BH,mwu_p,category
mff,stat,501,1,257,320.5,-0.318555997424863,0.37844377964163695,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,1501,-0.999479,345.5,419,-0.27826453331109313,0.4004277968755292,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,2501,-0.998957,284.5,333,-0.2270935247646802,0.5440583516913933,0.651291632474818,0.6666666666666666,Not significant
mff,stat,3501,-0.998436,244.5,300,-0.29512803554364725,0.55331290540379,0.6519483514957823,0.6666666666666666,Not significant
mff,stat,4501,-0.997914,193.5,271.5,-0.48861863165995134,0.4139051190226063,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,5501,-0.997393,226,267.5,-0.24321611887332154,0.3692546335707887,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,6501,-0.996872,207,288,-0.4764380439429871,0.19841069778188822,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,7501,-0.99635,205,271.5,-0.4053282882989156,0.421757056741821,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,8501,-0.995829,248.5,338,-0.4437773947198981,0.2858157885340942,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,9501,-0.995308,260.5,317.5,-0.28547321938101994,0.4312579286690793,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,10501,-0.994786,307,391,-0.34892995193717297,0.33512855093325083,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,11501,-0.994265,319,377,-0.24100809950379493,0.5492920050650658,0.651291632474818,0.6666666666666666,Not significant
mff,stat,12501,-0.993743,282,364.5,-0.3702236519281435,0.2645800055767808,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,13501,-0.993222,350.5,382,-0.1241581940251256,0.6275612094077205,0.6832912856039164,0.6666666666666666,Not significant
mff,stat,14501,-0.99270099999999994,360.5,448.5,-0.3151087256784388,0.4117328886983052,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,15501,-0.992179,374.5,465.5,-0.3138154491000426,0.3498018513746574,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,16501,-0.991658,321,422,-0.39466970158488196,0.13084020786770903,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,17501,-0.991137,327,422,-0.3679523632091027,0.31552373277327517,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,18501,-0.990615,249,336.5,-0.4344607625422361,0.24389431694396618,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,19501,-0.990094,202,290.5,-0.5241828706527342,0.23229654370783367,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,20501,-0.989572,218.5,296,-0.43796389612835146,0.07417973246591744,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,21501,-0.989051,235,297.5,-0.3402289116303062,0.6019019915880892,0.6701893711187241,1,Not significant
mff,stat,22501,-0.98853,230,353.5,-0.6200763538650236,0.18339603738875462,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,23501,-0.988008,359,409,-0.1881169991186975,0.6002401682826806,0.6695099151138507,1,Not significant
mff,stat,24501,-0.987487,433.5,464.5,-0.09964660316081796,0.7365975373596847,0.7584241061388959,1,Not significant
mff,stat,25501,-0.986966,407.5,455.5,-0.16065099468361083,0.2567927742090308,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,26501,-0.986444,295,389,-0.39905520073698825,0.1538348187921513,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,27501,-0.985923,287,364.5,-0.3448680776512492,0.2161563488010341,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,28501,-0.985401,299.5,359,-0.26142784103426575,0.441623225463732,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,29501,-0.98488,285.5,400,-0.4865092544118819,0.27533396337702537,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,30501,-0.984359,316,361.5,-0.19407108877401488,0.600630407905512,0.6697402380143278,1,Not significant
