phase,panel,series,ori_ter_ratio
stat,Meropenem-treated: replicate A vs B,drug_A,0.9698294709226062
stat,Meropenem-treated: replicate A vs B,drug_B,0.9584649399873658
stat,Untreated (no drug): replicate A vs B,ND_A,0.9693573556532841
stat,Untreated (no drug): replicate A vs B,ND_B,0.9390551181102361
stat,Meropenem-treated vs untreated (averaged),drug_avg,0.973848883907724
stat,Meropenem-treated vs untreated (averaged),ND_avg,0.9546915887850468
exp,Meropenem-treated: replicate A vs B,drug_A,1.0057453253943383
exp,Meropenem-treated: replicate A vs B,drug_B,1.0242424242424242
exp,Untreated (no drug): replicate A vs B,ND_A,1.0564378527365799
exp,Untreated (no drug): replicate A vs B,ND_B,1.0356102298478471
exp,Meropenem-treated vs untreated (averaged),drug_avg,1.004431654676259
exp,Meropenem-treated vs untreated (averaged),ND_avg,1.036507561436673
