window_start	window_end	window_mid	raw_count	norm_position	log2_ratio
1	10000	5001	3615.0	-0.998804	-0.038590
10001	20000	15001	4555.0	-0.994022	0.294866
20001	30000	25001	3894.0	-0.989240	0.068668
30001	40000	35001	4155.0	-0.984457	0.162263
40001	50000	45001	3114.0	-0.979675	-0.253816
50001	60000	55001	3895.0	-0.974892	0.069038
60001	70000	65001	4201.0	-0.970110	0.178147
70001	80000	75001	5148.0	-0.965328	0.471427
80001	90000	85001	4263.0	-0.960545	0.199284
90001	100000	95001	4516.0	-0.955763	0.282460
100001	110000	105001	4379.0	-0.950980	0.238016
110001	120000	115001	4127.0	-0.946198	0.152508
120001	130000	125001	3614.0	-0.941416	-0.038989
130001	140000	135001	3664.0	-0.936633	-0.019166
140001	150000	145001	3519.0	-0.931851	-0.077420
150001	160000	155001	3438.0	-0.927068	-0.111016
160001	170000	165001	3665.0	-0.922286	-0.018772
170001	180000	175001	2329.0	-0.917504	-0.672875
180001	190000	185001	2293.0	-0.912721	-0.695349
190001	200000	195001	2644.0	-0.907939	-0.489863
200001	210000	205001	2347.0	-0.903156	-0.661767
210001	220000	215001	2735.0	-0.898374	-0.441044
220001	230000	225001	3042.0	-0.893592	-0.287565
230001	240000	235001	3071.0	-0.888809	-0.273877
240001	250000	245001	3045.0	-0.884027	-0.286143
250001	260000	255001	2475.0	-0.879244	-0.585157
260001	270000	265001	3065.0	-0.874462	-0.276698
270001	280000	275001	3713.0	-0.869680	0.000000
280001	290000	285001	3444.0	-0.864897	-0.108500
290001	300000	295001	4537.0	-0.860115	0.289153
300001	310000	305001	3629.0	-0.855332	-0.033013
310001	320000	315001	3520.0	-0.850550	-0.077010
320001	330000	325001	3804.0	-0.845768	0.034932
330001	340000	335001	2838.0	-0.840985	-0.387711
340001	350000	345001	2421.0	-0.836203	-0.616982
350001	360000	355001	2271.0	-0.831420	-0.709258
360001	370000	365001	2465.0	-0.826638	-0.590998
370001	380000	375001	3038.0	-0.821856	-0.289463
380001	390000	385001	2926.0	-0.817073	-0.343656
390001	400000	395001	4199.0	-0.812291	0.177460
400001	410000	405001	4272.0	-0.807508	0.202326
410001	420000	415001	2795.0	-0.802726	-0.409737
420001	430000	425001	3422.0	-0.797944	-0.117746
430001	440000	435001	4352.0	-0.793161	0.229093
440001	450000	445001	4099.0	-0.788379	0.142687
450001	460000	455001	3304.0	-0.783596	-0.168372
460001	470000	465001	3100.0	-0.778814	-0.260317
470001	480000	475001	3290.0	-0.774032	-0.174498
480001	490000	485001	4358.0	-0.769249	0.231081
490001	500000	495001	3394.0	-0.764467	-0.129599
500001	510000	505001	3605.0	-0.759684	-0.042586
510001	520000	515001	3736.0	-0.754902	0.008909
520001	530000	525001	3251.0	-0.750120	-0.191702
530001	540000	535001	4077.0	-0.745337	0.134923
540001	550000	545001	4446.0	-0.740555	0.259923
550001	560000	555001	3694.0	-0.735772	-0.007401
560001	570000	565001	3718.0	-0.730990	0.001941
570001	580000	575001	2847.0	-0.726208	-0.383143
580001	590000	585001	2442.0	-0.721425	-0.604522
590001	600000	595001	2846.0	-0.716643	-0.383650
600001	610000	605001	2869.0	-0.711860	-0.372037
610001	620000	615001	2687.0	-0.707078	-0.466589
620001	630000	625001	2620.0	-0.702296	-0.503019
630001	640000	635001	3142.0	-0.697513	-0.240902
640001	650000	645001	4077.0	-0.692731	0.134923
650001	660000	655001	3457.0	-0.687948	-0.103065
660001	670000	665001	3400.0	-0.683166	-0.127051
670001	680000	675001	3377.0	-0.678384	-0.136843
680001	690000	685001	3677.0	-0.673601	-0.014056
690001	700000	695001	3083.0	-0.668819	-0.268250
700001	710000	705001	3755.0	-0.664036	0.016228
710001	720000	715001	3537.0	-0.659254	-0.070059
720001	730000	725001	3052.0	-0.654472	-0.282830
730001	740000	735001	2320.0	-0.649689	-0.678461
740001	750000	745001	3325.0	-0.644907	-0.159231
750001	760000	755001	3635.0	-0.640124	-0.030630
760001	770000	765001	4163.0	-0.635342	0.165038
770001	780000	775001	3308.0	-0.630560	-0.166626
780001	790000	785001	3001.0	-0.625777	-0.307142
790001	800000	795001	3251.0	-0.620995	-0.191702
800001	810000	805001	3228.0	-0.616212	-0.201945
810001	820000	815001	3794.0	-0.611430	0.031134
820001	830000	825001	3456.0	-0.606648	-0.103482
830001	840000	835001	3029.0	-0.601865	-0.293744
840001	850000	845001	2906.0	-0.597083	-0.353551
850001	860000	855001	3168.0	-0.592300	-0.229013
860001	870000	865001	3826.0	-0.587518	0.043252
870001	880000	875001	3843.0	-0.582736	0.049648
880001	890000	885001	2697.0	-0.577953	-0.461230
890001	900000	895001	2801.0	-0.573171	-0.406643
900001	910000	905001	2784.0	-0.568388	-0.415426
910001	920000	915001	2660.0	-0.563606	-0.481159
920001	930000	925001	3306.0	-0.558824	-0.167499
930001	940000	935001	3200.0	-0.554041	-0.214513
940001	950000	945001	3023.0	-0.549259	-0.296604
950001	960000	955001	3670.0	-0.544476	-0.016805
960001	970000	965001	3490.0	-0.539694	-0.089358
970001	980000	975001	3699.0	-0.534912	-0.005450
980001	990000	985001	2662.0	-0.530129	-0.480075
990001	1000000	995001	2741.0	-0.525347	-0.437883
1000001	1010000	1005001	2963.0	-0.520564	-0.325527
1010001	1020000	1015001	3564.0	-0.515782	-0.059088
1020001	1030000	1025001	4241.0	-0.511000	0.191819
1030001	1040000	1035001	4708.0	-0.506217	0.342529
1040001	1050000	1045001	3719.0	-0.501435	0.002329
1050001	1060000	1055001	3698.0	-0.496652	-0.005840
1060001	1070000	1065001	3922.0	-0.491870	0.079004
1070001	1080000	1075001	3674.0	-0.487088	-0.015234
1080001	1090000	1085001	3689.0	-0.482305	-0.009356
1090001	1100000	1095001	4028.0	-0.477523	0.117478
1100001	1110000	1105001	3814.0	-0.472740	0.038720
1110001	1120000	1115001	3597.0	-0.467958	-0.045791
1120001	1130000	1125001	3006.0	-0.463176	-0.304740
1130001	1140000	1135001	3060.0	-0.458393	-0.279054
1140001	1150000	1145001	3260.0	-0.453611	-0.187713
1150001	1160000	1155001	3235.0	-0.448828	-0.198820
1160001	1170000	1165001	3462.0	-0.444046	-0.100980
1170001	1180000	1175001	3201.0	-0.439264	-0.214063
1180001	1190000	1185001	3113.0	-0.434481	-0.254280
1190001	1200000	1195001	3949.0	-0.429699	0.088902
1200001	1210000	1205001	4529.0	-0.424916	0.286607
1210001	1220000	1215001	4310.0	-0.420134	0.215103
1220001	1230000	1225001	3705.0	-0.415352	-0.003112
1230001	1240000	1235001	2633.0	-0.410569	-0.495878
1240001	1250000	1245001	2752.0	-0.405787	-0.432105
1250001	1260000	1255001	3003.0	-0.401004	-0.306181
