window_start	window_end	window_mid	raw_count	norm_position	log2_ratio
1	10000	5001	4562.0	-0.995710	0.062363
10001	20000	15001	5348.0	-0.987422	0.291696
20001	30000	25001	5018.0	-0.979135	0.199809
30001	40000	35001	4368.0	-0.970848	-0.000330
40001	50000	45001	4540.0	-0.962561	0.055389
50001	60000	55001	5627.0	-0.954274	0.365063
60001	70000	65001	4765.0	-0.945986	0.125173
70001	80000	75001	4779.0	-0.937699	0.129406
80001	90000	85001	4430.0	-0.929412	0.020004
90001	100000	95001	4689.0	-0.921125	0.101977
100001	110000	105001	4516.0	-0.912837	0.047742
110001	120000	115001	4226.0	-0.904550	-0.048010
120001	130000	125001	4254.0	-0.896263	-0.038483
130001	140000	135001	3562.0	-0.887976	-0.294616
140001	150000	145001	4114.0	-0.879689	-0.086761
150001	160000	155001	4164.0	-0.871401	-0.069333
160001	170000	165001	3939.0	-0.863114	-0.149474
170001	180000	175001	4299.0	-0.854827	-0.023302
180001	190000	185001	4568.0	-0.846540	0.064260
190001	200000	195001	4607.0	-0.838252	0.076524
200001	210000	205001	4926.0	-0.829965	0.173114
210001	220000	215001	5019.0	-0.821678	0.200097
220001	230000	225001	5122.0	-0.813391	0.229404
230001	240000	235001	5076.0	-0.805104	0.216389
240001	250000	245001	4943.0	-0.796816	0.178084
250001	260000	255001	4704.0	-0.788529	0.106585
260001	270000	265001	5026.0	-0.780242	0.202108
270001	280000	275001	4985.0	-0.771955	0.190290
280001	290000	285001	5396.0	-0.763667	0.304587
290001	300000	295001	4595.0	-0.755380	0.072762
300001	310000	305001	5158.0	-0.747093	0.239509
310001	320000	315001	4473.0	-0.738806	0.033940
320001	330000	325001	4073.0	-0.730519	-0.101211
330001	340000	335001	4269.0	-0.722231	-0.033405
340001	350000	345001	4110.0	-0.713944	-0.088165
350001	360000	355001	4373.0	-0.705657	0.001320
360001	370000	365001	4733.0	-0.697370	0.115452
370001	380000	375001	4142.0	-0.689082	-0.076976
380001	390000	385001	4157.0	-0.680795	-0.071760
390001	400000	395001	4264.0	-0.672508	-0.035096
400001	410000	405001	4416.0	-0.664221	0.015437
410001	420000	415001	4234.0	-0.655934	-0.045282
420001	430000	425001	3889.0	-0.647646	-0.167904
430001	440000	435001	4780.0	-0.639359	0.129708
440001	450000	445001	4299.0	-0.631072	-0.023302
450001	460000	455001	4327.0	-0.622785	-0.013936
460001	470000	465001	3893.0	-0.614498	-0.166421
470001	480000	475001	4432.0	-0.606210	0.020655
480001	490000	485001	4105.0	-0.597923	-0.089921
490001	500000	495001	4400.0	-0.589636	0.010200
500001	510000	505001	4007.0	-0.581349	-0.124781
510001	520000	515001	4287.0	-0.573061	-0.027335
520001	530000	525001	4092.0	-0.564774	-0.094497
530001	540000	535001	4494.0	-0.556487	0.040697
540001	550000	545001	4852.0	-0.548200	0.151276
550001	560000	555001	4736.0	-0.539913	0.116366
560001	570000	565001	4320.0	-0.531625	-0.016272
570001	580000	575001	4091.0	-0.523338	-0.094850
580001	590000	585001	4172.0	-0.515051	-0.066564
590001	600000	595001	4192.0	-0.506764	-0.059664
600001	610000	605001	4199.0	-0.498476	-0.057257
610001	620000	615001	4267.0	-0.490189	-0.034081
620001	630000	625001	4655.0	-0.481902	0.091478
630001	640000	635001	4395.0	-0.473615	0.008560
640001	650000	645001	4528.0	-0.465328	0.051571
650001	660000	655001	4073.0	-0.457040	-0.101211
660001	670000	665001	3852.0	-0.448753	-0.181695
670001	680000	675001	3903.0	-0.440466	-0.162720
680001	690000	685001	4144.0	-0.432179	-0.076279
690001	700000	695001	4066.0	-0.423891	-0.103693
700001	710000	705001	4792.0	-0.415604	0.133325
710001	720000	715001	4526.0	-0.407317	0.050933
720001	730000	725001	4148.0	-0.399030	-0.074887
730001	740000	735001	4070.0	-0.390743	-0.102274
740001	750000	745001	4213.0	-0.382455	-0.052455
750001	760000	755001	4370.0	-0.374168	0.000330
760001	770000	765001	4275.0	-0.365881	-0.031379
770001	780000	775001	4320.0	-0.357594	-0.016272
780001	790000	785001	3799.0	-0.349306	-0.201683
790001	800000	795001	4164.0	-0.341019	-0.069333
800001	810000	805001	4205.0	-0.332732	-0.055197
810001	820000	815001	4361.0	-0.324445	-0.002644
820001	830000	825001	4078.0	-0.316158	-0.099441
830001	840000	835001	3765.0	-0.307870	-0.214653
840001	850000	845001	4131.0	-0.299583	-0.080812
850001	860000	855001	4105.0	-0.291296	-0.089921
860001	870000	865001	4150.0	-0.283009	-0.074192
870001	880000	875001	4442.0	-0.274721	0.023906
880001	890000	885001	4095.0	-0.266434	-0.093440
890001	900000	895001	4776.0	-0.258147	0.128500
900001	910000	905001	4108.0	-0.249860	-0.088867
910001	920000	915001	4131.0	-0.241573	-0.080812
920001	930000	925001	4268.0	-0.233285	-0.033743
930001	940000	935001	4238.0	-0.224998	-0.043920
940001	950000	945001	4092.0	-0.216711	-0.094497
950001	960000	955001	4334.0	-0.208424	-0.011604
960001	970000	965001	3927.0	-0.200136	-0.153876
970001	980000	975001	4255.0	-0.191849	-0.038144
980001	990000	985001	4162.0	-0.183562	-0.070026
990001	1000000	995001	4350.0	-0.175275	-0.006288
1000001	1010000	1005001	4809.0	-0.166988	0.138434
1010001	1020000	1015001	4585.0	-0.158700	0.069619
1020001	1030000	1025001	4514.0	-0.150413	0.047103
1030001	1040000	1035001	4102.0	-0.142126	-0.090976
1040001	1050000	1045001	4473.0	-0.133839	0.033940
1050001	1060000	1055001	4004.0	-0.125551	-0.125861
1060001	1070000	1065001	3688.0	-0.117264	-0.244464
1070001	1080000	1075001	4249.0	-0.108977	-0.040180
1080001	1090000	1085001	4577.0	-0.100690	0.067099
1090001	1100000	1095001	4150.0	-0.092403	-0.074192
1100001	1110000	1105001	4392.0	-0.084115	0.007575
1110001	1120000	1115001	5154.0	-0.075828	0.238389
1120001	1130000	1125001	4845.0	-0.067541	0.149194
1130001	1140000	1135001	4405.0	-0.059254	0.011839
1140001	1150000	1145001	3937.0	-0.050966	-0.150206
1150001	1160000	1155001	4314.0	-0.042679	-0.018277
1160001	1170000	1165001	4391.0	-0.034392	0.007246
1170001	1180000	1175001	4641.0	-0.026105	0.087133
1180001	1190000	1185001	4537.0	-0.017818	0.054436
1190001	1200000	1195001	4054.0	-0.009530	-0.107957
1200001	1210000	1205001	4254.0	-0.001243	-0.038483
1210001	1220000	1215001	4100.0	0.003094	-0.091679
1220001	1230000	1225001	4690.0	0.006733	0.102285
