window_start	window_end	window_mid	raw_count	norm_position	log2_ratio
1	10000	5001	1921.0	-0.733932	0.029974
10001	20000	15001	1800.0	-0.729150	-0.063886
20001	30000	25001	1967.0	-0.724367	0.064114
30001	40000	35001	1890.0	-0.719584	0.006503
40001	50000	45001	1792.0	-0.714801	-0.070313
50001	60000	55001	1824.0	-0.710018	-0.044778
60001	70000	65001	2047.0	-0.705235	0.121628
70001	80000	75001	1832.0	-0.700452	-0.038464
80001	90000	85001	1656.0	-0.695669	-0.184181
90001	100000	95001	2014.0	-0.690887	0.098180
100001	110000	105001	1957.0	-0.686104	0.056760
110001	120000	115001	1886.0	-0.681321	0.003446
120001	130000	125001	2072.0	-0.676538	0.139141
130001	140000	135001	1960.0	-0.671755	0.058970
140001	150000	145001	2009.0	-0.666972	0.094594
150001	160000	155001	1997.0	-0.662189	0.085951
160001	170000	165001	1915.0	-0.657406	0.025461
170001	180000	175001	2031.0	-0.652624	0.110307
180001	190000	185001	1991.0	-0.647841	0.081610
190001	200000	195001	2080.0	-0.643058	0.144700
200001	210000	205001	2066.0	-0.638275	0.134957
210001	220000	215001	2007.0	-0.633492	0.093157
220001	230000	225001	1866.0	-0.628709	-0.011934
230001	240000	235001	1954.0	-0.623926	0.054547
240001	250000	245001	1873.0	-0.619143	-0.006532
250001	260000	255001	2029.0	-0.614360	0.108886
260001	270000	265001	1940.0	-0.609578	0.044173
270001	280000	275001	1903.0	-0.604795	0.016392
280001	290000	285001	1928.0	-0.600012	0.035222
290001	300000	295001	2002.0	-0.595229	0.089559
300001	310000	305001	1880.0	-0.590446	-0.001151
310001	320000	315001	2076.0	-0.585663	0.141923
320001	330000	325001	2282.0	-0.580880	0.278416
330001	340000	335001	1899.0	-0.576097	0.013357
340001	350000	345001	1715.0	-0.571315	-0.133675
350001	360000	355001	2019.0	-0.566532	0.101758
360001	370000	365001	2118.0	-0.561749	0.170819
370001	380000	375001	2079.0	-0.556966	0.144006
380001	390000	385001	1999.0	-0.552183	0.087395
390001	400000	395001	1816.0	-0.547400	-0.051119
400001	410000	405001	1907.0	-0.542617	0.019422
410001	420000	415001	1802.0	-0.537834	-0.062284
420001	430000	425001	2290.0	-0.533052	0.283464
430001	440000	435001	1962.0	-0.528269	0.060442
440001	450000	445001	1945.0	-0.523486	0.047887
450001	460000	455001	1872.0	-0.518703	-0.007303
460001	470000	465001	1751.0	-0.513920	-0.103704
470001	480000	475001	1999.0	-0.509137	0.087395
480001	490000	485001	1986.0	-0.504354	0.077982
490001	500000	495001	1750.0	-0.499571	-0.104528
500001	510000	505001	1922.0	-0.494789	0.030725
510001	520000	515001	1832.0	-0.490006	-0.038464
520001	530000	525001	1672.0	-0.485223	-0.170308
530001	540000	535001	2091.0	-0.480440	0.152310
540001	550000	545001	2008.0	-0.475657	0.093876
550001	560000	555001	1916.0	-0.470874	0.026214
560001	570000	565001	1923.0	-0.466091	0.031475
570001	580000	575001	1762.0	-0.461308	-0.094669
580001	590000	585001	1865.0	-0.456526	-0.012708
590001	600000	595001	1552.0	-0.451743	-0.277755
600001	610000	605001	1894.0	-0.446960	0.009553
610001	620000	615001	1824.0	-0.442177	-0.044778
620001	630000	625001	1903.0	-0.437394	0.016392
630001	640000	635001	1751.0	-0.432611	-0.103704
640001	650000	645001	1981.0	-0.427828	0.074346
650001	660000	655001	1916.0	-0.423045	0.026214
660001	670000	665001	1810.0	-0.418263	-0.055894
670001	680000	675001	1938.0	-0.413480	0.042685
680001	690000	685001	1775.0	-0.408697	-0.084064
690001	700000	695001	1870.0	-0.403914	-0.008845
700001	710000	705001	1899.0	-0.399131	0.013357
710001	720000	715001	1669.0	-0.394348	-0.172899
720001	730000	725001	1883.0	-0.389565	0.001150
730001	740000	735001	1728.0	-0.384782	-0.122780
740001	750000	745001	1932.0	-0.380000	0.038212
750001	760000	755001	1840.0	-0.375217	-0.032178
760001	770000	765001	2151.0	-0.370434	0.193124
770001	780000	775001	1977.0	-0.365651	0.071430
780001	790000	785001	2610.0	-0.360868	0.472167
790001	800000	795001	1717.0	-0.356085	-0.131993
800001	810000	805001	2250.0	-0.351302	0.258042
810001	820000	815001	1920.0	-0.346519	0.029223
820001	830000	825001	2321.0	-0.341737	0.302863
830001	840000	835001	2121.0	-0.336954	0.172861
840001	850000	845001	2452.0	-0.332171	0.382076
850001	860000	855001	1905.0	-0.327388	0.017908
860001	870000	865001	1866.0	-0.322605	-0.011934
870001	880000	875001	1894.0	-0.317822	0.009553
880001	890000	885001	1761.0	-0.313039	-0.095488
890001	900000	895001	1772.0	-0.308256	-0.086505
900001	910000	905001	2015.0	-0.303474	0.098897
