window_start	window_end	window_mid	raw_count	norm_position	log2_ratio
1	1000	501	384.0	1.000000	-0.040746
1001	2000	1501	402.0	-0.999479	0.025343
2001	3000	2501	354.0	-0.998957	-0.158103
3001	4000	3501	308.0	-0.998436	-0.358922
4001	5000	4501	264.0	-0.997914	-0.581315
5001	6000	5501	291.0	-0.997393	-0.440834
6001	7000	6501	348.0	-0.996872	-0.182765
7001	8000	7501	277.0	-0.996350	-0.511967
8001	9000	8501	356.0	-0.995829	-0.149975
9001	10000	9501	375.0	-0.995308	-0.074962
10001	11000	10501	431.0	-0.994786	0.125835
11001	12000	11501	420.0	-0.994265	0.088537
12001	13000	12501	392.0	-0.993743	-0.010999
13001	14000	13501	442.0	-0.993222	0.162194
14001	15000	14501	492.0	-0.992701	0.316806
15001	16000	15501	541.0	-0.992179	0.453776
16001	17000	16501	449.0	-0.991658	0.184863
17001	18000	17501	463.0	-0.991137	0.229160
18001	19000	18501	428.0	-0.990615	0.115758
19001	20000	19501	327.0	-0.990094	-0.272562
20001	21000	20501	318.0	-0.989572	-0.312826
21001	22000	21501	347.0	-0.989051	-0.186917
22001	23000	22501	378.0	-0.988530	-0.063466
23001	24000	23501	465.0	-0.988008	0.235378
24001	25000	24501	553.0	-0.987487	0.485427
25001	26000	25501	465.0	-0.986966	0.235378
26001	27000	26501	382.0	-0.986444	-0.048280
27001	28000	27501	374.0	-0.985923	-0.078814
28001	29000	28501	398.0	-0.985401	0.010916
29001	30000	29501	444.0	-0.984880	0.168707
30001	31000	30501	436.0	-0.984359	0.142475
31001	32000	31501	394.0	-0.983837	-0.003657
32001	33000	32501	354.0	-0.983316	-0.158103
33001	34000	33501	358.0	-0.982795	-0.141893
34001	35000	34501	346.0	-0.982273	-0.191081
35001	36000	35501	352.0	-0.981752	-0.166277
36001	37000	36501	352.0	-0.981230	-0.166277
37001	38000	37501	342.0	-0.980709	-0.207856
38001	39000	38501	374.0	-0.980188	-0.078814
39001	40000	39501	295.0	-0.979666	-0.421138
40001	41000	40501	372.0	-0.979145	-0.086550
41001	42000	41501	401.0	-0.978624	0.021750
42001	43000	42501	389.0	-0.978102	-0.022082
43001	44000	43501	414.0	-0.977581	0.067778
44001	45000	44501	409.0	-0.977059	0.050248
45001	46000	45501	318.0	-0.976538	-0.312826
46001	47000	46501	336.0	-0.976017	-0.233391
47001	48000	47501	358.0	-0.975495	-0.141893
48001	49000	48501	344.0	-0.974974	-0.199444
49001	50000	49501	396.0	-0.974453	0.003648
50001	51000	50501	418.0	-0.973931	0.081650
51001	52000	51501	319.0	-0.973410	-0.308296
52001	53000	52501	262.0	-0.972888	-0.592286
53001	54000	53501	265.0	-0.972367	-0.575860
54001	55000	54501	294.0	-0.971846	-0.426036
55001	56000	55501	270.0	-0.971324	-0.548893
56001	57000	56501	302.0	-0.970803	-0.387304
57001	58000	57501	452.0	-0.970282	0.194470
58001	59000	58501	415.0	-0.969760	0.071259
59001	60000	59501	352.0	-0.969239	-0.166277
60001	61000	60501	377.0	-0.968717	-0.067288
61001	62000	61501	421.0	-0.968196	0.091968
62001	63000	62501	302.0	-0.967675	-0.387304
63001	64000	63501	334.0	-0.967153	-0.242005
64001	65000	64501	366.0	-0.966632	-0.110009
65001	66000	65501	319.0	-0.966111	-0.308296
66001	67000	66501	316.0	-0.965589	-0.321928
67001	68000	67501	329.0	-0.965068	-0.263765
68001	69000	68501	452.0	-0.964546	0.194470
69001	70000	69501	568.0	-0.964025	0.524038
70001	71000	70501	537.0	-0.963504	0.443069
71001	72000	71501	488.0	-0.962982	0.305028
72001	73000	72501	378.0	-0.962461	-0.063466
73001	74000	73501	444.0	-0.961940	0.168707
74001	75000	74501	348.0	-0.961418	-0.182765
75001	76000	75501	416.0	-0.960897	0.074731
76001	77000	76501	385.0	-0.960375	-0.036994
77001	78000	77501	522.0	-0.959854	0.402197
78001	79000	78501	491.0	-0.959333	0.313870
79001	80000	79501	445.0	-0.958811	0.171953
80001	81000	80501	327.0	-0.958290	-0.272562
81001	82000	81501	364.0	-0.957769	-0.117914
82001	83000	82501	401.0	-0.957247	0.021750
83001	84000	83501	372.0	-0.956726	-0.086550
84001	85000	84501	384.0	-0.956204	-0.040746
85001	86000	85501	328.0	-0.955683	-0.268157
86001	87000	86501	356.0	-0.955162	-0.149975
87001	88000	87501	394.0	-0.954640	-0.003657
88001	89000	88501	415.0	-0.954119	0.071259
89001	90000	89501	403.0	-0.953597	0.028927
90001	91000	90501	432.0	-0.953076	0.129179
91001	92000	91501	429.0	-0.952555	0.119125
92001	93000	92501	424.0	-0.952033	0.102212
93001	94000	93501	399.0	-0.951512	0.014536
94001	95000	94501	422.0	-0.950991	0.095390
95001	96000	95501	447.0	-0.950469	0.178422
96001	97000	96501	422.0	-0.949948	0.095390
97001	98000	97501	392.0	-0.949426	-0.010999
98001	99000	98501	372.0	-0.948905	-0.086550
99001	100000	99501	370.0	-0.948384	-0.094327
100001	101000	100501	336.0	-0.947862	-0.233391
101001	102000	101501	395.0	-0.947341	0.000000
102001	103000	102501	430.0	-0.946820	0.122484
103001	104000	103501	448.0	-0.946298	0.181646
104001	105000	104501	394.0	-0.945777	-0.003657
105001	106000	105501	383.0	-0.945255	-0.044508
106001	107000	106501	443.0	-0.944734	0.165454
107001	108000	107501	409.0	-0.944213	0.050248
108001	109000	108501	378.0	-0.943691	-0.063466
109001	110000	109501	451.0	-0.943170	0.191275
110001	111000	110501	466.0	-0.942649	0.238477
111001	112000	111501	411.0	-0.942127	0.057286
112001	113000	112501	415.0	-0.941606	0.071259
113001	114000	113501	339.0	-0.941084	-0.220567
114001	115000	114501	387.0	-0.940563	-0.029519
115001	116000	115501	393.0	-0.940042	-0.007323
116001	117000	116501	342.0	-0.939520	-0.207856
117001	118000	117501	337.0	-0.938999	-0.229104
118001	119000	118501	425.0	-0.938478	0.105610
119001	120000	119501	384.0	-0.937956	-0.040746
120001	121000	120501	480.0	-0.937435	0.281182
121001	122000	121501	405.0	-0.936913	0.036069
122001	123000	122501	396.0	-0.936392	0.003648
123001	124000	123501	356.0	-0.935871	-0.149975
124001	125000	124501	380.0	-0.935349	-0.055853
125001	126000	125501	315.0	-0.934828	-0.326501
126001	127000	126501	377.0	-0.934307	-0.067288
127001	128000	127501	543.0	-0.933785	0.459100
128001	129000	128501	465.0	-0.933264	0.235378
129001	130000	129501	367.0	-0.932742	-0.106073
130001	131000	130501	342.0	-0.932221	-0.207856
131001	132000	131501	490.0	-0.931700	0.310929
132001	133000	132501	452.0	-0.931178	0.194470
133001	134000	133501	403.0	-0.930657	0.028927
134001	135000	134501	371.0	-0.930136	-0.090433
135001	136000	135501	408.0	-0.929614	0.046716
136001	137000	136501	386.0	-0.929093	-0.033252
137001	138000	137501	319.0	-0.928571	-0.308296
138001	139000	138501	367.0	-0.928050	-0.106073
139001	140000	139501	409.0	-0.927529	0.050248
140001	141000	140501	442.0	-0.927007	0.162194
141001	142000	141501	327.0	-0.926486	-0.272562
142001	143000	142501	307.0	-0.925965	-0.363614
143001	144000	143501	391.0	-0.925443	-0.014684
144001	145000	144501	428.0	-0.924922	0.115758
145001	146000	145501	479.0	-0.924400	0.278173
146001	147000	146501	402.0	-0.923879	0.025343
147001	148000	147501	378.0	-0.923358	-0.063466
148001	149000	148501	377.0	-0.922836	-0.067288
149001	150000	149501	477.0	-0.922315	0.272137
150001	151000	150501	455.0	-0.921794	0.204014
151001	152000	151501	352.0	-0.921272	-0.166277
152001	153000	152501	393.0	-0.920751	-0.007323
153001	154000	153501	346.0	-0.920229	-0.191081
154001	155000	154501	369.0	-0.919708	-0.098232
155001	156000	155501	347.0	-0.919187	-0.186917
156001	157000	156501	363.0	-0.918665	-0.121883
157001	158000	157501	380.0	-0.918144	-0.055853
158001	159000	158501	393.0	-0.917623	-0.007323
159001	160000	159501	417.0	-0.917101	0.078195
160001	161000	160501	432.0	-0.916580	0.129179
161001	162000	161501	394.0	-0.916058	-0.003657
162001	163000	162501	426.0	-0.915537	0.109001
163001	164000	163501	435.0	-0.915016	0.139163
164001	165000	164501	327.0	-0.914494	-0.272562
165001	166000	165501	386.0	-0.913973	-0.033252
166001	167000	166501	439.0	-0.913452	0.152368
167001	168000	167501	390.0	-0.912930	-0.018379
168001	169000	168501	368.0	-0.912409	-0.102147
169001	170000	169501	486.0	-0.911887	0.299104
170001	171000	170501	365.0	-0.911366	-0.113956
171001	172000	171501	380.0	-0.910845	-0.055853
172001	173000	172501	401.0	-0.910323	0.021750
173001	174000	173501	357.0	-0.909802	-0.145929
174001	175000	174501	350.0	-0.909281	-0.174498
175001	176000	175501	401.0	-0.908759	0.021750
176001	177000	176501	398.0	-0.908238	0.010916
177001	178000	177501	317.0	-0.907716	-0.317370
178001	179000	178501	375.0	-0.907195	-0.074962
179001	180000	179501	394.0	-0.906674	-0.003657
180001	181000	180501	312.0	-0.906152	-0.340307
181001	182000	181501	262.0	-0.905631	-0.592286
182001	183000	182501	335.0	-0.905109	-0.237692
183001	184000	183501	315.0	-0.904588	-0.326501
184001	185000	184501	365.0	-0.904067	-0.113956
185001	186000	185501	303.0	-0.903545	-0.382535
186001	187000	186501	287.0	-0.903024	-0.460802
187001	188000	187501	315.0	-0.902503	-0.326501
188001	189000	188501	330.0	-0.901981	-0.259387
189001	190000	189501	332.0	-0.901460	-0.250669
190001	191000	190501	323.0	-0.900938	-0.290318
191001	192000	191501	362.0	-0.900417	-0.125863
192001	193000	192501	368.0	-0.899896	-0.102147
193001	194000	193501	383.0	-0.899374	-0.044508
194001	195000	194501	425.0	-0.898853	0.105610
195001	196000	195501	361.0	-0.898332	-0.129854
196001	197000	196501	378.0	-0.897810	-0.063466
197001	198000	197501	361.0	-0.897289	-0.129854
198001	199000	198501	341.0	-0.896767	-0.212081
199001	200000	199501	364.0	-0.896246	-0.117914
200001	201000	200501	405.0	-0.895725	0.036069
201001	202000	201501	369.0	-0.895203	-0.098232
