sample_number,pid_sample,sample_id_raw,strain,replicate,treatment,phase
1,PID-2861-1,AB30 A ND  exp,AB30,A,ND,exp
2,PID-2861-2,AB30 B ND   exp,AB30,B,ND,exp
3,PID-2861-3,AB30 A drug exp,AB30,A,drug,exp
4,PID-2861-4,AB30 B drug exp,AB30,B,drug,exp
5,PID-2861-5,AB30 A ND  stat,AB30,A,ND,stat
6,PID-2861-6,AB30 B ND   stat,AB30,B,ND,stat
7,PID-2861-7,AB30 A drug stat,AB30,A,drug,stat
8,PID-2861-8,AB30 B drug stat,AB30,B,drug,stat
9,PID-2861-9,AB42 A ND  exp,AB42,A,ND,exp
10,PID-2861-10,AB42 B ND   exp,AB42,B,ND,exp
11,PID-2861-11,AB42 A drug exp,AB42,A,drug,exp
12,PID-2861-12,AB42 B drug exp,AB42,B,drug,exp
13,PID-2861-13,AB42 A ND    stat,AB42,A,ND,stat
14,PID-2861-14,AB42 B ND    stat,AB42,B,ND,stat
15,PID-2861-15,AB42 A drug stat,AB42,A,drug,stat
16,PID-2861-16,AB42 B drug stat,AB42,B,drug,stat
17,PID-2861-17,Lac-4  A ND  exp,Lac-4,A,ND,exp
18,PID-2861-18, Lac-4 B ND   exp,Lac-4,B,ND,exp
19,PID-2861-19,Lac-4  A drug exp,Lac-4,A,drug,exp
20,PID-2861-20,Lac-4 B drug exp,Lac-4,B,drug,exp
21,PID-2861-21,Lac-4 A ND    stat,Lac-4,A,ND,stat
22,PID-2861-22,Lac-4 B ND    stat,Lac-4,B,ND,stat
23,PID-2861-23,Lac-4 A drug stat,Lac-4,A,drug,stat
24,PID-2861-24,Lac-4 B drug stat,Lac-4,B,drug,stat
25,PID-2861-25,mff  A ND  exp,mff,A,ND,exp
26,PID-2861-26,mff B ND   exp,mff,B,ND,exp
27,PID-2861-27,mff A drug exp,mff,A,drug,exp
28,PID-2861-28,mff B drug exp,mff,B,drug,exp
29,PID-2861-29,mff A ND    stat,mff,A,ND,stat
30,PID-2861-30,mff B ND    stat,mff,B,ND,stat
31,PID-2861-31,mff A drug stat,mff,A,drug,stat
32,PID-2861-32,mff B drug stat,mff,B,drug,stat
33,PID-2861-33,VU   A ND  exp,VU,A,ND,exp
34,PID-2861-34,VU  B ND   exp,VU,B,ND,exp
35,PID-2861-35,VU  A drug exp,VU,A,drug,exp
36,PID-2861-36,VU B drug exp,VU,B,drug,exp
37,PID-2861-37,VU A ND    stat,VU,A,ND,stat
38,PID-2861-38,VU  B ND    stat,VU,B,ND,stat
39,PID-2861-39,VU  A drug stat,VU,A,drug,stat
40,PID-2861-40,VU B drug stat,VU,B,drug,stat
