.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
PID-2861-10_S205_R1_001	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-10_S205_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-11_S206_R1_001	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-11_S206_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-12_S207_R1_001	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-12_S207_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-13_S208_R1_001	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-13_S208_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-14_S209_R1_001	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-14_S209_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-15_S210_R1_001	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-15_S210_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-16_S211_R1_001	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-16_S211_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-17_S212_R1_001	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-17_S212_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-18_S213_R1_001	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-18_S213_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-19_S214_R1_001	1	1	0.5	1	0.25	1	1	0.5	0.5	1	1
PID-2861-19_S214_R2_001	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
PID-2861-1_S196_R1_001	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-1_S196_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-20_S215_R1_001	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-20_S215_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-21_S216_R1_001	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-21_S216_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-22_S217_R1_001	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-22_S217_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-23_S218_R1_001	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-23_S218_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-24_S219_R1_001	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-24_S219_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-25_S220_R1_001	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-25_S220_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-26_S221_R1_001	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-26_S221_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-27_S222_R1_001	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-27_S222_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-28_S223_R1_001	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-28_S223_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-29_S224_R1_001	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-29_S224_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-2_S197_R1_001	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-2_S197_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-30_S225_R1_001	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-30_S225_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-31_S226_R1_001	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-31_S226_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-32_S227_R1_001	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-32_S227_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-33_S228_R1_001	1	1	0.5	1	0.25	1	1	0.5	0.5	1	1
PID-2861-33_S228_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-34_S229_R1_001	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-34_S229_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-35_S230_R1_001	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-35_S230_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-36_S231_R1_001	1	1	0.5	1	0.25	0.5	1	0.5	0.5	1	1
PID-2861-36_S231_R2_001	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
PID-2861-37_S232_R1_001	1	0.5	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-37_S232_R2_001	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-38_S233_R1_001	1	1	0.5	1	0.25	1	1	0.5	0.5	1	1
PID-2861-38_S233_R2_001	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
PID-2861-39_S234_R1_001	1	1	0.5	1	0.25	1	1	0.5	1	1	1
