Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
PID-2861-10_S205_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0001229826237850854)	(4, 0.0001229826237850854)	(5, 0.0001229826237850854)	(6, 0.0001229826237850854)	(7, 0.0001229826237850854)	(8, 0.0001229826237850854)	(9, 0.00036894787135525624)	(10, 0.0004919304951403416)	(15, 0.0005165270198973587)	(20, 0.0006641061684394612)	(25, 0.000910071416009632)	(30, 0.002459652475701708)	(35, 0.007526536575647227)	(40, 0.017807883924080368)	(45, 0.04105159981946151)	(50, 0.06577110720026368)	(55, 0.10409249277169627)	(60, 0.1392901196989877)	(65, 0.19259078884744374)	(70, 0.23455246008291492)	(75, 0.2996348645899821)	(80, 0.3562314680558784)	(85, 0.44190116378456895)	(90, 0.5214217283240051)	(95, 0.629351278957796)	(100, 0.7397896751168027)	(105, 0.8784156886473511)	(110, 1.0117288528303834)	(115, 1.172098194246135)	(120, 1.334607433315747)	(125, 1.516375751270103)	(130, 1.715017285207773)	(135, 1.9378863960311048)	(140, 2.0503663037449438)
PID-2861-10_S205_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0001229826237850854)	(6, 0.0001229826237850854)	(7, 0.00036894787135525624)	(8, 0.00036894787135525624)	(9, 0.00036894787135525624)	(10, 0.00036894787135525624)	(15, 0.00036894787135525624)	(20, 0.00036894787135525624)	(25, 0.0004919304951403416)	(30, 0.0006641061684394612)	(35, 0.0012790192873648881)	(40, 0.0015249845349350588)	(45, 0.0018447393567762808)	(50, 0.0018693358815332981)	(55, 0.0022136872281315377)	(60, 0.0025088455252157424)	(65, 0.0028040038222999475)	(70, 0.003246741267926254)	(75, 0.003812461337337648)	(80, 0.005804779842656031)	(85, 0.009740223803778763)	(90, 0.021472766112875914)	(95, 0.03549278522437564)	(100, 0.05128375411838062)	(105, 0.06798479442839521)	(110, 0.10524852943527607)	(115, 0.1717821289030073)	(120, 0.23888144844014988)	(125, 0.3162129222762116)	(130, 0.3765236009804175)	(135, 0.4347681716050339)	(140, 0.460815891322715)
PID-2861-10_S205_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0001229826237850854)	(4, 0.0001229826237850854)	(5, 0.0001229826237850854)	(6, 0.0001229826237850854)	(7, 0.0001229826237850854)	(8, 0.0001229826237850854)	(9, 0.00036894787135525624)	(10, 0.00036894787135525624)	(15, 0.0003935443961122733)	(20, 0.00059031659416841)	(25, 0.000910071416009632)	(30, 0.002484249000458725)	(35, 0.007772501823217398)	(40, 0.018373603993491756)	(45, 0.041937074710714124)	(50, 0.06717310911141365)	(55, 0.10574045993041643)	(60, 0.14103647295673594)	(65, 0.19320570196636916)	(70, 0.23445407398388682)	(75, 0.2996348645899821)	(80, 0.35687097769956083)	(85, 0.443499937893775)	(90, 0.5237092051264077)	(95, 0.6308270704432171)	(100, 0.7396912890177748)	(105, 0.8795471287861737)	(110, 1.013967136583272)	(115, 1.1744840571475657)	(120, 1.334902591612831)	(125, 1.513227396101205)	(130, 1.709335487988902)	(135, 1.9303598594554576)	(140, 2.042126467951343)
PID-2861-10_S205_R2_001 - polyg	(1, 0.44187656725981184)	(2, 0.44199954988359696)	(3, 0.44433621973551357)	(4, 0.4456890285971495)	(5, 0.4504853509247678)	(6, 0.45626553424266686)	(7, 0.4592171172135089)	(8, 0.4633985264222018)	(9, 0.4670880051357544)	(10, 0.47316334675073757)	(15, 0.478156441276412)	(20, 0.48068988332638485)	(25, 0.48206728871277776)	(30, 0.4831249392773295)	(35, 0.4837890454457689)	(40, 0.4841333967923672)	(45, 0.4848958890598348)	(50, 0.485240240406433)	(55, 0.48541241607973207)	(60, 0.48563378480254527)	(65, 0.48602732919865754)	(70, 0.48632248749574175)	(75, 0.48674062841661103)	(80, 0.4872817519612654)	(85, 0.488118033803004)	(90, 0.48838859557533115)	(95, 0.48883133302095744)	(100, 0.4894216496151259)	(105, 0.4903563175558925)	(110, 0.4944885337150714)	(115, 0.5022118424887747)	(120, 0.5217906761953603)	(125, 0.5464609905266484)	(130, 0.5818799861767531)	(135, 0.6184550184904375)	(140, 0.640739469920295)
PID-2861-11_S206_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0001162146111982075)	(8, 0.0001162146111982075)	(9, 0.0001162146111982075)	(10, 0.0001162146111982075)	(15, 0.00032540091135498106)	(20, 0.000418372600313547)	(25, 0.0005113442892721129)	(30, 0.0010459315007838677)	(35, 0.00339346664698766)	(40, 0.009250683051377318)	(45, 0.02398669575131003)	(50, 0.039071352284837366)	(55, 0.06338344894750238)	(60, 0.0847436944857329)	(65, 0.12504692164927128)	(70, 0.1609107506650381)	(75, 0.21713537956273088)	(80, 0.26710766237796013)	(85, 0.3358834692850593)	(90, 0.39387456027296486)	(95, 0.47659612052384903)	(100, 0.5546226104823255)	(105, 0.6590763030272744)	(110, 0.7540933691429288)	(115, 0.8828359154283032)	(120, 1.0114157612579997)	(125, 1.1579159001344603)	(130, 1.3163861439643358)	(135, 1.4997030716683888)	(140, 1.5850510821323522)
PID-2861-11_S206_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.000232429222396415)	(4, 0.000232429222396415)	(5, 0.000697287667189245)	(6, 0.000697287667189245)	(7, 0.0008135022783874525)	(8, 0.0008135022783874525)	(9, 0.0008135022783874525)	(10, 0.0009994456563045845)	(15, 0.0010459315007838677)	(20, 0.0010459315007838677)	(25, 0.001069174423023509)	(30, 0.0013713324121388487)	(35, 0.0018129479346920372)	(40, 0.0020221342348488106)	(45, 0.0024172639129227164)	(50, 0.0025334785241209238)	(55, 0.002719421902038056)	(60, 0.0029750940466741122)	(65, 0.003486438335946225)	(70, 0.003904810936259772)	(75, 0.00432318353657332)	(80, 0.005229657503919338)	(85, 0.00773989310580062)	(90, 0.014619798088734504)	(95, 0.023754266528913614)	(100, 0.033237378802687345)	(105, 0.041581587886718646)	(110, 0.0646850525929223)	(115, 0.11284438747345948)	(120, 0.16648905200255207)	(125, 0.22998871556125264)	(130, 0.27749724861907993)	(135, 0.3179166903938165)	(140, 0.34085745464434264)
PID-2861-11_S206_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0001162146111982075)	(8, 0.0001162146111982075)	(9, 0.0001162146111982075)	(10, 0.0001162146111982075)	(15, 0.00032540091135498106)	(20, 0.000418372600313547)	(25, 0.0005113442892721129)	(30, 0.0011389031897424335)	(35, 0.003974539702978697)	(40, 0.010226885785442261)	(45, 0.025125598941052464)	(50, 0.04011728378562123)	(55, 0.06424343707036911)	(60, 0.08585935475323571)	(65, 0.12539556548286587)	(70, 0.16095723650951738)	(75, 0.21797212476335798)	(80, 0.267828192967389)	(85, 0.33579049759610075)	(90, 0.39287511461666036)	(95, 0.475294516878429)	(100, 0.5523448041028407)	(105, 0.6573330838593012)	(110, 0.7540003974539703)	(115, 0.8812553967160074)	(120, 1.0078131083108555)	(125, 1.151338153140642)	(130, 1.3066241166236867)	(135, 1.488778898215757)	(140, 1.5745917671245135)
PID-2861-11_S206_R2_001 - polyg	(1, 0.40965650447368146)	(2, 0.4107024359744653)	(3, 0.4120970113088438)	(4, 0.41360780125442054)	(5, 0.4165131665343757)	(6, 0.42034824870391657)	(7, 0.42209146787188967)	(8, 0.42546169159663766)	(9, 0.4269724815422144)	(10, 0.43185349521253913)	(15, 0.43636262212702953)	(20, 0.4382685417506801)	(25, 0.43940744494042255)	(30, 0.44052310520792537)	(35, 0.4409182348859993)	(40, 0.44163876547542824)	(45, 0.4419874093090228)	(50, 0.4421733526869399)	(55, 0.4423592960648571)	(60, 0.44282415450964996)	(65, 0.44312631249876516)	(70, 0.44349819925459955)	(75, 0.44389332893267336)	(80, 0.4441025152328302)	(85, 0.44454413075538335)	(90, 0.44489277458897797)	(95, 0.44526466134481224)	(100, 0.44568303394512576)	(105, 0.44621762115663743)	(110, 0.4480305690913296)	(115, 0.45244672431686145)	(120, 0.46481195894835076)	(125, 0.47950148580380414)	(130, 0.5006757879641175)	(135, 0.5235700663701645)	(140, 0.5377250060141061)
PID-2861-12_S207_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0001337112905813767)	(5, 0.0001337112905813767)	(6, 0.0001337112905813767)	(7, 0.0001337112905813767)	(8, 0.0001337112905813767)	(9, 0.0001337112905813767)	(10, 0.0001337112905813767)	(15, 0.00034764935551157944)	(20, 0.0005348451623255068)	(25, 0.0005883296785580575)	(30, 0.0016312777450927956)	(35, 0.00516125581644114)	(40, 0.013103706476974914)	(45, 0.03035246296197251)	(50, 0.04891159009466759)	(55, 0.07608172434080333)	(60, 0.10242284858533454)	(65, 0.14325827672888697)	(70, 0.17952077873455635)	(75, 0.23220302722361877)	(80, 0.2832272557094721)	(85, 0.36168904102262395)	(90, 0.4261646253409637)	(95, 0.517970797454137)	(100, 0.6059528266566828)	(105, 0.7208108252660855)	(110, 0.8255067657913034)	(115, 0.9632561373482377)	(120, 1.1013799005188)	(125, 1.2545328127507085)	(130, 1.4209498850082902)	(135, 1.601674065358079)	(140, 1.687837621008718)
PID-2861-12_S207_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0002674225811627534)	(6, 0.0004011338717441301)	(7, 0.0004011338717441301)	(8, 0.0005348451623255068)	(9, 0.0006685564529068835)	(10, 0.0008022677434882601)	(15, 0.0009359790340696368)	(20, 0.0010162058084184629)	(25, 0.0012034016152323902)	(30, 0.0012034016152323902)	(35, 0.001417339680162593)	(40, 0.0019254425843718242)	(45, 0.002540514521046157)	(50, 0.0026207412953949834)	(55, 0.002674225811627534)	(60, 0.0027811948440926355)	(65, 0.003075359683371664)	(70, 0.003075359683371664)	(75, 0.0032625554901855912)	(80, 0.004358988072952879)	(85, 0.0071134406589292406)	(90, 0.01708830293629994)	(95, 0.02815959779643793)	(100, 0.0413167887896454)	(105, 0.054286783976038935)	(110, 0.0838102369364069)	(115, 0.13232069315933037)	(120, 0.18527036422955556)	(125, 0.24784724822163984)	(130, 0.30331069155479484)	(135, 0.3575974755308338)	(140, 0.3829491362250628)
