Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
PID-2861-10_S205_R1_001	(1, 0.0001229826237850854)	(2, 0.029023899213280153)	(3, 0.0033205308421973057)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09936996001834901)	(35, 0.08601404707528873)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 4.919304951403416e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 4.919304951403416e-05)	(95, 0.0)	(100, 0.0)	(105, 2.459652475701708e-05)	(110, 0.0)	(115, 0.0)	(120, 0.0005411235446543758)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.00022137231650633162)	(145, 0.0)	(150, 0.0)
PID-2861-10_S205_R2_001	(1, 0.0)	(2, 0.0)	(3, 0.0023366698519166227)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00034435134659823916)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 4.919304951403416e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.00022136872281315373)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 7.378957427105124e-05)	(120, 0.0007870887922245465)	(125, 0.0)	(130, 0.00019677219805613663)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
PID-2861-11_S206_R1_001	(1, 0.0003486438335946225)	(2, 0.028821223577155462)	(3, 0.00139457533437849)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09590029716076083)	(35, 0.08902039217782695)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 2.32429222396415e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 2.32429222396415e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 4.6485844479283e-05)	(115, 0.0)	(120, 0.00048810136703247153)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 9.297259655959555e-05)	(145, 0.0)	(150, 0.0)
PID-2861-11_S206_R2_001	(1, 0.0)	(2, 0.0)	(3, 0.00232429222396415)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00032540091135498106)	(35, 2.32429222396415e-05)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 4.6485844479283e-05)	(65, 4.6485844479283e-05)	(70, 0.0)	(75, 0.0)	(80, 2.32429222396415e-05)	(85, 4.6485844479283e-05)	(90, 0.00013945753343784902)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.00013945753343784902)	(120, 0.0005345872115117545)	(125, 0.0)	(130, 4.6485844479283e-05)	(135, 4.6485844479283e-05)	(140, 0.0)	(145, 0.0)	(150, 0.00014912975332447503)
PID-2861-12_S207_R1_001	(1, 0.0)	(2, 0.02714339198801947)	(3, 0.0018719580681392735)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09466759373161471)	(35, 0.08442530887308124)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 5.3484516232550676e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 5.3484516232550676e-05)	(95, 0.0)	(100, 0.0)	(105, 2.6742258116275338e-05)	(110, 0.0)	(115, 5.3484516232550676e-05)	(120, 0.0005081029042092314)	(125, 0.0)	(130, 0.0)	(135, 2.6742258116275338e-05)	(140, 0.00010697017671473195)	(145, 0.0)	(150, 0.0)
PID-2861-12_S207_R2_001	(1, 0.0)	(2, 0.0)	(3, 0.0021393806493020273)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00034764935551157944)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 5.3484516232550676e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 8.022677434882601e-05)	(85, 0.0)	(90, 8.022677434882601e-05)	(95, 0.0)	(100, 0.0)	(105, 2.6742258116275338e-05)	(110, 0.0)	(115, 0.00016045354869765203)	(120, 0.0007220409691394341)	(125, 0.0)	(130, 0.0)	(135, 2.6742258116275338e-05)	(140, 0.0)	(145, 0.0)	(150, 0.00017135904861456208)
PID-2861-13_S208_R1_001	(1, 0.00021830414788796197)	(2, 0.027397170559939225)	(3, 0.0018555852570476766)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09882628774888037)	(35, 0.08753996330307273)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 2.1830414788796195e-05)	(120, 0.0002837953922543505)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
PID-2861-13_S208_R2_001	(1, 0.0)	(2, 0.0)	(3, 0.0017464331831036958)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00024013456267675816)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 2.1830414788796195e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 6.549124436638857e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00037111705140953534)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
PID-2861-14_S209_R1_001	(1, 0.0)	(2, 0.029432674380480077)	(3, 0.0012985003403152974)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09948676774049038)	(35, 0.0940979913281819)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 4.328334467717658e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 2.164167233858829e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 6.492501701576487e-05)	(115, 8.656668935435317e-05)	(120, 0.00043283344677176583)	(125, 6.492501701576487e-05)	(130, 0.0)	(135, 0.0)	(140, 4.3283653798292115e-05)	(145, 0.0)	(150, 0.0)
PID-2861-14_S209_R2_001	(1, 0.00021641672338588292)	(2, 0.0)	(3, 0.0019477505104729463)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0003029834127402361)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 4.328334467717658e-05)	(65, 2.164167233858829e-05)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 4.328334467717658e-05)	(90, 0.00015149170637011804)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 4.328334467717658e-05)	(120, 0.0005410418084647073)	(125, 2.164167233858829e-05)	(130, 6.492501701576487e-05)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.00020820479578926622)
