Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
PID-2861-10_S205_R1_001	(1, 39.090600069116235)	(2, 38.64766831094435)	(3, 39.02448952987432)	(4, 38.77416331846474)	(5, 39.12424565533136)	(6, 39.14695316698704)	(7, 39.10008694871502)	(8, 39.24732174591052)	(9, 39.13941187249654)	(10, 39.22356051913425)	(15, 39.41938821063972)	(20, 39.49638025243413)	(25, 39.489485354614246)	(30, 39.45723143976987)	(35, 39.47481155987471)	(40, 39.488356866058396)	(45, 39.512864843326284)	(50, 39.528596780560875)	(55, 39.508365647017726)	(60, 39.49396487370299)	(65, 39.506693083334255)	(70, 39.48116287449746)	(75, 39.466380363118496)	(80, 39.40970406691239)	(85, 39.38755046899424)	(90, 39.40669443614312)	(95, 39.44383912397018)	(100, 39.42440590169015)	(105, 39.395344123828735)	(110, 39.32410127373104)	(115, 39.308501173869146)	(120, 39.24100142290896)	(125, 39.051547182898524)	(130, 38.981189315761576)	(135, 39.181801523262784)	(140, 39.20294412918973)	(145, 39.246062732074826)	(150, 39.02050559948539)
PID-2861-10_S205_R2_001	(1, 38.628945436299304)	(2, 37.900076618174616)	(3, 38.41530248191233)	(4, 38.10549203503037)	(5, 38.45191440901315)	(6, 38.7710493984305)	(7, 38.62519692592634)	(8, 38.98759228308632)	(9, 38.69097295243155)	(10, 38.761332787290485)	(15, 38.889258328690744)	(20, 38.96443121151412)	(25, 39.01313036281104)	(30, 39.00763057987537)	(35, 38.98459544250993)	(40, 38.96401011901029)	(45, 38.99157593623597)	(50, 39.03449883965895)	(55, 38.996616256089176)	(60, 38.92059823667514)	(65, 38.91681824275048)	(70, 38.84239604586268)	(75, 38.777339221741364)	(80, 38.759139761143146)	(85, 38.78111921566602)	(90, 38.74926032100924)	(95, 38.76764425554313)	(100, 38.721628093166714)	(105, 38.67773510280732)	(110, 38.62292814248275)	(115, 38.52657912763506)	(120, 38.50825914406553)	(125, 38.529525299370455)	(130, 38.440776118742185)	(135, 38.34060529587775)	(140, 38.07180748771064)	(145, 38.25324663949384)	(150, 37.954745959786926)
PID-2861-11_S206_R1_001	(1, 39.248279733217736)	(2, 38.58157742740364)	(3, 38.986664373365)	(4, 38.72681779989471)	(5, 39.12678200579446)	(6, 39.13831514380977)	(7, 39.166192704744)	(8, 39.298361257767496)	(9, 39.15873637528952)	(10, 39.22264139541208)	(15, 39.41762255121287)	(20, 39.48804023814698)	(25, 39.48038030069368)	(30, 39.44646236912782)	(35, 39.46271939865911)	(40, 39.481426232194465)	(45, 39.501738686798134)	(50, 39.51891055774878)	(55, 39.49581639021148)	(60, 39.48367940107638)	(65, 39.49624684913135)	(70, 39.472424713269504)	(75, 39.45421434855319)	(80, 39.39480357987489)	(85, 39.37413132483495)	(90, 39.40094110592148)	(95, 39.4397061164912)	(100, 39.42045167970788)	(105, 39.39871396911248)	(110, 39.330151067373095)	(115, 39.3105554244913)	(120, 39.24262891396283)	(125, 39.04421477854724)	(130, 38.977113391758294)	(135, 39.176457708921916)	(140, 39.20902828874258)	(145, 39.263855678457276)	(150, 39.034015033202124)
PID-2861-11_S206_R2_001	(1, 38.78267054203657)	(2, 38.141203076898044)	(3, 38.58722545750787)	(4, 38.328452707045045)	(5, 38.64401721370821)	(6, 38.84960086091784)	(7, 38.74998634478318)	(8, 39.06146939430107)	(9, 38.819203767212834)	(10, 38.86055385559405)	(15, 38.96581640183293)	(20, 39.025555360573264)	(25, 39.07342276435047)	(30, 39.068662613875794)	(35, 39.04196904740046)	(40, 39.03329618339596)	(45, 39.05100543070878)	(50, 39.09242989644116)	(55, 39.057474400826514)	(60, 38.981031218731005)	(65, 38.97521769902043)	(70, 38.90550938607307)	(75, 38.837846450282804)	(80, 38.8265136662572)	(85, 38.852479264408)	(90, 38.82101578543064)	(95, 38.83167220041907)	(100, 38.79213598968944)	(105, 38.75065016264235)	(110, 38.693234566409096)	(115, 38.60405519264315)	(120, 38.57542316645303)	(125, 38.60503511424478)	(130, 38.511653420137904)	(135, 38.417421964793945)	(140, 38.152489252439835)	(145, 38.32435317304783)	(150, 38.01947564651613)
PID-2861-12_S207_R1_001	(1, 38.95921805637268)	(2, 38.124963897951545)	(3, 38.56225597689469)	(4, 38.19807990586725)	(5, 38.73232069315933)	(6, 38.615152163448684)	(7, 38.76107396908595)	(8, 38.94847301706156)	(9, 38.79488153179655)	(10, 38.90993528373536)	(15, 39.19446970102156)	(20, 39.29764561159544)	(25, 39.298252126009515)	(30, 39.272553885650105)	(35, 39.29725036102049)	(40, 39.30817992191261)	(45, 39.33936460394716)	(50, 39.364889554473976)	(55, 39.33997325774188)	(60, 39.32364657431673)	(65, 39.341224795421724)	(70, 39.31386639567845)	(75, 39.29247900732737)	(80, 39.231537679841686)	(85, 39.1928180991603)	(90, 39.22983152377387)	(95, 39.27826068353212)	(100, 39.25103278600845)	(105, 39.22944483072151)	(110, 39.147174413007434)	(115, 39.128802481681554)	(120, 39.03531529122319)	(125, 38.77304059474782)	(130, 38.68123977108627)	(135, 38.960394180884634)	(140, 39.005158178388925)	(145, 39.070019393276674)	(150, 38.81265748584187)
PID-2861-12_S207_R2_001	(1, 38.745477884152535)	(2, 38.01781034390544)	(3, 38.565470396320265)	(4, 38.23025084238113)	(5, 38.666042680643955)	(6, 38.8315077285126)	(7, 38.81973578648981)	(8, 39.10400599026582)	(9, 38.85841044017757)	(10, 38.92899716532064)	(15, 39.04080440712414)	(20, 39.10185698240359)	(25, 39.150646627801244)	(30, 39.1434652618067)	(35, 39.11204364336525)	(40, 39.09924693801145)	(45, 39.113602182168265)	(50, 39.14338236080655)	(55, 39.113150772851256)	(60, 39.04133176445419)	(65, 39.04195646360379)	(70, 38.96999518639355)	(75, 38.90748569289191)	(80, 38.891428036583406)	(85, 38.91727335936247)	(90, 38.880119270471205)	(95, 38.89607851526982)	(100, 38.85495747980959)	(105, 38.81459859870567)	(110, 38.76068888056908)	(115, 38.668949029256034)	(120, 38.64461090014441)	(125, 38.667012889768415)	(130, 38.58329036743862)	(135, 38.48696100978767)	(140, 38.22786177529806)	(145, 38.40235806881193)	(150, 38.10415538458714)
PID-2861-13_S208_R1_001	(1, 39.262149444470516)	(2, 38.64904879425161)	(3, 39.021501867046226)	(4, 38.793144813148025)	(5, 39.14936478950568)	(6, 39.21552404456461)	(7, 39.16198713533657)	(8, 39.30730347441967)	(9, 39.17588001130815)	(10, 39.235991368254)	(15, 39.417760133951425)	(20, 39.491498035808426)	(25, 39.48383992630052)	(30, 39.45134971997036)	(35, 39.468397964095516)	(40, 39.485560162985884)	(45, 39.50523722565991)	(50, 39.52201695568316)	(55, 39.49894831976755)	(60, 39.4897647008742)	(65, 39.49783933469628)	(70, 39.47451222666957)	(75, 39.45755436046162)	(80, 39.405194547198995)	(85, 39.38066065384275)	(90, 39.40632448946847)	(95, 39.44603925326883)	(100, 39.42966294931087)	(105, 39.40356774468893)	(110, 39.34040274932244)	(115, 39.32510443124674)	(120, 39.259324152188555)	(125, 39.067609886121645)	(130, 39.00779804246671)	(135, 39.21161989318378)	(140, 39.243808738374)	(145, 39.29394234891977)	(150, 39.08108736101025)
PID-2861-13_S208_R2_001	(1, 38.56265929380791)	(2, 38.03989071694357)	(3, 38.50845000780437)	(4, 38.19713082858431)	(5, 38.57866972001401)	(6, 38.86557812941725)	(7, 38.73565223276025)	(8, 39.02607097286152)	(9, 38.79554615877479)	(10, 38.84430831968022)	(15, 38.93309261662627)	(20, 38.99544814021239)	(25, 39.04127192728725)	(30, 39.02732709492847)	(35, 39.00682440596712)	(40, 38.99022805142808)	(45, 39.01013913614865)	(50, 39.0505795429366)	(55, 39.01242783683511)	(60, 38.93911912093286)	(65, 38.9357760112121)	(70, 38.869344312576615)	(75, 38.8031108341074)	(80, 38.79100805214849)	(85, 38.811760917663314)	(90, 38.78364116037387)	(95, 38.79285141237326)	(100, 38.75031353933241)	(105, 38.70794507031031)	(110, 38.65829746778104)	(115, 38.57070598469907)	(120, 38.5516737924779)	(125, 38.57136962930864)	(130, 38.4835065758667)	(135, 38.387531340289236)	(140, 38.135061450695574)	(145, 38.309745422858086)	(150, 38.01177679370906)
PID-2861-14_S209_R1_001	(1, 39.20045274378532)	(2, 38.591330562477886)	(3, 38.977707995407634)	(4, 38.70781902800757)	(5, 39.10216492469239)	(6, 39.094893322786625)	(7, 39.13499534163003)	(8, 39.21868368856335)	(9, 39.150001677229604)	(10, 39.17706502132246)	(15, 39.379478717038374)	(20, 39.44678604934518)	(25, 39.44380036422935)	(30, 39.40436014772605)	(35, 39.42078314719692)	(40, 39.43850334850775)	(45, 39.45890711718857)	(50, 39.47763928309796)	(55, 39.45329499871773)	(60, 39.43978799817777)	(65, 39.45141909855943)	(70, 39.42305811979315)	(75, 39.4055673202091)	(80, 39.35001747565041)	(85, 39.31592751338267)	(90, 39.34859475211087)	(95, 39.388269564342316)	(100, 39.37125141888214)	(105, 39.35225003056886)	(110, 39.282790217531264)	(115, 39.26421084182859)	(120, 39.19196487989413)	(125, 38.98499388081714)	(130, 38.91646898802459)	(135, 39.14447612544812)	(140, 39.182071457243424)	(145, 39.234620489779104)	(150, 39.02336990587108)
PID-2861-14_S209_R2_001	(1, 38.48487517624437)	(2, 37.826223863622836)	(3, 38.32399531241377)	(4, 38.132124573794314)	(5, 38.47661671407997)	(6, 38.786936653742984)	(7, 38.649983822849926)	(8, 38.965558360556756)	(9, 38.70249084827781)	(10, 38.737904415225785)	(15, 38.842635393007356)	(20, 38.89390624611126)	(25, 38.94169884963691)	(30, 38.934916349526)	(35, 38.915227621699245)	(40, 38.89563671423146)	(45, 38.92500013526045)	(50, 38.97232008466222)	(55, 38.93215660346937)	(60, 38.85519448829889)	(65, 38.85574808227731)	(70, 38.77204285483956)	(75, 38.711039308851554)	(80, 38.69878406263966)	(85, 38.72242109716787)	(90, 38.68736461781348)	(95, 38.70644348331373)	(100, 38.66067480898519)	(105, 38.61920417078309)	(110, 38.56346301384093)	(115, 38.47039516611606)	(120, 38.450164963647396)	(125, 38.477945945595)	(130, 38.387029280100585)	(135, 38.285644537696)	(140, 38.01761286800415)	(145, 38.20343546693102)	(150, 37.89817419646842)
