Sample	Unique Reads	Duplicate Reads
PID-2861-10_S205_R1_001	628405.0	184718.0
PID-2861-10_S205_R2_001	636598.0	176525.0
PID-2861-11_S206_R1_001	638381.0	222096.0
PID-2861-11_S206_R2_001	646562.0	213915.0
PID-2861-12_S207_R1_001	574279.0	173601.0
PID-2861-12_S207_R2_001	574919.0	172961.0
PID-2861-13_S208_R1_001	671064.0	245089.0
PID-2861-13_S208_R2_001	682090.0	234063.0
PID-2861-14_S209_R1_001	672674.0	251469.0
PID-2861-14_S209_R2_001	682703.0	241440.0
PID-2861-15_S210_R1_001	377913.0	126423.0
PID-2861-15_S210_R2_001	383688.0	120648.0
PID-2861-16_S211_R1_001	563884.0	165396.0
PID-2861-16_S211_R2_001	561218.0	168062.0
PID-2861-17_S212_R1_001	703103.0	212182.0
PID-2861-17_S212_R2_001	697352.0	217933.0
PID-2861-18_S213_R1_001	726609.0	257046.0
PID-2861-18_S213_R2_001	735204.0	248451.0
PID-2861-19_S214_R1_001	760505.0	359385.0
PID-2861-19_S214_R2_001	773033.0	346857.0
PID-2861-1_S196_R1_001	745771.0	242839.0
PID-2861-1_S196_R2_001	755424.0	233186.0
PID-2861-20_S215_R1_001	740685.0	297757.0
PID-2861-20_S215_R2_001	749660.0	288782.0
PID-2861-21_S216_R1_001	786407.0	289638.0
PID-2861-21_S216_R2_001	801781.0	274264.0
PID-2861-22_S217_R1_001	744396.0	261973.0
PID-2861-22_S217_R2_001	754439.0	251930.0
PID-2861-23_S218_R1_001	613376.0	227200.0
PID-2861-23_S218_R2_001	622122.0	218454.0
PID-2861-24_S219_R1_001	704196.0	265009.0
PID-2861-24_S219_R2_001	711165.0	258040.0
PID-2861-25_S220_R1_001	715771.0	270775.0
PID-2861-25_S220_R2_001	725882.0	260664.0
PID-2861-26_S221_R1_001	840056.0	345794.0
PID-2861-26_S221_R2_001	849861.0	335989.0
PID-2861-27_S222_R1_001	852042.0	355050.0
PID-2861-27_S222_R2_001	854059.0	353033.0
PID-2861-28_S223_R1_001	708494.0	266924.0
PID-2861-28_S223_R2_001	716428.0	258990.0
PID-2861-29_S224_R1_001	648275.0	234494.0
PID-2861-29_S224_R2_001	660793.0	221976.0
PID-2861-2_S197_R1_001	706751.0	247088.0
PID-2861-2_S197_R2_001	712785.0	241054.0
PID-2861-30_S225_R1_001	583664.0	194406.0
PID-2861-30_S225_R2_001	584334.0	193736.0
PID-2861-31_S226_R1_001	429177.0	98908.0
PID-2861-31_S226_R2_001	433267.0	94818.0
PID-2861-32_S227_R1_001	573098.0	191319.0
PID-2861-32_S227_R2_001	580664.0	183753.0
PID-2861-33_S228_R1_001	853237.0	378256.0
PID-2861-33_S228_R2_001	868166.0	363327.0
PID-2861-34_S229_R1_001	650768.0	228202.0
PID-2861-34_S229_R2_001	658610.0	220360.0
PID-2861-35_S230_R1_001	638874.0	223772.0
PID-2861-35_S230_R2_001	647834.0	214812.0
PID-2861-36_S231_R1_001	671267.0	397195.0
PID-2861-36_S231_R2_001	683276.0	385186.0
PID-2861-37_S232_R1_001	382526.0	62680.0
PID-2861-37_S232_R2_001	361949.0	83257.0
PID-2861-38_S233_R1_001	737001.0	353972.0
PID-2861-38_S233_R2_001	749975.0	340998.0
PID-2861-39_S234_R1_001	786225.0	260671.0
PID-2861-39_S234_R2_001	796774.0	250122.0
PID-2861-3_S198_R1_001	680539.0	200902.0
PID-2861-3_S198_R2_001	663999.0	217442.0
PID-2861-40_S235_R1_001	709722.0	246979.0
PID-2861-40_S235_R2_001	718251.0	238450.0
PID-2861-4_S199_R1_001	689527.0	222720.0
PID-2861-4_S199_R2_001	697727.0	214520.0
PID-2861-5_S200_R1_001	657228.0	199734.0
PID-2861-5_S200_R2_001	662956.0	194006.0
PID-2861-6_S201_R1_001	670518.0	238451.0
PID-2861-6_S201_R2_001	678453.0	230516.0
PID-2861-7_S202_R1_001	712471.0	255869.0
PID-2861-7_S202_R2_001	719524.0	248816.0
PID-2861-8_S203_R1_001	725526.0	253784.0
PID-2861-8_S203_R2_001	741396.0	237914.0
PID-2861-9_S204_R1_001	760311.0	284033.0
PID-2861-9_S204_R2_001	770395.0	273949.0
