Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
PID-2861-10_S205_R1_001	(1.0, 61.43739354331549)	(2.0, 22.85660253877758)	(3.0, 8.901066710200228)	(4.0, 3.6332724467955746)	(5.0, 1.5547128297641837)	(6.0, 0.7319980196112945)	(7.0, 0.4029783443648932)	(8.0, 0.1821780119189722)	(9.0, 0.10566056037863486)	('>10', 0.19413699487315206)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-10_S205_R2_001	(1.0, 63.35705737135453)	(2.0, 21.53071241615641)	(3.0, 8.45508244291385)	(4.0, 3.4328680869268604)	(5.0, 1.4514678270730486)	(6.0, 0.6573213428247219)	(7.0, 0.29702142306987867)	(8.0, 0.18919995811542306)	(9.0, 0.09555828092403203)	('>10', 0.1755750904942803)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.35813576014693893)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-11_S206_R1_001	(1.0, 57.406937000531336)	(2.0, 23.041569633766276)	(3.0, 10.042276322061868)	(4.0, 4.328532188347527)	(5.0, 2.1362855182480174)	(6.0, 1.1140622640568987)	(7.0, 0.6506017310073658)	(8.0, 0.3747931816605869)	(9.0, 0.26073409708381395)	('>10', 0.6442080632362568)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-11_S206_R2_001	(1.0, 59.0712373418812)	(2.0, 22.217520717468084)	(3.0, 9.48614138039315)	(4.0, 4.168049185305789)	(5.0, 1.9824834882273517)	(6.0, 0.9993906061983306)	(7.0, 0.584384845949673)	(8.0, 0.3170372450160795)	(9.0, 0.20294596357021102)	('>10', 0.6197706538871526)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.35103857210296296)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-12_S207_R1_001	(1.0, 61.20168783395612)	(2.0, 22.001261192291633)	(3.0, 8.897353994214134)	(4.0, 3.824123328076554)	(5.0, 1.796099825075525)	(6.0, 0.8383182471944596)	(7.0, 0.49292525135765375)	(8.0, 0.28572559779139484)	(9.0, 0.18289314320356292)	('>10', 0.4796115868389867)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-12_S207_R2_001	(1.0, 61.5260224637904)	(2.0, 21.693683888355793)	(3.0, 8.752924379120106)	(4.0, 3.7168677449973218)	(5.0, 1.7104865174990522)	(6.0, 0.8651341019064032)	(7.0, 0.4826937887634246)	(8.0, 0.2865004173365627)	(9.0, 0.2009337011932159)	('>10', 0.496943418523967)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.26780957851376574)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-13_S208_R1_001	(1.0, 56.25459632133073)	(2.0, 22.979763648244248)	(3.0, 10.130030282037445)	(4.0, 4.800606285390921)	(5.0, 2.4017523047355196)	(6.0, 1.1989801654749817)	(7.0, 0.6938362609843244)	(8.0, 0.4071698150998394)	(9.0, 0.2735613221741839)	('>10', 0.8528225346905567)	('>50', 0.006881059837251218)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-13_S208_R2_001	(1.0, 58.317535627494756)	(2.0, 21.895430027813997)	(3.0, 9.773474646803924)	(4.0, 4.406607157380867)	(5.0, 2.1106882697769986)	(6.0, 1.1180405613930986)	(7.0, 0.5855239971400404)	(8.0, 0.39611032801960144)	(9.0, 0.2483575500270236)	('>10', 0.764139728323092)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.3840921058265945)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-14_S209_R1_001	(1.0, 55.767995227317954)	(2.0, 22.98611813723348)	(3.0, 10.024549198614103)	(4.0, 4.8178308242949734)	(5.0, 2.3931363513690855)	(6.0, 1.2825683653389404)	(7.0, 0.8085982097407687)	(8.0, 0.47144566877350425)	(9.0, 0.25756649960044087)	('>10', 1.1703130331711804)	('>50', 0.01987848454557928)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-14_S209_R2_001	(1.0, 57.72548232666146)	(2.0, 21.954151766429174)	(3.0, 9.522397892900148)	(4.0, 4.362572216295165)	(5.0, 2.1957454940842096)	(6.0, 1.199939580256072)	(7.0, 0.7225155348628198)	(8.0, 0.4292328618783809)	(9.0, 0.29013943042124946)	('>10', 1.0670675251324038)	('>50', 0.006339877094248497)	('>100', 0.012081652575832044)	('>500', 0.0)	('>1k', 0.5123338414087985)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-15_S210_R1_001	(1.0, 58.97515972181389)	(2.0, 22.283082436483316)	(3.0, 8.810631910377609)	(4.0, 4.051793435382718)	(5.0, 1.9702208471329907)	(6.0, 1.098514528874855)	(7.0, 0.6794907415367512)	(8.0, 0.41517784151190484)	(9.0, 0.3545486300499665)	('>10', 1.3613799068360288)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-15_S210_R2_001	(1.0, 60.91627638002258)	(2.0, 21.239472239887146)	(3.0, 8.422027264424377)	(4.0, 3.6747328988190255)	(5.0, 1.9051627205645083)	(6.0, 1.0168732516978451)	(7.0, 0.7098022431909945)	(8.0, 0.3745382831218939)	(9.0, 0.26966457406887856)	('>10', 1.1913762872327918)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.28007385696997716)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-16_S211_R1_001	(1.0, 61.890621673640055)	(2.0, 21.801012144139623)	(3.0, 8.931597338447187)	(4.0, 3.7998129824862303)	(5.0, 1.6948415280628373)	(6.0, 0.8154836336458252)	(7.0, 0.40068502250477434)	(8.0, 0.26504692206941866)	(9.0, 0.12866776657180906)	('>10', 0.27223098843228855)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-16_S211_R2_001	(1.0, 61.415569826171456)	(2.0, 22.016860545676423)	(3.0, 8.95422929072584)	(4.0, 3.737882394919303)	(5.0, 1.7113291866459504)	(6.0, 0.8212361852758153)	(7.0, 0.44363924526710913)	(8.0, 0.23909246485745855)	(9.0, 0.135413880759226)	('>10', 0.29185347490438923)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.23289350479704696)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-17_S212_R1_001	(1.0, 61.41395292814331)	(2.0, 21.845703707200272)	(3.0, 8.674815877604704)	(4.0, 3.6961920011010263)	(5.0, 1.7328800985096107)	(6.0, 0.8515644915989906)	(7.0, 0.48221911736290896)	(8.0, 0.27921198810900705)	(9.0, 0.18996033414417324)	('>10', 0.7779401515983092)	('>50', 0.05555930462770779)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-17_S212_R2_001	(1.0, 60.64839894745001)	(2.0, 21.954688050133296)	(3.0, 8.845963180324821)	(4.0, 3.7414104638052006)	(5.0, 1.7821590699485048)	(6.0, 0.8931347172858872)	(7.0, 0.4781006431624423)	(8.0, 0.2741181085430046)	(9.0, 0.19567825406525918)	('>10', 0.7432449006666103)	('>50', 0.037821501779241165)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.4052821628357024)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-18_S213_R1_001	(1.0, 57.11242373959829)	(2.0, 22.995808164208512)	(3.0, 9.928848266498296)	(4.0, 4.405703414463457)	(5.0, 2.1485953221210616)	(6.0, 1.1668965721583198)	(7.0, 0.5945553729992847)	(8.0, 0.3889808416108555)	(9.0, 0.20509474153999543)	('>10', 0.9985573865385502)	('>50', 0.054536178263385644)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-18_S213_R2_001	(1.0, 58.78077162420657)	(2.0, 21.936768699912246)	(3.0, 9.430261798408)	(4.0, 4.261121769464586)	(5.0, 1.940692576387268)	(6.0, 1.039090020253069)	(7.0, 0.5761099568761194)	(8.0, 0.360307647817702)	(9.0, 0.2567190471802723)	('>10', 0.965457675997884)	('>50', 0.041029792192669425)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.4116693913036079)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-19_S214_R1_001	(1.0, 50.209941387178446)	(2.0, 22.616763138343305)	(3.0, 11.03920743715306)	(4.0, 5.463092386987629)	(5.0, 2.870404083044078)	(6.0, 1.7028275521532827)	(7.0, 0.9790609082552372)	(8.0, 0.6356675230832944)	(9.0, 0.5362341431932156)	('>10', 3.374984595050228)	('>50', 0.5026218630122684)	('>100', 0.06919498254593942)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-19_S214_R2_001	(1.0, 52.10509551080056)	(2.0, 21.89923560289449)	(3.0, 10.253618027205416)	(4.0, 5.165159401948225)	(5.0, 2.6413714903539627)	(6.0, 1.5596747142058434)	(7.0, 1.0020525938204805)	(8.0, 0.6325799888650026)	(9.0, 0.4630757837362297)	('>10', 3.2702124041694245)	('>50', 0.44460775402270397)	('>100', 0.10787129370065293)	('>500', 0.0)	('>1k', 0.4554454342770133)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-1_S196_R1_001	(1.0, 59.503907444848835)	(2.0, 22.515040064802157)	(3.0, 9.10565714131231)	(4.0, 3.815415138175911)	(5.0, 1.7867157966639156)	(6.0, 0.8244463350553508)	(7.0, 0.47730241190281475)	(8.0, 0.3044398528765772)	(9.0, 0.16939750861045247)	('>10', 1.1041980481988878)	('>50', 0.20111213163811467)	('>100', 0.19236812591471839)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-1_S196_R2_001	(1.0, 61.22410050241196)	(2.0, 21.633400365261586)	(3.0, 8.534711448040486)	(4.0, 3.57026641393355)	(5.0, 1.6481312677373505)	(6.0, 0.7918290519716555)	(7.0, 0.4571016952295608)	(8.0, 0.21128023350385286)	(9.0, 0.15982594553601812)	('>10', 1.0846902808826029)	('>50', 0.18552807242091118)	('>100', 0.15263542084416193)	('>500', 0.0)	('>1k', 0.3464993022263041)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-20_S215_R1_001	(1.0, 54.22869347653315)	(2.0, 22.627020086248834)	(3.0, 10.351790258663879)	(4.0, 5.023774039399752)	(5.0, 2.4533506875786784)	(6.0, 1.3585082712104628)	(7.0, 0.8301427506220861)	(8.0, 0.5337217628363623)	(9.0, 0.3765447941070597)	('>10', 2.035242844521894)	('>50', 0.18121102827785876)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-20_S215_R2_001	(1.0, 55.838197302575374)	(2.0, 21.795709456305048)	(3.0, 9.750689498938529)	(4.0, 4.701975620708298)	(5.0, 2.4481832853474894)	(6.0, 1.2614582430130672)	(7.0, 0.7639824817779594)	(8.0, 0.4777369661851563)	(9.0, 0.35024041400997075)	('>10', 1.8784734104505787)	('>50', 0.13875112769830264)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.5946021929902012)	('>10k+', 0.0)
PID-2861-21_S216_R1_001	(1.0, 56.72801525024275)	(2.0, 22.1019851519874)	(3.0, 9.547001396549689)	(4.0, 4.5315998783575475)	(5.0, 2.2130365436552126)	(6.0, 1.2010627422612732)	(7.0, 0.7575122243877754)	(8.0, 0.5156918260608817)	(9.0, 0.36097486559105874)	('>10', 1.9762438218935037)	('>50', 0.06687629901291701)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-21_S216_R2_001	(1.0, 59.155415653297425)	(2.0, 21.03120025595891)	(3.0, 8.814058972388173)	(4.0, 3.9916313083808093)	(5.0, 2.0821889145921286)	(6.0, 1.1328740150846222)	(7.0, 0.66493217098804)	(8.0, 0.45209061029107417)	(9.0, 0.30916588237479514)	('>10', 1.7171519831340714)	('>50', 0.037075742616521114)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.6122144908934183)	('>10k+', 0.0)
PID-2861-22_S217_R1_001	(1.0, 57.499775243695005)	(2.0, 22.44503881665745)	(3.0, 9.820125370517408)	(4.0, 4.441312282503575)	(5.0, 2.0481905657744575)	(6.0, 1.161359040369106)	(7.0, 0.6720855621486445)	(8.0, 0.42718187274988006)	(9.0, 0.25919875041070667)	('>10', 1.190689182239284)	('>50', 0.035043312934481555)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-22_S217_R2_001	(1.0, 59.2848903251162)	(2.0, 21.68869389331891)	(3.0, 9.030881094556513)	(4.0, 4.0336117076818185)	(5.0, 2.0210094820486697)	(6.0, 1.0996786603550306)	(7.0, 0.6004529561518969)	(8.0, 0.32990719236863514)	(9.0, 0.25088157661894406)	('>10', 1.0898630982053974)	('>50', 0.03696214889824218)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.5331678646797644)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-23_S218_R1_001	(1.0, 55.996914754635895)	(2.0, 23.021494867213093)	(3.0, 10.252892946033136)	(4.0, 4.573657678446363)	(5.0, 2.2627339908087194)	(6.0, 1.1796869794517537)	(7.0, 0.6457484775180545)	(8.0, 0.3781991037539423)	(9.0, 0.26885681146334345)	('>10', 1.2718983534289743)	('>50', 0.14791603724676355)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-23_S218_R2_001	(1.0, 58.015211958769406)	(2.0, 21.866277639804245)	(3.0, 9.392608095627693)	(4.0, 4.201480129286854)	(5.0, 2.231402205143798)	(6.0, 1.1408146451255605)	(7.0, 0.6614309308311003)	(8.0, 0.37803229902604846)	(9.0, 0.24051814737930227)	('>10', 1.1461679013067319)	('>50', 0.1336153960738689)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.5924406516253594)	('>5k', 0.0)	('>10k+', 0.0)
