Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
PID-2861-10_S205_R1_001	PID-2861-10_S205_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	813123.0	122.4 Mbp	0.0	140-151	39.0	77.28283655210413	150.53597918150143	151	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
PID-2861-10_S205_R2_001	PID-2861-10_S205_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	813123.0	122.4 Mbp	0.0	140-151	39.0	78.29039227451155	150.53984575519326	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-11_S206_R1_001	PID-2861-11_S206_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	860477.0	129.5 Mbp	0.0	140-151	38.0	74.18914840671613	150.52796065438125	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-11_S206_R2_001	PID-2861-11_S206_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	860477.0	129.5 Mbp	0.0	139-151	38.0	75.13988499255302	150.53150171358445	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-12_S207_R1_001	PID-2861-12_S207_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	747880.0	112.5 Mbp	0.0	140-151	38.0	76.78753359213148	150.53200647162646	151	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
PID-2861-12_S207_R2_001	PID-2861-12_S207_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	747880.0	112.5 Mbp	0.0	140-151	38.0	76.87314380640274	150.53372733593625	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-13_S208_R1_001	PID-2861-13_S208_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	916153.0	137.9 Mbp	0.0	139-151	38.0	73.24796507654354	150.53612660767362	151	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
PID-2861-13_S208_R2_001	PID-2861-13_S208_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	916153.0	137.9 Mbp	0.0	141-151	39.0	74.4514974094136	150.5370041903481	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-14_S209_R1_001	PID-2861-14_S209_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	924143.0	139.1 Mbp	0.0	140-151	38.0	72.78892746859862	150.53382972115787	151	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
PID-2861-14_S209_R2_001	PID-2861-14_S209_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	924143.0	139.1 Mbp	0.0	140-151	38.0	73.87416227184765	150.53216764072226	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-15_S210_R1_001	PID-2861-15_S210_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	504336.0	75.9 Mbp	0.0	140-151	39.0	74.93270681982236	150.53053519875638	151	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
PID-2861-15_S210_R2_001	PID-2861-15_S210_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	504336.0	75.9 Mbp	0.0	140-151	39.0	76.07782472520773	150.53155039497477	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-16_S211_R1_001	PID-2861-16_S211_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	729280.0	109.7 Mbp	0.0	139-151	38.0	77.32052349865354	150.53134187143485	151	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
PID-2861-16_S211_R2_001	PID-2861-16_S211_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	729280.0	109.7 Mbp	0.0	140-151	38.0	76.95495176407839	150.52980473892057	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-17_S212_R1_001	PID-2861-17_S212_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	915285.0	137.7 Mbp	0.0	139-151	38.0	76.8178984369005	150.5343297442873	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-17_S212_R2_001	PID-2861-17_S212_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	915285.0	137.7 Mbp	0.0	139-151	38.0	76.18958873743131	150.53330055665722	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-18_S213_R1_001	PID-2861-18_S213_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	983655.0	148 Mbp	0.0	140-151	38.0	73.86818171674796	150.53535131728097	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-18_S213_R2_001	PID-2861-18_S213_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	983655.0	148 Mbp	0.0	140-151	38.0	74.74199454155384	150.53481861018344	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-19_S214_R1_001	PID-2861-19_S214_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	1119890.0	168.5 Mbp	0.0	140-151	38.0	67.90883172832652	150.53430515497058	151	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	pass
PID-2861-19_S214_R2_001	PID-2861-19_S214_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	1119890.0	168.5 Mbp	0.0	140-151	38.0	69.02753846678198	150.5356267133379	151	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
PID-2861-1_S196_R1_001	PID-2861-1_S196_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	988610.0	148.8 Mbp	0.0	140-151	38.0	75.4363055201111	150.53233934514117	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-1_S196_R2_001	PID-2861-1_S196_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	988610.0	148.8 Mbp	0.0	140-151	38.0	76.41271508066953	150.53308584780652	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-20_S215_R1_001	PID-2861-20_S215_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	1038442.0	156.3 Mbp	0.0	139-151	38.0	71.32650626840923	150.53688699031818	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-20_S215_R2_001	PID-2861-20_S215_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	1038442.0	156.3 Mbp	0.0	140-151	39.0	72.19079597159471	150.5357554875477	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-21_S216_R1_001	PID-2861-21_S216_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	1076045.0	161.9 Mbp	0.0	138-151	38.0	73.08305616035382	150.53413472484885	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
