Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
PID-2861-10_S205_R1_001	22.71716344789587	39.0	150.53597918150143	151	9.090909090909092	0.8131229999999999
PID-2861-10_S205_R2_001	21.709607725488453	39.0	150.53984575519326	151	9.090909090909092	0.8131229999999999
PID-2861-11_S206_R1_001	25.81085159328387	38.0	150.52796065438125	151	9.090909090909092	0.8604769999999999
PID-2861-11_S206_R2_001	24.86011500744698	38.0	150.53150171358445	151	9.090909090909092	0.8604769999999999
PID-2861-12_S207_R1_001	23.21246640786852	38.0	150.53200647162646	151	9.090909090909092	0.74788
PID-2861-12_S207_R2_001	23.126856193597263	38.0	150.53372733593625	151	9.090909090909092	0.74788
PID-2861-13_S208_R1_001	26.752034923456463	38.0	150.53612660767362	151	9.090909090909092	0.916153
PID-2861-13_S208_R2_001	25.548502590586395	39.0	150.5370041903481	151	9.090909090909092	0.916153
PID-2861-14_S209_R1_001	27.211072531401385	38.0	150.53382972115787	151	9.090909090909092	0.9241429999999999
PID-2861-14_S209_R2_001	26.125837728152348	38.0	150.53216764072226	151	9.090909090909092	0.9241429999999999
PID-2861-15_S210_R1_001	25.067293180177643	39.0	150.53053519875638	151	9.090909090909092	0.504336
PID-2861-15_S210_R2_001	23.922175274792266	39.0	150.53155039497477	151	9.090909090909092	0.504336
PID-2861-16_S211_R1_001	22.679476501346457	38.0	150.53134187143485	151	9.090909090909092	0.7292799999999999
PID-2861-16_S211_R2_001	23.045048235921612	38.0	150.52980473892057	151	9.090909090909092	0.7292799999999999
PID-2861-17_S212_R1_001	23.182101563099494	38.0	150.5343297442873	151	9.090909090909092	0.9152849999999999
PID-2861-17_S212_R2_001	23.810411262568692	38.0	150.53330055665722	151	9.090909090909092	0.9152849999999999
PID-2861-18_S213_R1_001	26.131818283252045	38.0	150.53535131728097	151	9.090909090909092	0.983655
PID-2861-18_S213_R2_001	25.258005458446164	38.0	150.53481861018344	151	9.090909090909092	0.983655
PID-2861-19_S214_R1_001	32.09116827167348	38.0	150.53430515497058	151	9.090909090909092	1.11989
PID-2861-19_S214_R2_001	30.972461533218024	38.0	150.5356267133379	151	9.090909090909092	1.11989
PID-2861-1_S196_R1_001	24.563694479888895	38.0	150.53233934514117	151	9.090909090909092	0.98861
PID-2861-1_S196_R2_001	23.58728491933047	38.0	150.53308584780652	151	9.090909090909092	0.98861
PID-2861-20_S215_R1_001	28.673493731590767	38.0	150.53688699031818	151	9.090909090909092	1.0384419999999999
PID-2861-20_S215_R2_001	27.80920402840529	39.0	150.5357554875477	151	9.090909090909092	1.0384419999999999
PID-2861-21_S216_R1_001	26.91694383964618	38.0	150.53413472484885	151	9.090909090909092	1.076045
PID-2861-21_S216_R2_001	25.48815514513882	38.0	150.53018786389046	151	9.090909090909092	1.076045
PID-2861-22_S217_R1_001	26.031599746823048	38.0	150.533556776888	151	9.090909090909092	1.0063689999999998
PID-2861-22_S217_R2_001	25.033600481873947	38.0	150.53620789193627	151	9.090909090909092	1.0063689999999998
PID-2861-23_S218_R1_001	27.02915220899729	38.0	150.53141179381757	151	9.090909090909092	0.840576
PID-2861-23_S218_R2_001	25.988695206147668	38.0	150.53770271813613	151	9.090909090909092	0.840576
PID-2861-24_S219_R1_001	27.342969891263692	38.0	150.53816168921952	151	9.090909090909092	0.969205
PID-2861-24_S219_R2_001	26.623954202043834	39.0	150.53818438823572	151	9.090909090909092	0.969205
PID-2861-25_S220_R1_001	27.44683591762336	38.0	150.53239889472968	151	9.090909090909092	0.9865459999999999
PID-2861-25_S220_R2_001	26.421978079928223	38.0	150.53315709556372	151	9.090909090909092	0.9865459999999999
PID-2861-26_S221_R1_001	29.160075009416147	38.0	150.5350339418982	151	9.090909090909092	1.1858499999999998
PID-2861-26_S221_R2_001	28.333248494762856	38.0	150.5344402749083	151	9.090909090909092	1.1858499999999998
PID-2861-27_S222_R1_001	29.41366953819852	38.0	150.53327832509868	151	9.090909090909092	1.207092
PID-2861-27_S222_R2_001	29.24659398686606	38.0	150.53223200882783	151	9.090909090909092	1.207092
PID-2861-28_S223_R1_001	27.365094606069363	38.0	150.53441191366164	151	9.090909090909092	0.975418
PID-2861-28_S223_R2_001	26.551760955051122	39.0	150.5371225464365	151	9.090909090909092	0.975418
PID-2861-29_S224_R1_001	26.563535374790504	38.0	150.53217885992825	151	9.090909090909092	0.8827689999999999
PID-2861-29_S224_R2_001	25.145476768025475	38.0	150.5294782666813	151	9.090909090909092	0.8827689999999999
PID-2861-2_S197_R1_001	25.904665977756963	38.0	150.53204995811663	151	9.090909090909092	0.953839
PID-2861-2_S197_R2_001	25.27200980718547	38.0	150.53226697587328	151	9.090909090909092	0.953839
PID-2861-30_S225_R1_001	24.98576078631166	38.0	150.53178634313107	151	9.090909090909092	0.7780699999999999
PID-2861-30_S225_R2_001	24.89962366417086	38.0	150.53262816970195	151	9.090909090909092	0.7780699999999999
PID-2861-31_S226_R1_001	18.729608377799025	38.0	150.5230635219709	151	9.090909090909092	0.528085
PID-2861-31_S226_R2_001	17.955239329780298	38.0	150.5355463609078	151	9.090909090909092	0.528085
PID-2861-32_S227_R1_001	25.0281656970637	38.0	150.53478402494974	151	9.090909090909092	0.764417
PID-2861-32_S227_R2_001	24.03839254657875	38.0	150.5311930530064	151	9.090909090909092	0.764417
PID-2861-33_S228_R1_001	30.715252067841675	38.0	150.53646995963436	151	9.090909090909092	1.231493
PID-2861-33_S228_R2_001	29.503046403356407	38.0	150.5347159910775	151	9.090909090909092	1.231493
PID-2861-34_S229_R1_001	25.962495454455023	38.0	150.5315426009989	151	9.090909090909092	0.8789699999999999
PID-2861-34_S229_R2_001	25.070339793621557	38.0	150.53719694642592	151	9.090909090909092	0.8789699999999999
PID-2861-35_S230_R1_001	25.940288485139277	38.0	150.5286849994088	151	9.090909090909092	0.8626459999999999
PID-2861-35_S230_R2_001	24.901606849081503	38.0	150.53416465154885	151	9.090909090909092	0.8626459999999999
PID-2861-36_S231_R1_001	37.174518992694594	38.0	150.5283978279059	151	9.090909090909092	1.068462
PID-2861-36_S231_R2_001	36.05053835949439	38.0	150.52805340760833	151	9.090909090909092	1.068462
PID-2861-37_S232_R1_001	14.079066428898543	38.0	150.5219246820573	151	9.090909090909092	0.445206
PID-2861-37_S232_R2_001	18.700850818807737	38.0	150.53099239453198	151	9.090909090909092	0.445206
PID-2861-38_S233_R1_001	32.445590513272634	38.0	150.53044575805268	151	9.090909090909092	1.090973
PID-2861-38_S233_R2_001	31.256402026062403	38.0	150.53204891413444	151	9.090909090909092	1.090973
PID-2861-39_S234_R1_001	24.899431035972526	38.0	150.53096009536765	151	9.090909090909092	1.046896
PID-2861-39_S234_R2_001	23.891857685019446	38.0	150.5329602940502	151	9.090909090909092	1.046896
PID-2861-3_S198_R1_001	22.79252679390102	38.0	150.5316453398469	151	9.090909090909092	0.8814409999999999
PID-2861-3_S198_R2_001	24.66903600838394	38.0	150.5316918545881	151	9.090909090909092	0.8814409999999999
PID-2861-40_S235_R1_001	25.815736215588316	38.0	150.5336442629411	151	9.090909090909092	0.9567009999999999
PID-2861-40_S235_R2_001	24.924205421414214	38.0	150.53422229097703	151	9.090909090909092	0.9567009999999999
PID-2861-4_S199_R1_001	24.41453031858302	38.0	150.5346633093888	151	9.090909090909092	0.9122469999999999
PID-2861-4_S199_R2_001	23.515571179111006	39.0	150.53584829547262	151	9.090909090909092	0.9122469999999999
PID-2861-5_S200_R1_001	23.307275024845524	38.0	150.53220679563387	151	9.090909090909092	0.856962
PID-2861-5_S200_R2_001	22.63882775166948	38.0	150.53385330971503	151	9.090909090909092	0.856962
PID-2861-6_S201_R1_001	26.23317210579681	38.0	150.53277944572366	151	9.090909090909092	0.9089689999999999
PID-2861-6_S201_R2_001	25.3602085776527	38.0	150.53178821279934	151	9.090909090909092	0.9089689999999999
PID-2861-7_S202_R1_001	26.42352692121335	38.0	150.53495259929363	151	9.090909090909092	0.96834
PID-2861-7_S202_R2_001	25.695124566907523	39.0	150.53337877191896	151	9.090909090909092	0.96834
