.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
PID-2861-10_R1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-10_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-11_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-11_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-12_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-12_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-13_R1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-13_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-14_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-14_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-15_R1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-15_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-16_R1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-16_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-17_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-17_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-18_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-18_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-19_R1	1	1	0.5	1	0.25	1	1	0.5	0.5	1	1
PID-2861-19_R2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
PID-2861-1_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-1_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-20_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-20_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-21_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-21_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-22_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-22_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-23_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-23_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-24_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-24_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-25_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-25_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-26_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-26_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-27_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-27_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-28_R1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-28_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-29_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-29_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-2_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-2_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-30_R1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-30_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-31_R1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-31_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-32_R1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-32_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-33_R1	1	1	0.5	1	0.25	1	1	0.5	0.5	1	1
PID-2861-33_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-34_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-34_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-35_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-35_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-36_R1	1	1	0.5	1	0.25	0.5	1	0.5	0.5	1	1
PID-2861-36_R2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
PID-2861-37_R1	1	0.5	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-37_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-38_R1	1	1	0.5	1	0.25	1	1	0.5	0.5	1	1
PID-2861-38_R2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
PID-2861-39_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-39_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-3_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-3_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-40_R1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-40_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-4_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-4_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-5_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-5_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-6_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-6_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-7_R1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-7_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-8_R1	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
PID-2861-8_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
PID-2861-9_R1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
PID-2861-9_R2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
