Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
PID-2861-10_R2 - polyg	(1, 0.44151413521647104)	(2, 0.44163711965525004)	(3, 0.44397382399205026)	(4, 0.4453266528186189)	(5, 0.45012304593099833)	(6, 0.45590331455360955)	(7, 0.4588549410843046)	(8, 0.4630364120027893)	(9, 0.4667259451661581)	(10, 0.4728013764418389)	(15, 0.4777945446562647)	(20, 0.4803280240951112)	(25, 0.48170544980943564)	(30, 0.48276311598293464)	(35, 0.48342723195234105)	(40, 0.48377158838092216)	(45, 0.48453409190135177)	(50, 0.4848538514421771)	(55, 0.4849276421054444)	(60, 0.48514901409524647)	(65, 0.48554256429933923)	(70, 0.48583772695240873)	(75, 0.486157486493234)	(80, 0.48655103669732674)	(85, 0.48716595889122144)	(90, 0.4874119277687795)	(95, 0.4877562841973605)	(100, 0.4880268499626742)	(105, 0.4882482219524764)	(110, 0.48854338460554586)	(115, 0.4890353223606617)	(120, 0.4891337099116849)	(125, 0.4893058881259755)	(130, 0.4895026632280217)	(135, 0.48972403521782387)	(140, 0.48997000409538183)
PID-2861-11_R2 - polyg	(1, 0.4093121417647141)	(2, 0.4103580842053394)	(3, 0.4117526741261732)	(4, 0.4132634798737431)	(5, 0.4161688755421468)	(6, 0.4200039978244397)	(7, 0.42174723522548196)	(8, 0.4251174942008302)	(9, 0.4266282999484002)	(10, 0.43150936467131845)	(15, 0.4360185387486809)	(20, 0.43792447830715375)	(25, 0.43906339340916806)	(30, 0.44017906534583506)	(35, 0.4405741991567379)	(40, 0.44129473728250207)	(45, 0.4416433847627105)	(50, 0.44182933008548836)	(55, 0.44196878907757176)	(60, 0.44220122073104406)	(65, 0.4424336523845163)	(70, 0.4427590566993776)	(75, 0.44299148835284985)	(80, 0.44315419051028043)	(85, 0.4435028379904889)	(90, 0.4437585128093084)	(95, 0.4439677012974335)	(100, 0.4442931056122947)	(105, 0.4444093214390309)	(110, 0.44454878043111423)	(115, 0.4447114825885448)	(120, 0.4448741847459755)	(125, 0.4448741847459755)	(130, 0.4449439142420172)	(135, 0.44538553438361445)	(140, 0.4455714797063923)
PID-2861-12_R2 - polyg	(1, 0.3349539488463143)	(2, 0.33575623375373065)	(3, 0.3373608035685633)	(4, 0.3389653733833959)	(5, 0.3415059422568809)	(6, 0.3444476535840741)	(7, 0.34725565076003123)	(8, 0.349261363028572)	(9, 0.35059850454093255)	(10, 0.35597381342062195)	(15, 0.36041312324165886)	(20, 0.36185723607500825)	(25, 0.36247232117069417)	(30, 0.36306066343613275)	(35, 0.36356877721082975)	(40, 0.3640234053250323)	(45, 0.3641303766460212)	(50, 0.3645047762694822)	(55, 0.3649326615534375)	(60, 0.36544077532813457)	(65, 0.36568146080035946)	(70, 0.3659488891028315)	(75, 0.3662698030657981)	(80, 0.36659071702876456)	(85, 0.36691163099173113)	(90, 0.36704534514296716)	(95, 0.3671255736337088)	(100, 0.3674464875966753)	(105, 0.3674464875966753)	(110, 0.3674464875966753)	(115, 0.3674464875966753)	(120, 0.3674999732571698)	(125, 0.3675802017479114)	(130, 0.3676871730689002)	(135, 0.3677139158991474)	(140, 0.3677139158991474)
PID-2861-13_R2 - polyg	(1, 0.48409526034173744)	(2, 0.4843135671107754)	(3, 0.4863874814166363)	(4, 0.4880247821844212)	(5, 0.49064446341287704)	(6, 0.49424652510200384)	(7, 0.4964295927923837)	(8, 0.49904927402083954)	(9, 0.5010140349421814)	(10, 0.5066463495833615)	(15, 0.5117328973019466)	(20, 0.5133483673928277)	(25, 0.5142652558227874)	(30, 0.5143962398842101)	(35, 0.5151166522220354)	(40, 0.5159462179443798)	(45, 0.5163610008055519)	(50, 0.5166229689283975)	(55, 0.5170595824664735)	(60, 0.5172997199124153)	(65, 0.5175835187121647)	(70, 0.5178454868350103)	(75, 0.5180201322502407)	(80, 0.5183257617268938)	(85, 0.5186968832342584)	(90, 0.5188933593263927)	(95, 0.5189806820340078)	(100, 0.5191334967723344)	(105, 0.5192208194799497)	(110, 0.5193518035413724)	(115, 0.5194827876027952)	(120, 0.5196356023411218)	(125, 0.5197884170794483)	(130, 0.519832078433256)	(135, 0.5201377079099092)	(140, 0.5202250306175243)
PID-2861-14_R2 - polyg	(1, 0.6293466416630507)	(2, 0.6297794797934929)	(3, 0.6317272513804831)	(4, 0.6343242801631367)	(5, 0.6395183377284438)	(6, 0.642981042771982)	(7, 0.6467683764133517)	(8, 0.650447500522111)	(9, 0.653693786500428)	(10, 0.6607274061201147)	(15, 0.6681722219637216)	(20, 0.6709640279050744)	(25, 0.6722192584833568)	(30, 0.6730632928377192)	(35, 0.6738424014725153)	(40, 0.6742535976964354)	(45, 0.6745133005747008)	(50, 0.6748162872660105)	(55, 0.6751625577703643)	(60, 0.6757468892464613)	(65, 0.6760715178442929)	(70, 0.6761364435638594)	(75, 0.6762662950029921)	(80, 0.6766342074138679)	(85, 0.6769371941051775)	(90, 0.6773483903290975)	(95, 0.677413316048664)	(100, 0.6775864513008408)	(105, 0.677824512272584)	(110, 0.6780192894312831)	(115, 0.6782789923095486)	(120, 0.6785603370943359)	(125, 0.6785819790008581)	(130, 0.6785819790008581)	(135, 0.6786685466269466)	(140, 0.6787983980660792)
PID-2861-15_R2 - polyg	(1, 0.3468029290868316)	(2, 0.34719950190454096)	(3, 0.347794361131105)	(4, 0.3487857931753784)	(5, 0.35374295339674533)	(6, 0.35870011361811227)	(7, 0.3602864048889497)	(8, 0.3632607010217699)	(9, 0.3670281427900087)	(10, 0.371787016602521)	(15, 0.3763872612879495)	(20, 0.37833046809472537)	(25, 0.37888567003951845)	(30, 0.37908395644837317)	(35, 0.37999607392910467)	(40, 0.3803133321832721)	(45, 0.3809081914098362)	(50, 0.3811064778186909)	(55, 0.3811064778186909)	(60, 0.38138407879108743)	(65, 0.3819789380176514)	(70, 0.3830496846254667)	(75, 0.38348591472494703)	(80, 0.3839221448244273)	(85, 0.38412043123328193)	(90, 0.38427906036036574)	(95, 0.38439803220567853)	(100, 0.3844773467692204)	(105, 0.38459631861453314)	(110, 0.38475494774161695)	(115, 0.38487391958692974)	(120, 0.38487391958692974)	(125, 0.38487391958692974)	(130, 0.38487391958692974)	(135, 0.38503254871401354)	(140, 0.38507220599578446)
PID-2861-16_R2 - polyg	(1, 0.300436599787185)	(2, 0.30071084588466307)	(3, 0.30125933807961913)	(4, 0.3018078302745752)	(5, 0.30304193771322635)	(6, 0.30468741429809454)	(7, 0.30715562917539685)	(8, 0.3093495979552211)	(9, 0.31058370539387226)	(10, 0.31538301209973785)	(15, 0.3192773066839259)	(20, 0.3204565649030814)	(25, 0.3213067278052633)	(30, 0.32180037078072377)	(35, 0.3223214383659321)	(40, 0.32289735517063595)	(45, 0.32317160126811395)	(50, 0.3236652442435744)	(55, 0.32380236729231343)	(60, 0.3240217641702959)	(65, 0.3240217641702959)	(70, 0.3242685856580261)	(75, 0.3247622286334866)	(80, 0.324981625511469)	(85, 0.3253655700479382)	(90, 0.325392994657686)	(95, 0.32558496692592065)	(100, 0.3259963360721377)	(105, 0.32621573295012013)	(110, 0.3267368005353284)	(115, 0.32698362202305864)	(120, 0.32720301890104103)	(125, 0.3275046896082669)	(130, 0.32758696343751026)	(135, 0.32758696343751026)	(140, 0.3277240864862493)
PID-2861-17_R2 - polyg	(1, 0.448400116251882)	(2, 0.4487278941146392)	(3, 0.44982048699049665)	(4, 0.4505853020035968)	(5, 0.4530982656180689)	(6, 0.4558297478077124)	(7, 0.4579056742718415)	(8, 0.460200119311142)	(9, 0.4624945643504426)	(10, 0.46614382455580633)	(15, 0.4693778994683443)	(20, 0.4714319740749563)	(25, 0.47237160394819366)	(30, 0.47296160410115656)	(35, 0.4735516042541196)	(40, 0.4739230858319112)	(45, 0.47431641926721985)	(50, 0.47453493784239126)	(55, 0.4746223452724599)	(60, 0.47477530827507997)	(65, 0.47492827127769993)	(70, 0.4750593824228028)	(75, 0.47510308613783714)	(80, 0.4751686417103886)	(85, 0.47532160471300855)	(90, 0.47538716028556005)	(95, 0.47538716028556005)	(100, 0.4754964195731458)	(105, 0.4754964195731458)	(110, 0.4754964195731458)	(115, 0.47564938257576583)	(120, 0.47571493814831733)	(125, 0.47571493814831733)	(130, 0.47571493814831733)	(135, 0.47571493814831733)	(140, 0.4757149381483173)
PID-2861-18_R2 - polyg	(1, 0.43908072619621286)	(2, 0.43948737655620007)	(3, 0.4404023398661714)	(4, 0.44172395353612987)	(5, 0.445892119725999)	(6, 0.4486370096559128)	(7, 0.4525001880757915)	(8, 0.45494009023571486)	(9, 0.4576849801656287)	(10, 0.46238179182348127)	(15, 0.4670786034813338)	(20, 0.4691931853532673)	(25, 0.4706977916852201)	(30, 0.4714297623331971)	(35, 0.4718974102471825)	(40, 0.47210073542717607)	(45, 0.4723650581611677)	(50, 0.4726293808951594)	(55, 0.4729343686651498)	(60, 0.47307669629114535)	(65, 0.4732190239171409)	(70, 0.47344268161513386)	(75, 0.47380866693912244)	(80, 0.47407298967311406)	(85, 0.47433731240710586)	(90, 0.4745609701050988)	(95, 0.4746626326950956)	(100, 0.47482529283909053)	(105, 0.47492695542908725)	(110, 0.4750896155730822)	(115, 0.47523194319907774)	(120, 0.47527260823507644)	(125, 0.4753742708250733)	(130, 0.47569959111306304)	(135, 0.47578092118506043)	(140, 0.4757809211850605)
PID-2861-19_R2 - polyg	(1, 0.493358193228536)	(2, 0.49469762723730126)	(3, 0.49594776564548215)	(4, 0.4968407216513257)	(5, 0.4996981808700249)	(6, 0.5033593004939833)	(7, 0.5075561937214478)	(8, 0.5097885837360565)	(9, 0.5126460429547557)	(10, 0.5173072733052588)	(15, 0.5213077162114377)	(20, 0.5226828684604367)	(25, 0.5236651200668645)	(30, 0.5240223024692019)	(35, 0.5243973439916563)	(40, 0.5248259628744611)	(45, 0.5251831452767985)	(50, 0.5255403276791359)	(55, 0.5259153692015903)	(60, 0.5263439880843951)	(65, 0.5266475931263819)	(70, 0.5271476484896542)	(75, 0.5274155352914073)	(80, 0.5277727176937447)	(85, 0.5281120409759652)	(90, 0.5285049416185363)	(95, 0.5287371101800556)	(100, 0.5288799831409905)	(105, 0.5289871378616918)	(110, 0.5291657290628605)	(115, 0.529237165543328)	(120, 0.5292550246634449)	(125, 0.5292550246634449)	(130, 0.5292550246634449)	(135, 0.5293086020237954)	(140, 0.5293443202640292)
