Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
PID-2861-10_R1	(1, 0.0001229844387789613)	(2, 0.02902432755183487)	(3, 0.003320579847031955)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09937360194378703)	(35, 0.08599719229990586)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 4.926628946753241e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 4.9464754260337455e-05)	(95, 0.0)	(100, 0.0)	(105, 2.4825267355716786e-05)	(110, 0.0)	(115, 0.0)	(120, 0.0005487968999959838)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.00022674628652567753)	(145, 0.0)	(150, 0.0)
PID-2861-10_R2	(1, 0.0)	(2, 0.0)	(3, 0.0023367043368002645)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0003443639671319352)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 4.926628946753241e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.00022259139417151852)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 7.470766889162707e-05)	(120, 0.0007982500363577946)	(125, 0.0)	(130, 0.00020036862818370097)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
PID-2861-11_R1	(1, 0.0003486474802084447)	(2, 0.02882152503056476)	(3, 0.0013945899208337787)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09590281600047604)	(35, 0.08902527550765908)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 2.3264059168877527e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 2.333976110354125e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 4.68583579613053e-05)	(115, 0.0)	(120, 0.0004933447789322046)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 9.47371387820925e-05)	(145, 0.0)	(150, 0.0)
PID-2861-11_R2	(1, 0.0)	(2, 0.0)	(3, 0.0023243165347229646)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00032540945807238593)	(35, 2.3244197260485398e-05)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 4.6528118337755054e-05)	(65, 4.654746945845976e-05)	(70, 0.0)	(75, 0.0)	(80, 2.330875735653518e-05)	(85, 4.66511038584195e-05)	(90, 0.0001400385666212475)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0001407650722441542)	(120, 0.0005403299959733669)	(125, 0.0)	(130, 4.713747101340142e-05)	(135, 4.7232985438779085e-05)	(140, 0.0)	(145, 0.0)	(150, 0.00015299584998756908)
PID-2861-12_R1	(1, 0.0)	(2, 0.027143972700918884)	(3, 0.0018719981173047505)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09467103686714819)	(35, 0.08443140516644246)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 5.354484260091931e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 5.37295132723987e-05)	(95, 0.0)	(100, 0.0)	(105, 2.6949790384530386e-05)	(110, 0.0)	(115, 5.403903996403162e-05)	(120, 0.0005141289397497707)	(125, 0.0)	(130, 0.0)	(135, 2.720708646656943e-05)	(140, 0.00010914879764413235)	(145, 0.0)	(150, 0.0)
PID-2861-12_R2	(1, 0.0)	(2, 0.0)	(3, 0.0021394264197768576)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.000347661999794612)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 5.354484260091931e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 8.047104531083149e-05)	(85, 0.0)	(90, 8.059426990859804e-05)	(95, 0.0)	(100, 0.0)	(105, 2.6949790384530386e-05)	(110, 0.0)	(115, 0.00016211711989209485)	(120, 0.0007306042828023058)	(125, 0.0)	(130, 0.0)	(135, 2.720708646656943e-05)	(140, 0.0)	(145, 0.0)	(150, 0.00017602503780137687)
PID-2861-13_R1	(1, 0.00021830676903798754)	(2, 0.02739749951426744)	(3, 0.0018556075368228945)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09882866096660849)	(35, 0.08754519984866252)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 2.203428446525656e-05)	(120, 0.00028684464273499746)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
PID-2861-13_R2	(1, 0.0)	(2, 0.0)	(3, 0.0017464541523039003)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00024014032927605332)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 2.1851776341824714e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 6.575113327557462e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00037510453280730437)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
PID-2861-14_R1	(1, 0.0)	(2, 0.029432992870073893)	(3, 0.0012985143913267895)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09949068646409406)	(35, 0.09410603594556222)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 4.333874778755693e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 2.17483876832791e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 6.55344784536834e-05)	(115, 8.750776357940005e-05)	(120, 0.00043820047715649956)	(125, 6.5848983258774e-05)	(130, 0.0)	(135, 0.0)	(140, 4.420714051416441e-05)	(145, 0.0)	(150, 0.0)
PID-2861-14_R2	(1, 0.0002164190652211316)	(2, 0.0)	(3, 0.0019477715869901844)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0003029953470735952)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 4.333874778755693e-05)	(65, 2.1680856064265525e-05)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 4.346646822775039e-05)	(90, 0.00015223871378295368)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 4.375388178970003e-05)	(120, 0.0005477505964456245)	(125, 2.1949661086257998e-05)	(130, 6.596918183701302e-05)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.00021412267516305442)
