Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
PID-2861-10_R1	(1, 39.090603865892845)	(2, 38.64714165716612)	(3, 39.024428399074665)	(4, 38.774179663047235)	(5, 39.12427208585298)	(6, 39.14699469076178)	(7, 39.10010810332169)	(8, 39.24733031529521)	(9, 39.1394582043534)	(10, 39.22357956047821)	(15, 39.41941001727974)	(20, 39.496390411989374)	(25, 39.489509483080305)	(30, 39.455239076554406)	(35, 39.4731464873988)	(40, 39.488499383990245)	(45, 39.513129756694575)	(50, 39.52915972359227)	(55, 39.50923803130013)	(60, 39.495510249845374)	(65, 39.50847543148133)	(70, 39.483494914019566)	(75, 39.46907270091032)	(80, 39.41525800999099)	(85, 39.394071565428035)	(90, 39.41755862633134)	(95, 39.459320073545676)	(100, 39.44754797212286)	(105, 39.426713752978316)	(110, 39.36611914966528)	(115, 39.35695323022891)	(120, 39.29396227680055)	(125, 39.10826885274653)	(130, 39.049520880488316)	(135, 39.26886688560561)	(140, 39.30955326120183)	(145, 39.36632248273544)	(150, 39.17511575770086)
PID-2861-10_R2	(1, 38.62894487960438)	(2, 37.90006530473699)	(3, 38.415232360649405)	(4, 38.10548375314072)	(5, 38.45191123967084)	(6, 38.77103126141449)	(7, 38.6251766364002)	(8, 38.987577341838936)	(9, 38.69097331114694)	(10, 38.76133615213668)	(15, 38.88928498695395)	(20, 38.96445202708227)	(25, 39.01318722099788)	(30, 39.00764957525156)	(35, 38.98463190527106)	(40, 38.96398118421392)	(45, 38.99152362489381)	(50, 39.034456991923356)	(55, 38.99635459180227)	(60, 38.92053934023525)	(65, 38.91644747402628)	(70, 38.842055015990546)	(75, 38.77671352671648)	(80, 38.75881262265976)	(85, 38.78068721102351)	(90, 38.74863799622283)	(95, 38.766811631402305)	(100, 38.72055368069789)	(105, 38.677233078606925)	(110, 38.62248486873148)	(115, 38.527356880577926)	(120, 38.50913786294351)	(125, 38.53006887616154)	(130, 38.441482198732416)	(135, 38.340100269171884)	(140, 38.06888935167866)	(145, 38.25039039585753)	(150, 37.94362396970327)
PID-2861-11_R1	(1, 39.24826489770683)	(2, 38.58102335008391)	(3, 38.98666307172376)	(4, 38.72684167220629)	(5, 39.126810061501416)	(6, 39.13836191467899)	(7, 39.16627230762794)	(8, 39.2983864594616)	(9, 39.15874617068851)	(10, 39.22266005756735)	(15, 39.417646198984)	(20, 39.48805701879879)	(25, 39.480421195711465)	(30, 39.44458844173203)	(35, 39.4609684991506)	(40, 39.48153576835464)	(45, 39.50191071800761)	(50, 39.519289685425946)	(55, 39.49636117171313)	(60, 39.484570005344445)	(65, 39.49728924295364)	(70, 39.47387710026256)	(75, 39.45616415138627)	(80, 39.39845319059125)	(85, 39.377759403690455)	(90, 39.40745163639802)	(95, 39.44924432577831)	(100, 39.434977767886366)	(105, 39.41792253139005)	(110, 39.357570138486736)	(115, 39.34141341880979)	(120, 39.27806639053047)	(125, 39.08310868897895)	(130, 39.02512550527801)	(135, 39.240194800725476)	(140, 39.290945096184146)	(145, 39.355231951411234)	(150, 39.1586581585613)
PID-2861-11_R2	(1, 38.782657809471125)	(2, 38.14118363495214)	(3, 38.58716419436865)	(4, 38.32843522362249)	(5, 38.64400303090876)	(6, 38.84958882840501)	(7, 38.74997327035985)	(8, 39.06145957781114)	(9, 38.8191914167639)	(10, 38.860551884218395)	(15, 38.96581617564805)	(20, 39.02556648843757)	(25, 39.07345917320661)	(30, 39.06874800943821)	(35, 39.042067487434416)	(40, 39.033394078452055)	(45, 39.05109845872048)	(50, 39.09251002600908)	(55, 39.05747406617506)	(60, 38.98105023195091)	(65, 38.97519399393423)	(70, 38.905676546041136)	(75, 38.83780952313818)	(80, 38.82646233229271)	(85, 38.8523458310816)	(90, 38.82102992747521)	(95, 38.831769400861006)	(100, 38.79263265764806)	(105, 38.75185668118611)	(110, 38.696049640128926)	(115, 38.60760277954588)	(120, 38.580895339390814)	(125, 38.61146279921856)	(130, 38.51938146457782)	(135, 38.426415073195)	(140, 38.165354930881314)	(145, 38.33766983589935)	(150, 38.0309891561361)
PID-2861-12_R1	(1, 38.959195789608806)	(2, 38.12443973770632)	(3, 38.562209171721065)	(4, 38.19808414364109)	(5, 38.73229357209332)	(6, 38.61514392991239)	(7, 38.761084903137466)	(8, 38.94845052041548)	(9, 38.79491993196624)	(10, 38.90996330883691)	(15, 39.19448609278491)	(20, 39.29765665009941)	(25, 39.2982488530309)	(30, 39.270675824672864)	(35, 39.295596162359615)	(40, 39.308353093841696)	(45, 39.339605324423175)	(50, 39.36547811659526)	(55, 39.34094623272635)	(60, 39.32532723849747)	(65, 39.3429455818419)	(70, 39.316216286619124)	(75, 39.29498956434215)	(80, 39.235856274782336)	(85, 39.197774025036175)	(90, 39.23804746264277)	(95, 39.28979175571466)	(100, 39.26883261526402)	(105, 39.25365593100465)	(110, 39.17931649566391)	(115, 39.16654566351006)	(120, 39.07730559274362)	(125, 38.818620616058766)	(130, 38.73732417901546)	(135, 39.03139212865405)	(140, 39.09544398531074)	(145, 39.172415060316375)	(150, 38.95643148377002)
PID-2861-12_R2	(1, 38.74550987880149)	(2, 38.01776793641625)	(3, 38.56543435704887)	(4, 38.23023437416429)	(5, 38.66603553587283)	(6, 38.83148272948023)	(7, 38.8197105356054)	(8, 39.103986821133255)	(9, 38.85838601670892)	(10, 38.928974252003044)	(15, 39.04078613524642)	(20, 39.10184700098013)	(25, 39.15065242387618)	(30, 39.14346150486167)	(35, 39.11204355325494)	(40, 39.09929935127256)	(45, 39.11363511717717)	(50, 39.143442811794145)	(55, 39.1131605024472)	(60, 39.04135532960588)	(65, 39.04180381817389)	(70, 38.96979524572558)	(75, 38.90689130248906)	(80, 38.89084607099185)	(85, 38.91595113814212)	(90, 38.879352863471965)	(95, 38.894538208749694)	(100, 38.85369084008695)	(105, 38.81293635780152)	(110, 38.7593635378563)	(115, 38.668238565302474)	(120, 38.644448834902576)	(125, 38.66721298840877)	(130, 38.5830590654391)	(135, 38.48589773207128)	(140, 38.224619521691054)	(145, 38.3994361107919)	(150, 38.09532678190379)
PID-2861-13_R1	(1, 39.262153683599266)	(2, 38.648519552645766)	(3, 39.02145300619336)	(4, 38.793147787133435)	(5, 39.149385138985004)	(6, 39.215532090003514)	(7, 39.16197707342312)	(8, 39.30733008638399)	(9, 39.17587011620469)	(10, 39.23599878621437)	(15, 39.417783706019364)	(20, 39.49150403901656)	(25, 39.483889745085186)	(30, 39.44941157092371)	(35, 39.466682920688186)	(40, 39.48567496389297)	(45, 39.505549439381284)	(50, 39.52252529233397)	(55, 39.4997149926688)	(60, 39.4908281056032)	(65, 39.4991685114813)	(70, 39.47641879563432)	(75, 39.45971733304283)	(80, 39.409068475607526)	(85, 39.38409393962562)	(90, 39.412393997597675)	(95, 39.45401166373582)	(100, 39.44189274122805)	(105, 39.41931056914956)	(110, 39.363887739236496)	(115, 39.351858080394415)	(120, 39.28878462107177)	(125, 39.09736272751711)	(130, 39.04409581634242)	(135, 39.25764023296724)	(140, 39.3034446722473)	(145, 39.361881294211074)	(150, 39.1768500888037)
PID-2861-13_R2	(1, 38.56265950038313)	(2, 38.03988464670324)	(3, 38.508397169871046)	(4, 38.197126646305925)	(5, 38.57867011882438)	(6, 38.865595071506384)	(7, 38.73568507938726)	(8, 39.02605927902007)	(9, 38.795562259998995)	(10, 38.84432849929378)	(15, 38.93311560871568)	(20, 38.995472540905524)	(25, 39.041292505036736)	(30, 39.02735667500458)	(35, 39.00687059446687)	(40, 38.99031113681332)	(45, 39.01021922597775)	(50, 39.05075324850556)	(55, 39.01250669401669)	(60, 38.93921245467699)	(65, 38.93580101526639)	(70, 38.869373397728644)	(75, 38.802917332240455)	(80, 38.791137048573674)	(85, 38.81126537718492)	(90, 38.78345708678763)	(95, 38.79217042337064)	(100, 38.74968622713743)	(105, 38.7071601325785)	(110, 38.658109674224896)	(115, 38.5711863076711)	(120, 38.552711267311096)	(125, 38.57281406576184)	(130, 38.48529403596825)	(135, 38.389278252742834)	(140, 38.13386731652149)	(145, 38.310084733352525)	(150, 38.006365308333116)
PID-2861-14_R1	(1, 39.20047439059096)	(2, 38.590778600049994)	(3, 38.97768827647103)	(4, 38.7078396724281)	(5, 39.10215520926101)	(6, 39.09488352866958)	(7, 39.13498598145505)	(8, 39.21869254750128)	(9, 39.149992479437486)	(10, 39.17706806896166)	(15, 39.379496265580634)	(20, 39.44679994193351)	(25, 39.44379708575206)	(30, 39.40242937787597)	(35, 39.41894082988683)	(40, 39.43864275770423)	(45, 39.45923007708063)	(50, 39.47812238799223)	(55, 39.454067306102054)	(60, 39.44118056249805)	(65, 39.452820282571054)	(70, 39.42518011220059)	(75, 39.407961316976085)	(80, 39.35375015610684)	(85, 39.32016812826258)	(90, 39.35522975653842)	(95, 39.396883843163515)	(100, 39.3846187150988)	(105, 39.36861029538221)	(110, 39.30787045726693)	(115, 39.28919846944719)	(120, 39.21746763996717)	(125, 39.01256117320651)	(130, 38.95015114575775)	(135, 39.183530845674674)	(140, 39.23702664217592)	(145, 39.29884226987984)	(150, 39.106746411705885)
PID-2861-14_R2	(1, 38.4848890798186)	(2, 37.826230639962)	(3, 38.3239988183519)	(4, 38.13218227246511)	(5, 38.47664784181498)	(6, 38.78695382591034)	(7, 38.65001682658232)	(8, 38.96556448043734)	(9, 38.70249412151714)	(10, 38.73793499424706)	(15, 38.84266641855758)	(20, 38.8939565376079)	(25, 38.94172206585664)	(30, 38.934953546225174)	(35, 38.915223148672524)	(40, 38.895625075970656)	(45, 38.92498961996857)	(50, 38.97227183377275)	(55, 38.931993829295656)	(60, 38.85486760833998)	(65, 38.85537246084719)	(70, 38.77141739233999)	(75, 38.71011996051315)	(80, 38.69781116455605)	(85, 38.72093735447707)	(90, 38.68607825511091)	(95, 38.704300970385965)	(100, 38.65901070574771)	(105, 38.61743553207155)	(110, 38.56216008840214)	(115, 38.47013849293508)	(120, 38.45011579955147)	(125, 38.478160258182776)	(130, 38.38782981879315)	(135, 38.2857734559516)	(140, 38.01639518041183)	(145, 38.20180522192173)	(150, 37.88947657931767)
