Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
PID-2861-10_R1	(16.0, 2.0)	(17.0, 11.0)	(18.0, 22.0)	(19.0, 40.0)	(20.0, 89.0)	(21.0, 117.0)	(22.0, 164.0)	(23.0, 241.0)	(24.0, 241.0)	(25.0, 310.0)	(26.0, 435.0)	(27.0, 518.0)	(28.0, 702.0)	(29.0, 899.0)	(30.0, 1178.0)	(31.0, 1506.0)	(32.0, 2133.0)	(33.0, 2912.0)	(34.0, 4333.0)	(35.0, 6530.0)	(36.0, 10654.0)	(37.0, 19325.0)	(38.0, 54272.0)	(39.0, 566081.0)	(40.0, 140396.0)			
PID-2861-10_R2	(13.0, 6.0)	(14.0, 60.0)	(15.0, 315.0)	(16.0, 958.0)	(17.0, 1020.0)	(18.0, 898.0)	(19.0, 803.0)	(20.0, 737.0)	(21.0, 816.0)	(22.0, 860.0)	(23.0, 886.0)	(24.0, 968.0)	(25.0, 1154.0)	(26.0, 1297.0)	(27.0, 1523.0)	(28.0, 1911.0)	(29.0, 2312.0)	(30.0, 2845.0)	(31.0, 3542.0)	(32.0, 4801.0)	(33.0, 6266.0)	(34.0, 8808.0)	(35.0, 12442.0)	(36.0, 20582.0)	(37.0, 37165.0)	(38.0, 106910.0)	(39.0, 536563.0)	(40.0, 56663.0)
PID-2861-11_R1	(16.0, 4.0)	(17.0, 6.0)	(18.0, 22.0)	(19.0, 37.0)	(20.0, 88.0)	(21.0, 146.0)	(22.0, 219.0)	(23.0, 255.0)	(24.0, 331.0)	(25.0, 411.0)	(26.0, 517.0)	(27.0, 619.0)	(28.0, 776.0)	(29.0, 984.0)	(30.0, 1328.0)	(31.0, 1745.0)	(32.0, 2461.0)	(33.0, 3243.0)	(34.0, 4763.0)	(35.0, 7044.0)	(36.0, 11517.0)	(37.0, 20857.0)	(38.0, 57217.0)	(39.0, 594701.0)	(40.0, 151177.0)			
PID-2861-11_R2	(13.0, 9.0)	(14.0, 59.0)	(15.0, 314.0)	(16.0, 915.0)	(17.0, 966.0)	(18.0, 774.0)	(19.0, 745.0)	(20.0, 748.0)	(21.0, 768.0)	(22.0, 819.0)	(23.0, 863.0)	(24.0, 1013.0)	(25.0, 1143.0)	(26.0, 1369.0)	(27.0, 1563.0)	(28.0, 1961.0)	(29.0, 2276.0)	(30.0, 2862.0)	(31.0, 3523.0)	(32.0, 4770.0)	(33.0, 6339.0)	(34.0, 9088.0)	(35.0, 12454.0)	(36.0, 20496.0)	(37.0, 36207.0)	(38.0, 102549.0)	(39.0, 577143.0)	(40.0, 68732.0)
PID-2861-12_R1	(16.0, 2.0)	(17.0, 8.0)	(18.0, 18.0)	(19.0, 46.0)	(20.0, 75.0)	(21.0, 154.0)	(22.0, 200.0)	(23.0, 226.0)	(24.0, 320.0)	(25.0, 432.0)	(26.0, 532.0)	(27.0, 670.0)	(28.0, 837.0)	(29.0, 1107.0)	(30.0, 1455.0)	(31.0, 1907.0)	(32.0, 2743.0)	(33.0, 3602.0)	(34.0, 5473.0)	(35.0, 8140.0)	(36.0, 14354.0)	(37.0, 27060.0)	(38.0, 78151.0)	(39.0, 523153.0)	(40.0, 77199.0)			
PID-2861-12_R2	(13.0, 3.0)	(14.0, 41.0)	(15.0, 232.0)	(16.0, 723.0)	(17.0, 687.0)	(18.0, 575.0)	(19.0, 561.0)	(20.0, 523.0)	(21.0, 534.0)	(22.0, 527.0)	(23.0, 610.0)	(24.0, 662.0)	(25.0, 777.0)	(26.0, 940.0)	(27.0, 1085.0)	(28.0, 1299.0)	(29.0, 1554.0)	(30.0, 2099.0)	(31.0, 2580.0)	(32.0, 3542.0)	(33.0, 4799.0)	(34.0, 7084.0)	(35.0, 10310.0)	(36.0, 17959.0)	(37.0, 33533.0)	(38.0, 97272.0)	(39.0, 502357.0)	(40.0, 54996.0)
PID-2861-13_R1	(16.0, 1.0)	(17.0, 23.0)	(18.0, 22.0)	(19.0, 55.0)	(20.0, 103.0)	(21.0, 158.0)	(22.0, 218.0)	(23.0, 288.0)	(24.0, 343.0)	(25.0, 444.0)	(26.0, 551.0)	(27.0, 697.0)	(28.0, 894.0)	(29.0, 1083.0)	(30.0, 1471.0)	(31.0, 1826.0)	(32.0, 2512.0)	(33.0, 3488.0)	(34.0, 4950.0)	(35.0, 7148.0)	(36.0, 12013.0)	(37.0, 21443.0)	(38.0, 58711.0)	(39.0, 631532.0)	(40.0, 166168.0)			
PID-2861-13_R2	(13.0, 6.0)	(14.0, 69.0)	(15.0, 385.0)	(16.0, 1051.0)	(17.0, 1196.0)	(18.0, 1094.0)	(19.0, 908.0)	(20.0, 965.0)	(21.0, 961.0)	(22.0, 992.0)	(23.0, 1103.0)	(24.0, 1126.0)	(25.0, 1424.0)	(26.0, 1574.0)	(27.0, 1756.0)	(28.0, 2247.0)	(29.0, 2544.0)	(30.0, 3184.0)	(31.0, 3821.0)	(32.0, 5012.0)	(33.0, 6719.0)	(34.0, 9482.0)	(35.0, 13357.0)	(36.0, 21601.0)	(37.0, 39135.0)	(38.0, 108975.0)	(39.0, 611938.0)	(40.0, 73517.0)
PID-2861-14_R1	(16.0, 4.0)	(17.0, 23.0)	(18.0, 36.0)	(19.0, 60.0)	(20.0, 111.0)	(21.0, 199.0)	(22.0, 258.0)	(23.0, 324.0)	(24.0, 412.0)	(25.0, 526.0)	(26.0, 632.0)	(27.0, 797.0)	(28.0, 1056.0)	(29.0, 1319.0)	(30.0, 1751.0)	(31.0, 2162.0)	(32.0, 2889.0)	(33.0, 4011.0)	(34.0, 5627.0)	(35.0, 8243.0)	(36.0, 13407.0)	(37.0, 23923.0)	(38.0, 63941.0)	(39.0, 638073.0)	(40.0, 154349.0)			
PID-2861-14_R2	(13.0, 6.0)	(14.0, 84.0)	(15.0, 442.0)	(16.0, 1323.0)	(17.0, 1413.0)	(18.0, 1268.0)	(19.0, 1137.0)	(20.0, 1125.0)	(21.0, 1113.0)	(22.0, 1240.0)	(23.0, 1195.0)	(24.0, 1440.0)	(25.0, 1561.0)	(26.0, 1840.0)	(27.0, 2052.0)	(28.0, 2339.0)	(29.0, 2941.0)	(30.0, 3446.0)	(31.0, 4249.0)	(32.0, 5723.0)	(33.0, 7448.0)	(34.0, 10265.0)	(35.0, 14531.0)	(36.0, 22960.0)	(37.0, 41393.0)	(38.0, 114086.0)	(39.0, 607457.0)	(40.0, 70056.0)
PID-2861-15_R1	(16.0, 3.0)	(17.0, 8.0)	(18.0, 17.0)	(19.0, 45.0)	(20.0, 72.0)	(21.0, 113.0)	(22.0, 172.0)	(23.0, 194.0)	(24.0, 259.0)	(25.0, 309.0)	(26.0, 385.0)	(27.0, 452.0)	(28.0, 627.0)	(29.0, 731.0)	(30.0, 956.0)	(31.0, 1240.0)	(32.0, 1639.0)	(33.0, 2195.0)	(34.0, 3148.0)	(35.0, 4509.0)	(36.0, 6896.0)	(37.0, 12019.0)	(38.0, 32338.0)	(39.0, 345572.0)	(40.0, 90422.0)			
PID-2861-15_R2	(13.0, 4.0)	(14.0, 24.0)	(15.0, 173.0)	(16.0, 509.0)	(17.0, 594.0)	(18.0, 517.0)	(19.0, 457.0)	(20.0, 495.0)	(21.0, 498.0)	(22.0, 547.0)	(23.0, 532.0)	(24.0, 718.0)	(25.0, 752.0)	(26.0, 916.0)	(27.0, 986.0)	(28.0, 1211.0)	(29.0, 1484.0)	(30.0, 1920.0)	(31.0, 2184.0)	(32.0, 2984.0)	(33.0, 3876.0)	(34.0, 5429.0)	(35.0, 7592.0)	(36.0, 11815.0)	(37.0, 21080.0)	(38.0, 59004.0)	(39.0, 337882.0)	(40.0, 40138.0)
PID-2861-16_R1	(15.0, 2.0)	(16.0, 3.0)	(17.0, 13.0)	(18.0, 16.0)	(19.0, 49.0)	(20.0, 107.0)	(21.0, 139.0)	(22.0, 186.0)	(23.0, 257.0)	(24.0, 321.0)	(25.0, 401.0)	(26.0, 542.0)	(27.0, 678.0)	(28.0, 922.0)	(29.0, 1238.0)	(30.0, 1658.0)	(31.0, 2175.0)	(32.0, 2977.0)	(33.0, 4173.0)	(34.0, 6270.0)	(35.0, 9598.0)	(36.0, 16639.0)	(37.0, 32052.0)	(38.0, 93987.0)	(39.0, 499259.0)	(40.0, 55610.0)		
PID-2861-16_R2	(14.0, 27.0)	(15.0, 187.0)	(16.0, 695.0)	(17.0, 691.0)	(18.0, 505.0)	(19.0, 429.0)	(20.0, 437.0)	(21.0, 452.0)	(22.0, 461.0)	(23.0, 480.0)	(24.0, 529.0)	(25.0, 675.0)	(26.0, 805.0)	(27.0, 904.0)	(28.0, 1109.0)	(29.0, 1365.0)	(30.0, 1815.0)	(31.0, 2377.0)	(32.0, 3190.0)	(33.0, 4514.0)	(34.0, 6590.0)	(35.0, 9675.0)	(36.0, 16686.0)	(37.0, 31574.0)	(38.0, 93386.0)	(39.0, 493031.0)	(40.0, 56683.0)	
PID-2861-17_R1	(16.0, 2.0)	(17.0, 6.0)	(18.0, 38.0)	(19.0, 50.0)	(20.0, 112.0)	(21.0, 189.0)	(22.0, 242.0)	(23.0, 339.0)	(24.0, 433.0)	(25.0, 556.0)	(26.0, 726.0)	(27.0, 846.0)	(28.0, 1205.0)	(29.0, 1514.0)	(30.0, 2024.0)	(31.0, 2611.0)	(32.0, 3764.0)	(33.0, 5307.0)	(34.0, 7992.0)	(35.0, 12079.0)	(36.0, 20999.0)	(37.0, 40821.0)	(38.0, 122311.0)	(39.0, 626743.0)	(40.0, 64345.0)			
PID-2861-17_R2	(13.0, 3.0)	(14.0, 43.0)	(15.0, 258.0)	(16.0, 834.0)	(17.0, 803.0)	(18.0, 590.0)	(19.0, 489.0)	(20.0, 548.0)	(21.0, 488.0)	(22.0, 495.0)	(23.0, 555.0)	(24.0, 661.0)	(25.0, 746.0)	(26.0, 914.0)	(27.0, 1009.0)	(28.0, 1301.0)	(29.0, 1512.0)	(30.0, 1935.0)	(31.0, 2599.0)	(32.0, 3685.0)	(33.0, 4874.0)	(34.0, 7450.0)	(35.0, 10882.0)	(36.0, 18956.0)	(37.0, 37480.0)	(38.0, 113497.0)	(39.0, 628627.0)	(40.0, 74020.0)
