Sample	Unique Reads	Duplicate Reads
PID-2861-10_R1	628392.0	184719.0
PID-2861-10_R2	636587.0	176524.0
PID-2861-11_R1	638376.0	222092.0
PID-2861-11_R2	646557.0	213911.0
PID-2861-12_R1	574273.0	173591.0
PID-2861-12_R2	574923.0	172941.0
PID-2861-13_R1	671066.0	245076.0
PID-2861-13_R2	682085.0	234057.0
PID-2861-14_R1	672680.0	251453.0
PID-2861-14_R2	682708.0	241425.0
PID-2861-15_R1	377901.0	126420.0
PID-2861-15_R2	383679.0	120642.0
PID-2861-16_R1	563872.0	165400.0
PID-2861-16_R2	561212.0	168060.0
PID-2861-17_R1	703085.0	212169.0
PID-2861-17_R2	697347.0	217907.0
PID-2861-18_R1	726600.0	257046.0
PID-2861-18_R2	735200.0	248446.0
PID-2861-19_R1	760499.0	359377.0
PID-2861-19_R2	773025.0	346851.0
PID-2861-1_R1	745767.0	242835.0
PID-2861-1_R2	755420.0	233182.0
PID-2861-20_R1	740672.0	297760.0
PID-2861-20_R2	749655.0	288777.0
PID-2861-21_R1	786388.0	289640.0
PID-2861-21_R2	801768.0	274260.0
PID-2861-22_R1	744387.0	261972.0
PID-2861-22_R2	754430.0	251929.0
PID-2861-23_R1	613371.0	227198.0
PID-2861-23_R2	622120.0	218449.0
PID-2861-24_R1	704192.0	264999.0
PID-2861-24_R2	711166.0	258025.0
PID-2861-25_R1	715754.0	270765.0
PID-2861-25_R2	725876.0	260643.0
PID-2861-26_R1	840024.0	345809.0
PID-2861-26_R2	849849.0	335984.0
PID-2861-27_R1	852033.0	355043.0
PID-2861-27_R2	854054.0	353022.0
PID-2861-28_R1	708482.0	266926.0
PID-2861-28_R2	716420.0	258988.0
PID-2861-29_R1	648273.0	234489.0
PID-2861-29_R2	660795.0	221967.0
PID-2861-2_R1	706761.0	247067.0
PID-2861-2_R2	712809.0	241019.0
PID-2861-30_R1	583659.0	194405.0
PID-2861-30_R2	584333.0	193731.0
PID-2861-31_R1	429169.0	98906.0
PID-2861-31_R2	433266.0	94809.0
PID-2861-32_R1	573075.0	191324.0
PID-2861-32_R2	580654.0	183745.0
PID-2861-33_R1	853233.0	378244.0
PID-2861-33_R2	868158.0	363319.0
PID-2861-34_R1	650756.0	228202.0
PID-2861-34_R2	658607.0	220351.0
PID-2861-35_R1	638863.0	223768.0
PID-2861-35_R2	647828.0	214803.0
PID-2861-36_R1	671269.0	397189.0
PID-2861-36_R2	683277.0	385181.0
PID-2861-37_R1	382524.0	62680.0
PID-2861-37_R2	361951.0	83253.0
PID-2861-38_R1	736986.0	353970.0
PID-2861-38_R2	749946.0	341010.0
PID-2861-39_R1	786205.0	260678.0
PID-2861-39_R2	796764.0	250119.0
PID-2861-3_R1	680528.0	200903.0
PID-2861-3_R2	663988.0	217443.0
PID-2861-40_R1	709710.0	246973.0
PID-2861-40_R2	718244.0	238439.0
PID-2861-4_R1	689530.0	222709.0
PID-2861-4_R2	697741.0	214498.0
PID-2861-5_R1	657227.0	199729.0
PID-2861-5_R2	662955.0	194001.0
PID-2861-6_R1	670520.0	238438.0
PID-2861-6_R2	678444.0	230514.0
PID-2861-7_R1	712474.0	255854.0
PID-2861-7_R2	719534.0	248794.0
PID-2861-8_R1	725523.0	253772.0
PID-2861-8_R2	741382.0	237913.0
PID-2861-9_R1	760290.0	284033.0
PID-2861-9_R2	770392.0	273931.0
