Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
PID-2861-10_R1	(1.0, 61.436399509566975)	(2.0, 22.857641737718794)	(3.0, 8.901080493973042)	(4.0, 3.6344644037926686)	(5.0, 1.5534532183086607)	(6.0, 0.7320012137488335)	(7.0, 0.40298043483756846)	(8.0, 0.18217909713022082)	(9.0, 0.10566126548823597)	('>10', 0.19413862543502466)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-10_R2	(1.0, 63.35626459613732)	(2.0, 21.531818416947612)	(3.0, 8.455122367908679)	(4.0, 3.432887698674605)	(5.0, 1.4514774731856723)	(6.0, 0.6573262869757835)	(7.0, 0.2970239008289615)	(8.0, 0.18920168142763513)	(9.0, 0.09555921955631216)	('>10', 0.17557715072488275)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.3577412076325481)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-11_R1	(1.0, 57.407042588280156)	(2.0, 23.041629752073884)	(3.0, 10.04230984802321)	(4.0, 4.329714777470401)	(5.0, 2.1362955110808515)	(6.0, 1.1140681561674879)	(7.0, 0.6491942531448307)	(8.0, 0.3747955799265377)	(9.0, 0.2607358961384405)	('>10', 0.6442136376941897)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-11_R2	(1.0, 59.071429501293714)	(2.0, 22.217610001578702)	(3.0, 9.486186384881256)	(4.0, 4.168071818805309)	(5.0, 1.9824955362375183)	(6.0, 0.9993972880791395)	(7.0, 0.584389087002034)	(8.0, 0.3170397154522744)	(9.0, 0.20294764639378163)	('>10', 0.6197769571704679)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.3506560631057844)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-12_R1	(1.0, 61.202741360793375)	(2.0, 22.002350245409144)	(3.0, 8.895165378028825)	(4.0, 3.8241414490035015)	(5.0, 1.796109914325286)	(6.0, 0.838323641821475)	(7.0, 0.49292879729606454)	(8.0, 0.2857278536549672)	(9.0, 0.18289470547605552)	('>10', 0.47961665419135296)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-12_R2	(1.0, 61.52812728829119)	(2.0, 21.69405266688086)	(3.0, 8.753058107553)	(4.0, 3.7169185394399804)	(5.0, 1.710507318023339)	(6.0, 0.8637613920786148)	(7.0, 0.48269835480281387)	(8.0, 0.2865027829875095)	(9.0, 0.20093513752055459)	('>10', 0.4969453050035501)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.2664931074185791)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-13_R1	(1.0, 56.25569539897253)	(2.0, 22.980855980690684)	(3.0, 10.128995257178671)	(4.0, 4.800630474856408)	(5.0, 2.4005450579579963)	(6.0, 1.1989878398770855)	(7.0, 0.6938411354716777)	(8.0, 0.40717291514096926)	(9.0, 0.27356355618786143)	('>10', 0.852831222597019)	('>50', 0.006881161069145056)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-13_R2	(1.0, 58.317774738390696)	(2.0, 21.895537597913417)	(3.0, 9.773530224166056)	(4.0, 4.4066354542263335)	(5.0, 2.1107032939035695)	(6.0, 1.1180492565617177)	(7.0, 0.5855289151317922)	(8.0, 0.39611388723983004)	(9.0, 0.2483599184860776)	('>10', 0.7641486945037688)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.38361801947672)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-14_R1	(1.0, 55.77002229996102)	(2.0, 22.986178867295582)	(3.0, 10.022425776532133)	(4.0, 4.817844977724249)	(5.0, 2.393143708313871)	(6.0, 1.2825724736952302)	(7.0, 0.8086008983207685)	(8.0, 0.4714472903793873)	(9.0, 0.2575674132885783)	('>10', 1.17031771409031)	('>50', 0.019878580398883967)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-14_R2	(1.0, 57.726891399722)	(2.0, 21.954332415174495)	(3.0, 9.52247765326749)	(4.0, 4.36375201189098)	(5.0, 2.1933355425942254)	(6.0, 1.1999501097059886)	(7.0, 0.7225219606909897)	(8.0, 0.4292367273423108)	(9.0, 0.29014207378085205)	('>10', 1.0670777204421658)	('>50', 0.0063399427984641874)	('>100', 0.012081777785752508)	('>500', 0.0)	('>1k', 0.5118606648043067)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-15_R1	(1.0, 58.97574692012144)	(2.0, 22.281002564259566)	(3.0, 8.810669845353399)	(4.0, 4.053140594662497)	(5.0, 1.9702446580593242)	(6.0, 1.0985313128910483)	(7.0, 0.679503008082559)	(8.0, 0.4151863291449746)	(9.0, 0.3545566035161922)	('>10', 1.3614181639090237)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-15_R2	(1.0, 60.916404989960725)	(2.0, 21.24064064213595)	(3.0, 8.420937772112575)	(4.0, 3.674780323920407)	(5.0, 1.906655987947487)	(6.0, 1.01526994737626)	(7.0, 0.7098167155576782)	(8.0, 0.3745466200615166)	(9.0, 0.26967100918708775)	('>10', 1.1914101634732108)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.2798658282670651)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-16_R1	(1.0, 61.889530175754835)	(2.0, 21.80098264407678)	(3.0, 8.932709869839103)	(4.0, 3.799814334635596)	(5.0, 1.6948434351824453)	(6.0, 0.8154851339528172)	(7.0, 0.4006860246790819)	(8.0, 0.26504774672017267)	(9.0, 0.1286682391028788)	('>10', 0.27223239605629374)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-16_R2	(1.0, 61.415590260208376)	(2.0, 22.016905086966293)	(3.0, 8.954261598877876)	(4.0, 3.7379014190114814)	(5.0, 1.7113402578505021)	(6.0, 0.8212425500796341)	(7.0, 0.4436432093669238)	(8.0, 0.2390948625583894)	(9.0, 0.1354153747768057)	('>10', 0.29185748807444906)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.23274789222929265)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-17_R1	(1.0, 61.41412068859692)	(2.0, 21.84683282694388)	(3.0, 8.67487828996547)	(4.0, 3.69622623772842)	(5.0, 1.7328995473082969)	(6.0, 0.8515756288339729)	(7.0, 0.4822262687873659)	(8.0, 0.2777547227927163)	(9.0, 0.1899637597021695)	('>10', 0.7779606911255667)	('>50', 0.05556133821523648)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-17_R2	(1.0, 60.649802976841016)	(2.0, 21.956210675385922)	(3.0, 8.84616736873052)	(4.0, 3.7403444149055907)	(5.0, 1.7822000981821247)	(6.0, 0.8931552536356709)	(7.0, 0.47811162372840155)	(8.0, 0.2741243973870916)	(9.0, 0.19568273874329312)	('>10', 0.7432618437084825)	('>50', 0.03782235805408096)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.4031162506978086)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-18_R1	(1.0, 57.11233124591656)	(2.0, 22.994786028873623)	(3.0, 9.929928945450223)	(4.0, 4.405710564680952)	(5.0, 2.148600911291329)	(6.0, 1.1669006908168187)	(7.0, 0.594557994191716)	(8.0, 0.3889828797105733)	(9.0, 0.2050959769371203)	('>10', 0.9985677165939129)	('>50', 0.054537045537175505)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-18_R2	(1.0, 58.7809535215075)	(2.0, 21.93687318346678)	(3.0, 9.430321733390953)	(4.0, 4.2611553177053585)	(5.0, 1.9407106564593712)	(6.0, 1.0391011242617338)	(7.0, 0.5761168611803253)	(8.0, 0.3603124082066693)	(9.0, 0.2567227364774592)	('>10', 0.9654772622997881)	('>50', 0.041030986863993486)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.41122420818007954)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-19_R1	(1.0, 50.20994578313475)	(2.0, 22.618743949033142)	(3.0, 11.037150851922375)	(4.0, 5.463104165192681)	(5.0, 2.8704120853234185)	(6.0, 1.702833327246929)	(7.0, 0.979064792394906)	(8.0, 0.6356703934641224)	(9.0, 0.5362368441990262)	('>10', 3.3750137639653004)	('>50', 0.5026281904862616)	('>100', 0.06919585363708115)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-19_R2	(1.0, 52.10519893764819)	(2.0, 21.899294720149047)	(3.0, 10.253652738864572)	(4.0, 5.165180282311711)	(5.0, 2.6413838294327294)	(6.0, 1.559682937462839)	(7.0, 1.0020584516102937)	(8.0, 0.6325840323450689)	(9.0, 0.4630789843780159)	('>10', 3.27024677034118)	('>50', 0.4446141878142001)	('>100', 0.10787285636448751)	('>500', 0.0)	('>1k', 0.4551512712776703)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-1_R1	(1.0, 59.50389074524818)	(2.0, 22.51606843412059)	(3.0, 9.104599529820801)	(4.0, 3.8154255679514866)	(5.0, 1.7867223090124715)	(6.0, 0.8244500536491182)	(7.0, 0.4773049564089472)	(8.0, 0.30444171227273903)	(9.0, 0.16939866749265353)	('>10', 1.104211360902089)	('>50', 0.20111540559515673)	('>100', 0.19237125752580211)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-1_R2	(1.0, 61.224280274831486)	(2.0, 21.633474915787)	(3.0, 8.534745016300526)	(4.0, 3.5702821147427275)	(5.0, 1.6481392444784515)	(6.0, 0.791833217069679)	(7.0, 0.45710428183903096)	(8.0, 0.21128150882670846)	(9.0, 0.15982696729324763)	('>10', 1.0847000544266676)	('>50', 0.18553011852742057)	('>100', 0.15263710419226162)	('>500', 0.0)	('>1k', 0.34616518168473803)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-20_R1	(1.0, 54.22850237887046)	(2.0, 22.624979929678414)	(3.0, 10.352843387714309)	(4.0, 5.024897575468692)	(5.0, 2.453356756078693)	(6.0, 1.358513441606566)	(7.0, 0.8301469622110486)	(8.0, 0.5337251129767275)	(9.0, 0.37654758736248184)	('>10', 2.0352716611691255)	('>50', 0.1812152068634943)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-20_R2	(1.0, 55.83825310414468)	(2.0, 21.796739456295885)	(3.0, 9.74965623548786)	(4.0, 4.701988111752796)	(5.0, 2.4481910234132873)	(6.0, 1.2614628363231999)	(7.0, 0.76398561297289)	(8.0, 0.47773913172086)	(9.0, 0.35024214591781544)	('>10', 1.8784873874177412)	('>50', 0.1387526025192825)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.5945023520336512)	('>10k+', 0.0)
PID-2861-21_R1	(1.0, 56.72704784427211)	(2.0, 22.101997831044706)	(3.0, 9.548075356932493)	(4.0, 4.531610293205614)	(5.0, 2.2130434148111244)	(6.0, 1.2010673962011469)	(7.0, 0.7575157156105559)	(8.0, 0.5156945630042585)	(9.0, 0.36242092910039053)	('>10', 1.9746493233070956)	('>50', 0.06687733251046483)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-21_R2	(1.0, 59.15474836717986)	(2.0, 21.032320186069207)	(3.0, 8.814116355978731)	(4.0, 3.9916606390138187)	(5.0, 2.0822058826803715)	(6.0, 1.1328841138355246)	(7.0, 0.6649385835282219)	(8.0, 0.4520952842930231)	(9.0, 0.30916928294347157)	('>10', 1.717177408177253)	('>50', 0.03707650354591402)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.611607392754604)	('>10k+', 0.0)
PID-2861-22_R1	(1.0, 57.499744963888155)	(2.0, 22.444031285648656)	(3.0, 9.822275110003446)	(4.0, 4.440182269399286)	(5.0, 2.048194246966237)	(6.0, 1.1613617240046887)	(7.0, 0.6720874426748816)	(8.0, 0.42718326520699557)	(9.0, 0.2591997084424916)	('>10', 1.190696341066283)	('>50', 0.03504364269889449)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-22_R2	(1.0, 59.284070331274286)	(2.0, 21.690757988659833)	(3.0, 9.029833280306152)	(4.0, 4.033621507332217)	(5.0, 2.021014553222492)	(6.0, 1.099681503069926)	(7.0, 0.6004545515575865)	(8.0, 0.3299080914287417)	(9.0, 0.25088227650056016)	('>10', 1.0898664932488633)	('>50', 0.0369622833695213)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.5329471400298147)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-23_R1	(1.0, 55.996882319639276)	(2.0, 23.021496130749586)	(3.0, 10.252899655759332)	(4.0, 4.573663257331847)	(5.0, 2.2627379540429087)	(6.0, 1.1796896341337066)	(7.0, 0.6457502320269407)	(8.0, 0.3782002960376137)	(9.0, 0.2688577680317641)	('>10', 1.2719055688784402)	('>50', 0.14791718336858986)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-23_R2	(1.0, 58.01556004439977)	(2.0, 21.8664226148675)	(3.0, 9.392675967690794)	(4.0, 4.2015128521498335)	(5.0, 2.2314207648435724)	(6.0, 1.1408247003395533)	(7.0, 0.6614370681772821)	(8.0, 0.3780359708175663)	(9.0, 0.24052058073032997)	('>10', 1.146181848086749)	('>50', 0.13361731046823136)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.5917902774288234)	('>5k', 0.0)	('>10k+', 0.0)
