Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
PID-2861-10_R1	(15, 1.0)	(20, 2.0)	(25, 7.0)	(30, 34.0)	(35, 52.0)	(40, 164.0)	(45, 197.0)	(50, 303.0)	(55, 294.0)	(60, 412.0)	(65, 389.0)	(70, 437.0)	(75, 557.0)	(80, 619.0)	(85, 728.0)	(90, 750.0)	(95, 991.0)	(100, 993.0)	(105, 1288.0)	(110, 1088.0)	(115, 1565.0)	(120, 1326.0)	(125, 1791.0)	(130, 1576.0)	(135, 2735.0)	(140, 2225.0)	(145, 62195.0)	(150, 730392.0)	
PID-2861-10_R2	(15, 1.0)	(20, 2.0)	(25, 7.0)	(30, 34.0)	(35, 52.0)	(40, 164.0)	(45, 197.0)	(50, 303.0)	(55, 294.0)	(60, 412.0)	(65, 389.0)	(70, 437.0)	(75, 557.0)	(80, 619.0)	(85, 728.0)	(90, 750.0)	(95, 991.0)	(100, 993.0)	(105, 1288.0)	(110, 1088.0)	(115, 1565.0)	(120, 1326.0)	(125, 1791.0)	(130, 1576.0)	(135, 2735.0)	(140, 2218.0)	(145, 62240.0)	(150, 730354.0)	
PID-2861-11_R1	(10, 2.0)	(15, 1.0)	(20, 3.0)	(25, 3.0)	(30, 15.0)	(35, 38.0)	(40, 110.0)	(45, 134.0)	(50, 191.0)	(55, 186.0)	(60, 291.0)	(65, 334.0)	(70, 452.0)	(75, 470.0)	(80, 555.0)	(85, 566.0)	(90, 616.0)	(95, 775.0)	(100, 764.0)	(105, 1015.0)	(110, 932.0)	(115, 1260.0)	(120, 1136.0)	(125, 1543.0)	(130, 1370.0)	(135, 2419.0)	(140, 1988.0)	(145, 66418.0)	(150, 776881.0)
PID-2861-11_R2	(10, 2.0)	(15, 1.0)	(20, 3.0)	(25, 3.0)	(30, 15.0)	(35, 38.0)	(40, 110.0)	(45, 134.0)	(50, 191.0)	(55, 186.0)	(60, 291.0)	(65, 334.0)	(70, 452.0)	(75, 470.0)	(80, 555.0)	(85, 566.0)	(90, 616.0)	(95, 775.0)	(100, 764.0)	(105, 1015.0)	(110, 932.0)	(115, 1260.0)	(120, 1136.0)	(125, 1543.0)	(130, 1370.0)	(135, 2420.0)	(140, 1974.0)	(145, 66638.0)	(150, 776674.0)
PID-2861-12_R1	(10, 1.0)	(15, 2.0)	(20, 0.0)	(25, 5.0)	(30, 17.0)	(35, 34.0)	(40, 142.0)	(45, 121.0)	(50, 213.0)	(55, 187.0)	(60, 285.0)	(65, 300.0)	(70, 363.0)	(75, 412.0)	(80, 528.0)	(85, 572.0)	(90, 603.0)	(95, 780.0)	(100, 782.0)	(105, 915.0)	(110, 879.0)	(115, 1222.0)	(120, 1008.0)	(125, 1442.0)	(130, 1252.0)	(135, 2096.0)	(140, 1768.0)	(145, 57532.0)	(150, 674403.0)
PID-2861-12_R2	(10, 1.0)	(15, 2.0)	(20, 0.0)	(25, 5.0)	(30, 17.0)	(35, 34.0)	(40, 142.0)	(45, 121.0)	(50, 213.0)	(55, 187.0)	(60, 285.0)	(65, 300.0)	(70, 363.0)	(75, 412.0)	(80, 528.0)	(85, 572.0)	(90, 603.0)	(95, 780.0)	(100, 782.0)	(105, 915.0)	(110, 879.0)	(115, 1222.0)	(120, 1008.0)	(125, 1442.0)	(130, 1252.0)	(135, 2096.0)	(140, 1768.0)	(145, 57302.0)	(150, 674633.0)
PID-2861-13_R1	(20, 3.0)	(25, 4.0)	(30, 19.0)	(35, 43.0)	(40, 109.0)	(45, 136.0)	(50, 210.0)	(55, 237.0)	(60, 336.0)	(65, 328.0)	(70, 426.0)	(75, 450.0)	(80, 525.0)	(85, 574.0)	(90, 609.0)	(95, 877.0)	(100, 874.0)	(105, 1067.0)	(110, 1069.0)	(115, 1400.0)	(120, 1187.0)	(125, 1608.0)	(130, 1477.0)	(135, 2661.0)	(140, 2107.0)	(145, 70061.0)	(150, 827745.0)		
PID-2861-13_R2	(20, 3.0)	(25, 4.0)	(30, 19.0)	(35, 43.0)	(40, 109.0)	(45, 136.0)	(50, 210.0)	(55, 237.0)	(60, 336.0)	(65, 328.0)	(70, 426.0)	(75, 450.0)	(80, 525.0)	(85, 574.0)	(90, 609.0)	(95, 877.0)	(100, 874.0)	(105, 1067.0)	(110, 1069.0)	(115, 1400.0)	(120, 1187.0)	(125, 1608.0)	(130, 1477.0)	(135, 2660.0)	(140, 2122.0)	(145, 70447.0)	(150, 827345.0)		
PID-2861-14_R1	(10, 2.0)	(15, 2.0)	(20, 1.0)	(25, 8.0)	(30, 38.0)	(35, 62.0)	(40, 162.0)	(45, 170.0)	(50, 275.0)	(55, 310.0)	(60, 429.0)	(65, 430.0)	(70, 483.0)	(75, 520.0)	(80, 680.0)	(85, 683.0)	(90, 804.0)	(95, 940.0)	(100, 980.0)	(105, 1203.0)	(110, 1143.0)	(115, 1488.0)	(120, 1362.0)	(125, 1883.0)	(130, 1526.0)	(135, 2712.0)	(140, 2350.0)	(145, 70929.0)	(150, 832558.0)
PID-2861-14_R2	(10, 2.0)	(15, 2.0)	(20, 1.0)	(25, 8.0)	(30, 38.0)	(35, 62.0)	(40, 162.0)	(45, 170.0)	(50, 275.0)	(55, 310.0)	(60, 429.0)	(65, 430.0)	(70, 483.0)	(75, 520.0)	(80, 680.0)	(85, 683.0)	(90, 804.0)	(95, 940.0)	(100, 980.0)	(105, 1203.0)	(110, 1143.0)	(115, 1488.0)	(120, 1362.0)	(125, 1883.0)	(130, 1526.0)	(135, 2712.0)	(140, 2355.0)	(145, 71057.0)	(150, 832425.0)
PID-2861-15_R1	(10, 2.0)	(15, 1.0)	(20, 0.0)	(25, 0.0)	(30, 6.0)	(35, 7.0)	(40, 45.0)	(45, 55.0)	(50, 110.0)	(55, 120.0)	(60, 175.0)	(65, 160.0)	(70, 250.0)	(75, 248.0)	(80, 278.0)	(85, 428.0)	(90, 388.0)	(95, 519.0)	(100, 540.0)	(105, 701.0)	(110, 550.0)	(115, 849.0)	(120, 670.0)	(125, 1013.0)	(130, 928.0)	(135, 1511.0)	(140, 1297.0)	(145, 39408.0)	(150, 454062.0)
PID-2861-15_R2	(10, 2.0)	(15, 1.0)	(20, 0.0)	(25, 0.0)	(30, 6.0)	(35, 7.0)	(40, 45.0)	(45, 55.0)	(50, 110.0)	(55, 120.0)	(60, 175.0)	(65, 160.0)	(70, 250.0)	(75, 248.0)	(80, 278.0)	(85, 428.0)	(90, 388.0)	(95, 519.0)	(100, 540.0)	(105, 701.0)	(110, 550.0)	(115, 849.0)	(120, 670.0)	(125, 1013.0)	(130, 928.0)	(135, 1511.0)	(140, 1278.0)	(145, 39554.0)	(150, 453935.0)
PID-2861-16_R1	(15, 4.0)	(20, 1.0)	(25, 5.0)	(30, 14.0)	(35, 17.0)	(40, 105.0)	(45, 93.0)	(50, 178.0)	(55, 216.0)	(60, 247.0)	(65, 254.0)	(70, 320.0)	(75, 352.0)	(80, 464.0)	(85, 445.0)	(90, 495.0)	(95, 642.0)	(100, 604.0)	(105, 776.0)	(110, 742.0)	(115, 1048.0)	(120, 979.0)	(125, 1265.0)	(130, 1210.0)	(135, 1935.0)	(140, 1583.0)	(145, 56152.0)	(150, 659126.0)	
