Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
PID-2861-10_R1	PID-2861-10_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	813111.0	121.5 Mbp	0.0	18-151	39.0	77.28241396128651	149.69780263703234	151	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
PID-2861-10_R2	PID-2861-10_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	813111.0	121.5 Mbp	0.0	18-151	39.0	78.29017430985147	149.69765874523895	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-11_R1	PID-2861-11_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	860468.0	128.8 Mbp	0.0	13-151	38.0	74.18939370567796	149.92909091331694	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-11_R2	PID-2861-11_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	860468.0	128.8 Mbp	0.0	13-151	38.0	75.14014754184812	149.9281983757676	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-12_R1	PID-2861-12_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	747864.0	111.9 Mbp	0.0	14-151	38.0	76.78841090538097	149.86137185370603	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-12_R2	PID-2861-12_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	747864.0	111.9 Mbp	0.0	14-151	38.0	76.87526695084024	149.86260202389738	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-13_R1	PID-2861-13_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	916142.0	137.2 Mbp	0.0	20-151	38.0	73.2490331712616	149.9364061466454	151	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
PID-2861-13_R2	PID-2861-13_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	916142.0	137.2 Mbp	0.0	20-151	39.0	74.45182242025949	149.93458874279315	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-14_R1	PID-2861-14_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	924133.0	138.2 Mbp	0.0	10-151	38.0	72.79028381983866	149.81254646246808	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-14_R2	PID-2861-14_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	924133.0	138.2 Mbp	0.0	10-151	38.0	73.87550540864356	149.81194373537141	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-15_R1	PID-2861-15_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	504321.0	75.5 Mbp	0.0	11-151	39.0	74.93261752593843	149.89201322173776	151	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
PID-2861-15_R2	PID-2861-15_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	504321.0	75.5 Mbp	0.0	11-151	39.0	76.07822391515163	149.89119429886918	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-16_R1	PID-2861-16_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	729272.0	109.2 Mbp	0.0	15-151	38.0	77.31978947456163	149.95931284897816	151	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
PID-2861-16_R2	PID-2861-16_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	729272.0	109.2 Mbp	0.0	15-151	38.0	76.9550146273399	149.9605716385656	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-17_R1	PID-2861-17_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	915254.0	136.8 Mbp	0.0	12-151	38.0	76.81848638824364	149.70475190493568	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-17_R2	PID-2861-17_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	915254.0	136.8 Mbp	0.0	12-151	38.0	76.19157125825181	149.70197344125236	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-18_R1	PID-2861-18_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	983646.0	147 Mbp	0.0	12-151	38.0	73.8679433585845	149.6944602021459	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-18_R2	PID-2861-18_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	983646.0	147 Mbp	0.0	12-151	38.0	74.74226576780771	149.69643448964362	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-19_R1	PID-2861-19_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1119876.0	167.4 Mbp	0.0	15-151	38.0	67.9091493637558	149.67907607627987	151	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	pass
PID-2861-19_R2	PID-2861-19_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1119876.0	167.4 Mbp	0.0	15-151	38.0	69.02769575202444	149.68136293661084	151	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
PID-2861-1_R1	PID-2861-1_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	988602.0	147.8 Mbp	0.0	10-151	38.0	75.4364564532115	149.69296036220845	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-1_R2	PID-2861-1_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	988602.0	147.8 Mbp	0.0	10-151	38.0	76.41295071174387	149.6948155071505	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-20_R1	PID-2861-20_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1038432.0	155.3 Mbp	0.0	13-151	38.0	71.32593212712699	149.77750396752026	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-20_R2	PID-2861-20_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1038432.0	155.3 Mbp	0.0	13-151	39.0	72.19102953460505	149.77807405781024	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-21_R1	PID-2861-21_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1076028.0	160.8 Mbp	0.0	14-151	38.0	73.08246925925701	149.6826355819737	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-21_R2	PID-2861-21_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1076028.0	160.8 Mbp	0.0	14-151	38.0	74.51177253251994	149.68252684874372	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-22_R1	PID-2861-22_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1006359.0	150.5 Mbp	0.0	19-151	38.0	73.96830245850974	149.8082642476492	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-22_R2	PID-2861-22_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1006359.0	150.6 Mbp	0.0	19-151	38.0	74.96626688798123	149.81195378587563	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-23_R1	PID-2861-23_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	840569.0	125.8 Mbp	0.0	13-151	38.0	72.97082179682204	149.83257650472478	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-23_R2	PID-2861-23_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	840569.0	125.8 Mbp	0.0	13-151	38.0	74.01176406920314	149.8340814376928	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-24_R1	PID-2861-24_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	969191.0	145 Mbp	0.0	10-151	38.0	72.65766916360552	149.83849416678447	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-24_R2	PID-2861-24_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	969191.0	145 Mbp	0.0	10-151	39.0	73.37722960192833	149.83995930626676	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-25_R1	PID-2861-25_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	986519.0	147.5 Mbp	0.0	10-151	38.0	72.55339702160863	149.73684744034327	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-25_R2	PID-2861-25_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	986519.0	147.5 Mbp	0.0	10-151	38.0	73.57947981204886	149.7364318376027	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-26_R1	PID-2861-26_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1185833.0	177.3 Mbp	0.0	10-151	38.0	70.83828140391651	149.72719851783515	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-26_R2	PID-2861-26_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1185833.0	177.3 Mbp	0.0	10-151	38.0	71.66676497121249	149.72768678220288	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-27_R1	PID-2861-27_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1207076.0	180.5 Mbp	0.0	10-151	38.0	70.58648754021829	149.7315040643671	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-27_R2	PID-2861-27_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1207076.0	180.5 Mbp	0.0	10-151	38.0	70.75391238661231	149.73533149528282	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-28_R1	PID-2861-28_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	975408.0	145.9 Mbp	0.0	14-151	38.0	72.63439272478995	149.7613460213572	151	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
PID-2861-28_R2	PID-2861-28_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	975408.0	145.9 Mbp	0.0	14-151	38.0	73.44815904960775	149.76145161819466	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-29_R1	PID-2861-29_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	882762.0	132 Mbp	0.0	18-151	38.0	73.43679122302136	149.7514698185921	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-29_R2	PID-2861-29_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	882762.0	132 Mbp	0.0	18-151	38.0	74.85535629879698	149.7498453716857	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-2_R1	PID-2861-2_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	953828.0	142.6 Mbp	0.0	10-151	38.0	74.09728399693401	149.69857039214617	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-2_R2	PID-2861-2_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	953828.0	142.6 Mbp	0.0	10-151	38.0	74.7313855062424	149.69721375342306	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-30_R1	PID-2861-30_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	778064.0	116.4 Mbp	0.0	25-151	38.0	75.01421550272104	149.88581787616442	151	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
PID-2861-30_R2	PID-2861-30_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	778064.0	116.4 Mbp	0.0	25-151	38.0	75.10077266644383	149.88957335129243	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-31_R1	PID-2861-31_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	528075.0	79 Mbp	0.0	16-151	38.0	81.27031699506142	149.9381224257918	151	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
PID-2861-31_R2	PID-2861-31_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	528075.0	79 Mbp	0.0	16-151	38.0	82.04612727313885	149.94740898546607	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-32_R1	PID-2861-32_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	764399.0	114.4 Mbp	0.0	10-151	38.0	74.97065207074981	149.83389564873843	151	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
PID-2861-32_R2	PID-2861-32_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	764399.0	114.4 Mbp	0.0	10-151	38.0	75.96213878604357	149.8325481849139	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-33_R1	PID-2861-33_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1231477.0	184.1 Mbp	0.0	18-151	38.0	69.28530837565194	149.6878041571219	151	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	pass
PID-2861-33_R2	PID-2861-33_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1231477.0	184.1 Mbp	0.0	18-151	38.0	70.49724780263396	149.6879470749352	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-34_R1	PID-2861-34_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	878958.0	131.5 Mbp	0.0	13-151	38.0	74.03717789858541	149.78916740049013	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-34_R2	PID-2861-34_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	878958.0	131.5 Mbp	0.0	13-151	38.0	74.9303389993554	149.7958673793287	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
PID-2861-35_R1	PID-2861-35_R1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	862631.0	129.1 Mbp	0.0	12-151	38.0	74.05976619191077	149.8996894384737	151	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
PID-2861-35_R2	PID-2861-35_R2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	862631.0	129.1 Mbp	0.0	12-151	38.0	75.09899114801502	149.89987607679296	151	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
