Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
PID-2861-10_R1	22.717586038713492	39.0	149.69780263703234	151	9.090909090909092	0.8131109999999999
PID-2861-10_R2	21.709825690148534	39.0	149.69765874523895	151	9.090909090909092	0.8131109999999999
PID-2861-11_R1	25.810606294322042	38.0	149.92909091331694	151	9.090909090909092	0.860468
PID-2861-11_R2	24.859852458151877	38.0	149.9281983757676	151	9.090909090909092	0.860468
PID-2861-12_R1	23.21158909461903	38.0	149.86137185370603	151	9.090909090909092	0.747864
PID-2861-12_R2	23.124733049159758	38.0	149.86260202389738	151	9.090909090909092	0.747864
PID-2861-13_R1	26.7509668287384	38.0	149.9364061466454	151	9.090909090909092	0.916142
PID-2861-13_R2	25.54817757974051	39.0	149.93458874279315	151	9.090909090909092	0.916142
PID-2861-14_R1	27.209716180161337	38.0	149.81254646246808	151	9.090909090909092	0.924133
PID-2861-14_R2	26.124494591356438	38.0	149.81194373537141	151	9.090909090909092	0.924133
PID-2861-15_R1	25.067382474061574	39.0	149.89201322173776	151	9.090909090909092	0.504321
PID-2861-15_R2	23.921776084848375	39.0	149.89119429886918	151	9.090909090909092	0.504321
PID-2861-16_R1	22.68021052543837	38.0	149.95931284897816	151	9.090909090909092	0.7292719999999999
PID-2861-16_R2	23.044985372660094	38.0	149.9605716385656	151	9.090909090909092	0.7292719999999999
PID-2861-17_R1	23.18151361175636	38.0	149.70475190493568	151	9.090909090909092	0.915254
PID-2861-17_R2	23.808428741748187	38.0	149.70197344125236	151	9.090909090909092	0.915254
PID-2861-18_R1	26.132056641415502	38.0	149.6944602021459	151	9.090909090909092	0.9836459999999999
PID-2861-18_R2	25.25773423219229	38.0	149.69643448964362	151	9.090909090909092	0.9836459999999999
PID-2861-19_R1	32.0908506362442	38.0	149.67907607627987	151	9.090909090909092	1.1198759999999999
PID-2861-19_R2	30.972304247975558	38.0	149.68136293661084	151	9.090909090909092	1.1198759999999999
PID-2861-1_R1	24.563543546788495	38.0	149.69296036220845	151	9.090909090909092	0.988602
PID-2861-1_R2	23.587049288256125	38.0	149.6948155071505	151	9.090909090909092	0.988602
PID-2861-20_R1	28.67406787287301	38.0	149.77750396752026	151	9.090909090909092	1.038432
PID-2861-20_R2	27.80897046539495	39.0	149.77807405781024	151	9.090909090909092	1.038432
PID-2861-21_R1	26.91753074074299	38.0	149.6826355819737	151	9.090909090909092	1.076028
PID-2861-21_R2	25.48822746748006	38.0	149.68252684874372	151	9.090909090909092	1.076028
PID-2861-22_R1	26.03169754149026	38.0	149.8082642476492	151	9.090909090909092	1.006359
PID-2861-22_R2	25.033733112018766	38.0	149.81195378587563	151	9.090909090909092	1.006359
PID-2861-23_R1	27.029178203177963	38.0	149.83257650472478	151	9.090909090909092	0.840569
PID-2861-23_R2	25.98823593079686	38.0	149.8340814376928	151	9.090909090909092	0.840569
PID-2861-24_R1	27.34233083639448	38.0	149.83849416678447	151	9.090909090909092	0.9691909999999999
PID-2861-24_R2	26.622770398071665	39.0	149.83995930626676	151	9.090909090909092	0.9691909999999999
PID-2861-25_R1	27.44660297839137	38.0	149.73684744034327	151	9.090909090909092	0.9865189999999999
PID-2861-25_R2	26.42052018795114	38.0	149.7364318376027	151	9.090909090909092	0.9865189999999999
